,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
33,Specialist Hospital,"Kalyan Nagar, Bangalore",9.0,150.0
34,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18.0,38.0
35,Abhaya Hospital,"Wilson Garden, Bangalore",3.0,100.0
36,Vikram Hospital,"Millers Road, Bangalore",19.0,225.0
37,Acura Speciality Hospital,"Koramangala 5 Block, Bangalore",5.0,20.0
38,Brookefield Hospital,"Kundalahalli, Bangalore",25.0,100.0
39,Milann The Fertility Center,"Kumara Park West, Bangalore",8.0,36.0
40,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14.0,50.0
41,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",3.0,50.0
42,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32.0,40.0
43,ReSCUE -  The Urology Center,"Rajajinagar, Bangalore",9.0,20.0
44,Patients First (A Unit of Shraddha Health Care),"Koramangala 1 Block, Bangalore",3.0,4.0
45,Jeevika Hospital,"Marathahalli, Bangalore",13.0,80.0
46,Family Hospital,"Mathikere - BEL, Bangalore",21.0,20.0
47,Mazumdar Shaw Medical Center,"Anekal, Bangalore",1.0,1200.0
48,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9.0,70.0
49,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13.0,150.0
50,Supra South City Hospital,"JP Nagar 7 Phase, Bangalore",1.0,25.0
51,Divakars Speciality Hospital,"JP Nagar 2 Phase, Bangalore",7.0,25.0
52,Cloudnine Hospital,"Malleswaram, Bangalore",29.0,47.0
53,Diavisita Diabetes & Multispeciality Hospital,"Banashankari 3rd Stage, Bangalore",1.0,50.0
54,Anjani Women's Day Care Hospital,"HRBR Layout, Bangalore",2.0,5.0
55,S J Hospital,"Sanjay Nagar, Bangalore",7.0,30.0
56,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65.0,80.0
57,Rashmi Hospital,"Indiranagar, Bangalore",2.0,30.0
58,Sagar Chandramma Hospitals,"VV Puram, Bangalore",16.0,50.0
59,Bangaluru Neuro Centre,"Malleswaram, Bangalore",9.0,22.0
60,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18.0,76.0
61,Fortis Medcentre,"Marathahalli, Bangalore",2.0,50.0
62,Kaveri Speciality Hospital,"Koramangala, Bangalore",6.0,10.0
63,Manipal Fertility,"Rajajinagar, Bangalore",3.0,25.0
64,Aayug Multi Specialty Hospital,"Kundalahalli, Bangalore",2.0,30.0
65,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",20.0,40.0
66,Parimala Health Care Services,"Bannerghatta Road, Bangalore",4.0,25.0
67,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",20.0,40.0
68,Life Care Hospital,"BTM Layout, Bangalore",10.0,30.0
69,Soukya Hospital,"Vidyaranyapura, Bangalore",8.0,20.0
70,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",15.0,25.0
71,Tamara Hospital & IVF Centre,"Rajajinagar, Bangalore",6.0,30.0
72,Fortis Hospital,"Nagarbhavi, Bangalore",36.0,75.0
73,Dr Bhargavi Reddy Women & Children Hospital,"Indiranagar, Bangalore",9.0,15.0
74,Devi Eye Hospital,"Koramangala 6 Block, Bangalore",5.0,10.0
75,Manjushree Speciality Hospital,"Ulsoor, Bangalore",9.0,30.0
76,Dr Rudrappa First Class Eye Care Hospital,"Richmond Town, Bangalore",6.0,15.0
77,Sri Vinayaka Nursing Home,"HAL 2nd Stage, Bangalore",2.0,3.0
78,Neha Prakash Hospital,"Yelahanka, Bangalore",9.0,50.0
79,Milann - The Fertility Center,"Indiranagar, Bangalore",7.0,10.0
80,NRR Hospitals,"Jalahalli, Bangalore",25.0,20.0
81,Cloudnine Hospital,"Whitefield, Bangalore",22.0,13.0
82,Rajashri Grandhim Speciality Hospital,"Bannerghatta Road, Bangalore",7.0,20.0
83,Vitalife Clinic,"Whitefield, Bangalore",10.0,30.0
84,RC Hospital ,"Rajarajeshwarinagar, Bangalore",4.0,20.0
85,Shree  Dhanvantari Ayurveda Hospital,"Rajajinagar, Bangalore",3.0,6.0
86,S K Hospital,"Nagarbhavi, Bangalore",11.0,20.0
87,Excel Care Hospital,"Banashankari 2nd Stage, Bangalore",21.0,44.0
88,Belle Vue's Cambridge Hospital,"Ulsoor, Bangalore",2.0,25.0
89,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24.0,60.0
90,Lakshmi Hospital.,"Ganganagar, Bangalore",2.0,20.0
91,Saikrupa Hospital For Women & Surgical Center,"Vijayanagar, Bangalore",1.0,20.0
92,Sankara Eye Hospital,"Kundalahalli, Bangalore",20.0,25.0
93,Gayathri Hospital,"Vijayanagar, Bangalore",3.0,15.0
94,Sparsh Hospital,"Hosur Road, Bangalore",4.0,150.0
95,Sidvin Hospital ,"Rajajinagar, Bangalore",16.0,50.0
96,Siddanth Hospital ENT & Multispeciality Centre,"Siddapura, Bangalore",1.0,10.0
97,Sri Venkateswara Hospital,"Madiwala, Bangalore",2.0,30.0
98,Live 100 Hospital,"Singasandra, Bangalore",3.0,150.0
99,Poornima Hospital,"RT Nagar, Bangalore",18.0,30.0
100,Shanthi Hospital and Research Center,"Jayanagar 7 Block, Bangalore",8.0,40.0
101,Ovum Fertility & Women's Health Center,"Kalyan Nagar, Bangalore",11.0,6.0
102,Vasan Eye Care Hospital,"Marathahalli, Bangalore",8.0,7.0
103,Prashanth Hospital,"Bommanahalli, Bangalore",7.0,80.0
104,Varalakshmi Hospital,"BTM Layout, Bangalore",7.0,25.0
105,Nano Hospitals,"Hulimavu, Bangalore",26.0,30.0
106,NU Hospitals,"Rajajinagar, Bangalore",15.0,100.0
107,Punarjani Ayurveda Multi-Speciality Hospital,"Sarjapur Road, Bangalore",8.0,22.0
108,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15.0,100.0
109,Sri Lakshmi Super Speciality Hospital,"CV Raman Nagar, Bangalore",9.0,50.0
110,Prasad Eye Hospital,"Koramangala, Bangalore",1.0,2.0
111,Shekhar Hospital,"Jayanagar, Bangalore",12.0,24.0
112,Pristine Hospital,"West Of Chord Road, Bangalore",21.0,100.0
113,Vasan Eye Care Hospital,"RT Nagar, Bangalore",8.0,11.0
114,Ramakrishna Smart Hospitals,"Electronics City, Bangalore",2.0,6.0
115,Vinayaka Hospital,"Hongasandra, Bangalore",3.0,15.0
116,Spandana Hospital For Mother And Child,"Ramamurthy Nagar, Bangalore",2.0,5.0
117,Shreya Hospital,"Kengeri, Bangalore",3.0,20.0
118,Wellspring Mother & Child Hospital,"Sadashivanagar, Bangalore",5.0,25.0
119,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",8.0,60.0
120,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",6.0,100.0
121,Sagar Hospitals,"Banashankari, Bangalore",2.0,415.0
122,Geetha Maternity And Surgical Centre,"Rajarajeshwarinagar, Bangalore",6.0,11.0
123,Spectrum Physio Centre,"Richmond Town, Bangalore",6.0,75.0
124,Dr. Sailaja's Super Speciality Eye Hospital,"Horamavu, Bangalore",4.0,50.0
125,Vinayaka Hospital,"Jayanagar, Bangalore",8.0,8.0
126,N D R Hospital,"Yelahanka, Bangalore",10.0,15.0
127,Bangalore Hospital ,"Jayanagar, Bangalore",22.0,55.0
128,Punya Hospital,"Basaveshwaranagar, Bangalore",1.0,60.0
129,Yogananda Multispecialty Hospital,"Padmanabhanagar, Bangalore",3.0,30.0
130,Ring Road Hospital,"Banashankari, Bangalore",1.0,10.0
131,Bgs Global Hospitals,"Kengeri, Bangalore",18.0,10.0
132,Zion Hospital,"Kammana Halli, Bangalore",10.0,55.0
133,N.D.R Medical Centre,"Yelahanka, Bangalore",3.0,20.0
134,Sun Orthopaedic Hospital,"Mathikere - BEL, Bangalore",1.0,20.0
135,Sita Bhateja Specialty Hospital,"Langford Road, Bangalore",9.0,30.0
136,Aryan Hospital,"Nagarbhavi, Bangalore",6.0,50.0
137,Supurva Hospitals,"Kanakpura Road, Bangalore",14.0,85.0
138,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",9.0,100.0
139,Kamath Nursing home,"Banaswadi, Bangalore",2.0,5.0
140,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",30.0,10.0
141,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",1.0,160.0
142,Green City Hospital,"JP Nagar 6 Phase, Bangalore",62.0,25.0
143,Columbia Asia Hospital,"Whitefield, Bangalore",18.0,150.0
144,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",8.0,100.0
145,Fortis la Femme,"Richmond Town, Bangalore",3.0,67.0
146,Manipal Ankur,"JP Nagar 1 Phase, Bangalore",12.0,11.0
147,Apollo Hospital,"Jayanagar, Bangalore",2.0,150.0
148,Sarojini hospital,"Dasarahalli, Bangalore",2.0,30.0
149,Sai Krupa Multi Speciality Dental Care Hospital,"Basaveshwaranagar, Bangalore",1.0,5.0
150,Eshwar Hospital,"Mahalakshmi Layout, Bangalore",23.0,11.0
151,Ovum Woman & Child Speciality Hospital,"Banaswadi, Bangalore",27.0,28.0
152,Devagiri Hospital,"Banashankari, Bangalore",6.0,50.0
153,MGA Hospital,"Marathahalli, Bangalore",1.0,15.0
154,Apollo Spectra,"Koramangala 4 Block, Bangalore",19.0,8.0
155,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",2.0,110.0
156,Nova IVI Fertility,"Sadashivanagar, Bangalore",2.0,9.0
157,Bilva Hospital,"Malleswaram, Bangalore",1.0,34.0
158,Ramkrishna Nursing Home,"Jayanagar, Bangalore",3.0,10.0
159,Mamatha Hospital,"Sanjay Nagar, Bangalore",1.0,10.0
160,Matthew Hospital,"HSR Layout, Bangalore",1.0,10.0
161,J P Nursing Home,"Nandini Layout, Bangalore",3.0,20.0
162,Sri Ram Speciality Hospital,"Viveknagar, Bangalore",5.0,25.0
163,Cloudnine Clinic,"Brookefield, Bangalore",1.0,4.0
164,Kanaka Maternity Hospital,"HSR Layout, Bangalore",3.0,8.0
165,C.M.Diabetes Centre- Karthik Hospital,"Wilson Garden, Bangalore",7.0,12.0
166,Shobha Hospital,"BTM Layout, Bangalore",26.0,2.0
167,Westend Speciality Petcare And Nursing Center,"Seshadripuram, Bangalore",28.0,5.0
168,Shree Chakra Hospital,"Hosur Road, Bangalore",7.0,18.0
169,Sri Srinivasa Oncology Hospital,"Rajajinagar, Bangalore",3.0,10.0
170,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",42.0,30.0
171,Santosh Hospital,"Frazer Town, Bangalore",3.0,100.0
172,Cloudnine Hospital,"Old Airport Road, Bangalore",1.0,50.0
173,AyurVAID Hospitals (Ayurveda),"Ramamurthy Nagar, Bangalore",17.0,15.0
174,CMRA Hospital,"Kundalahalli, Bangalore",6.0,5.0
175,Shreenagar Nursing Home,"Srinagar, Bangalore",17.0,30.0
176,B. W. Lions Super Speciality Eye Hospital,"Kalasipalayam, Bangalore",3.0,25.0
177,Vivekananda Hospital,"Bannerghatta Road, Bangalore",2.0,15.0
178,Enhanced Health Care,"Indiranagar, Bangalore",4.0,20.0
179,"Vardhan Fertility, Laparoscopy  & Women Care Centre","Banaswadi, Bangalore",8.0,9.0
180,Dr. Agarwal's Eye Hospital,"JP Nagar 3 Phase, Bangalore",6.0,25.0
181,Springleaf Healthcare,"Electronics City, Bangalore",6.0,25.0
182,HCG - Health Care Global,"Sampangiramnagar, Bangalore",22.0,5.0
183,Lokhande's Multispecialty Hospital,"Kalyan Nagar, Bangalore",2.0,15.0
184,Devi Eye Hospital,"HSR Layout, Bangalore",1.0,5.0
185,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33.0,100.0
186,GARDEN CITY HOSPITAL,"Jayanagar 3 Block, Bangalore",1.0,50.0
187,Icon Hospital Maternity & Multispeciality Centre,"Hebbal Kempapura, Bangalore",3.0,20.0
188,Punarjyoti Eye Hospital,"Wilson Garden, Bangalore",25.0,20.0
189,Sagar Hospital DSI,"Banashankari, Bangalore",5.0,400.0
190,Lake View Hospital,"HSR Layout, Bangalore",21.0,20.0
191,BSA Nursing Home,"Bannerghatta Road, Bangalore",13.0,3.0
192,People Tree Hospitals at Chris,"Kalyan Nagar, Bangalore",1.0,100.0
193,Manjunath Hospital,"Wilson Garden, Bangalore",59.0,30.0
194,GIA Hospital,"Vijayanagar, Bangalore",15.0,25.0
195,Jayashree Multispeciality Hospital,"Begur, Bangalore",9.0,70.0
196,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11.0,120.0
197,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",1.0,150.0
198,Shishuka Children's Specialty Hospital,"HRBR Layout, Bangalore",7.0,50.0
199,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",7.0,150.0
200,R C Hospital,"Rajarajeshwarinagar, Bangalore",1.0,20.0
201,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",28.0,30.0
202,BMS Hospital,"Basavanagudi, Bangalore",89.0,8.0
203,Marvel Multispeciality Hospital,"Koramangala 1 Block, Bangalore",1.0,50.0
204,Femiint Health,"Whitefield, Bangalore",6.0,20.0
205,Fortis Hospital,"Bannerghatta Road, Bangalore",1.0,400.0
206,Narayana Nethralaya,"Bannerghatta Road, Bangalore",2.0,21.0
207,Hope Hospital,"Munnekollal, Bangalore",2.0,20.0
208,Geetha Hospital ,"Avalahalli, Bangalore",1.0,6.0
209,Jayashree Nursing Home,"Kumara Park West, Bangalore",26.0,25.0
210,Mamta Nursing Home,"Wilson Garden, Bangalore",14.0,15.0
211,Health India Hospital,"Tavarekere, Bangalore",1.0,50.0
212,Eskay Healthcare,"Abbigere, Bangalore",7.0,50.0
213,Kangaroo Care Women & Children Hospital,"Vijayanagar, Bangalore",16.0,40.0
214,Lakshmi Maternity & Surgical  Centre,"Malleswaram, Bangalore",1.0,40.0
215,Sreenagar Nursing Home,"Srinagar, Bangalore",7.0,30.0
216,Cloudnine Hospital,"Bellandur, Bangalore",4.0,30.0
217,Birthright By Rainbow,"Bannerghatta Road, Bangalore",34.0,20.0
218,NU Hospitals,"Padmanabhanagar, Bangalore",1.0,62.0
219,People Tree Maarga,"Yelahanka, Bangalore",8.0,30.0
220,Cure Hospital ,"RT Nagar, Bangalore",1.0,15.0
221,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10.0,100.0
222,Apollo Cradle,"Koramangala 6 Block, Bangalore",1.0,15.0
223,Pralaksha Hospital,"Hosur Road, Bangalore",1.0,35.0
224,Cure n Care Hospital,"Horamavu, Bangalore",1.0,20.0
225,Asha Nursing Home,"Banaswadi, Bangalore",2.0,16.0
226,Spurthy Hospital,"BTM Layout, Bangalore",2.0,15.0
227,SMT Shakuntala Patil Eye Hospital & Shakuntala Vision Care,"Basavanagudi, Bangalore",9.0,1.0
228,Athreya Hospital,"Hosur Road, Bangalore",8.0,50.0
229,Sri Venkateshwara Nethralaya,"Rajarajeshwarinagar, Bangalore",10.0,10.0
230,Mathru Nursing Home,"Hulimavu, Bangalore",11.0,15.0
231,Subbiah Hospital,"Mathikere - BEL, Bangalore",1.0,24.0
232,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",6.0,100.0
233,Manipal Hospital,"Whitefield, Bangalore",8.0,280.0
234,The Venlakh Hospital,"Chamarajpet, Bangalore",8.0,50.0
235,Republic Hospital,"Richmond Town, Bangalore",2.0,70.0
236,Bagavathi Multi Speciality Hospital,"HSR Layout, Bangalore",2.0,40.0
237,Medstar Speciality Hospital,"Sahakaranagar, Bangalore",2.0,35.0
238,Trupthi Nursing Home,"Basaveshwaranagar, Bangalore",1.0,10.0
239,Anugraha Nursing Home,"Malleswaram, Bangalore",1.0,15.0
240,GarbhaGudi IVF Center,"Kalyan Nagar, Bangalore",7.0,5.0
241,Shri Vijayalakshmi Hospital & Trauma Centre,"Hennur, Bangalore",2.0,15.0
242,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11.0,250.0
243,Sai Jyoti Eye and Dental Hospital,"Ulsoor, Bangalore",14.0,10.0
244,Beams Hospital,"Koramangala, Bangalore",2.0,8.0
245,Blossom Multispecialty Hospital,"Electronics City, Bangalore",10.0,40.0
246,Mathru Multispecialty Hospital,"Kanakpura Road, Bangalore",1.0,35.0
247,Omega Multispeciality Hospital,"Yelahanka New Town, Bangalore",1.0,40.0
248,Sri Krishna Hospital,"Bannerghatta Road, Bangalore",12.0,20.0
249,Prakruthi Veterinary Hospital,"Banashankari, Bangalore",1.0,2.0
250,Manipal Ankur,"Kalyan Nagar, Bangalore",4.0,25.0
251,Mamatha Nursing Home,"Rajajinagar, Bangalore",3.0,10.0
252,Shifaa Hospital,"Vasanthnagar, Bangalore",25.0,200.0
253,Chamundi Hospital,"Madiwala, Bangalore",1.0,10.0
254,Raghavendra People Tree Hospital,"T Dasarahalli, Bangalore",1.0,100.0
255,Ramakrishna Nursing Home,"Malleswaram, Bangalore",1.0,22.0
256,Devi Nursing Home,"Koramangala 2 Block, Bangalore",1.0,1.0
257,M.V. Centre For Diabetes,"Koramangala, Bangalore",2.0,1.0
258,Nethralakshi Eye Hospital,"Chamarajpet, Bangalore",4.0,30.0
259,Unity Hospital,"Rajarajeshwarinagar, Bangalore",2.0,5.0
260,HCG Hospitals,"Koramangala 5 Block, Bangalore",1.0,6.0
261,Shankar Nursing Home,"KR Puram, Bangalore",2.0,5.0
262,Bengaluru Smiles Hospital,"Mathikere - BEL, Bangalore",2.0,50.0
263,Divyadristhi Eye Hospital,"Vijayanagar, Bangalore",2.0,5.0
264,Health  Cottage  Hospital,"Ulsoor, Bangalore",1.0,20.0
265,Nagarathna Hospital,"Kanakpura Road, Bangalore",1.0,8.0
266,Hitech Kidney Stone Hospital,"Jayanagar 7 Block, Bangalore",1.0,3.0
267,Davita Care India Pvt. Ltd,"Shantinagar, Bangalore",1.0,20.0
268,Vinayaka speciality hospital,"Bommanahalli, Bangalore",1.0,4.0
269,Hitech Kidney Stone Hospital,"Kumara Park West, Bangalore",4.0,5.0
270,Dr. Agarwal's Eye Hospital,"Padmanabhanagar, Bangalore",3.0,2.0
271,KSAC Hospital,"Koramangala 6 Block, Bangalore",2.0,4.0
272,Sahasra Hospitals,"Jayanagar, Bangalore",1.0,35.0
273,"CHIRAG HOSPITAL, Bangalore","JP Nagar 2 Phase, Bangalore",1.0,25.0
274,Dr Solanki Eye Hospital,"Malleswaram, Bangalore",1.0,10.0
275,DaVita Care India Pvt. Ltd.,"Banashankari 2nd Stage, Bangalore",9.0,20.0
276,Mallige Hospital,"Peenya, Bangalore",1.0,15.0
277,Vijaya Hospital,"Dasarahalli, Bangalore",6.0,25.0
278,Republic Maternity Centre,"Bapujinagar, Bangalore",4.0,10.0
279,Vasan Eye Care Hospital,"Vijayanagar, Bangalore",1.0,2.0
280,K L Hospital,"Ramamurthy Nagar, Bangalore",2.0,55.0
281,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",6.0,400.0
282,Gunasheela Fertility Centre,"Koramangala 3 Block, Bangalore",4.0,1.0
283,Dr. Agarwal's Eye Hospital,"Frazer Town, Bangalore",1.0,4.0
284,Hitech Unity Hospital,"Bapujinagar, Bangalore",1.0,25.0
285,Adarsh Multi Specialty Hospital,"Kengeri, Bangalore",1.0,20.0
286,Manasa Hospital,"Vijayanagar, Bangalore",1.0,39.0
287,Doctor Square Multispeciality Hospital,"Zirakpur, Chandigarh",5.0,10.0
288,Grover Eye Laser & ENT Hospital,"Sector 35, Chandigarh",6.0,50.0
289,Mukat Hospital & Heart Institute,"Sector 34, Chandigarh",9.0,40.0
290,Dashmesh Hospital,"Zirakpur, Chandigarh",3.0,10.0
291,Hope Clinic Maternity Centre,"Sector 21, Chandigarh",6.0,7.0
292,VCare Hospital,"Zirakpur, Chandigarh",2.0,15.0
293,Eden Hospital,"Industrial Area Phase I, Chandigarh",10.0,100.0
294,Healing Hospital,"Sector 34, Chandigarh",1.0,50.0
295,Pandhi Hospital,"Sector 36, Chandigarh",3.0,40.0
296,Sangeeta Nursing Home,"Sector 21, Chandigarh",2.0,7.0
297,Dr. Mehta's Hospitals,"Chetpet, Chennai",67.0,27.0
298,Apollo Speciality Hospital,"Vanagaram, Chennai",50.0,50.0
299,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12.0,60.0
300,Parvathi Nursing Home,"KK Nagar, Chennai",6.0,25.0
301,St.Isabel's Hospital,"Mylapore, Chennai",142.0,300.0
302,Hindu Mission Hospital,"Tambaram West, Chennai",50.0,220.0
303,Mercury Hospital,"Egmore, Chennai",3.0,30.0
304,Chennai Krishna Hospital,"Chromepet, Chennai",4.0,11.0
305,Fortis Malar Hospital,"Adyar, Chennai",68.0,500.0
306,Radial Ortho Speciality Hospital,"Medavakkam, Chennai",1.0,10.0
307,B M Hospitals,"Nanganallur, Chennai",17.0,70.0
308,KKR ENT Hospital and Research Centre,"Kilpauk, Chennai",6.0,35.0
309,Bethesda Hospital & Child Care Centre,"Tambaram East, Chennai",3.0,35.0
310,Madras Medical Mission Hospital,"Mogappair, Chennai",31.0,100.0
311,Kedar Hospital,"Mugalivakkam, Chennai",9.0,10.0
312,Cosh,"Tambaram, Chennai",5.0,50.0
313,Lifeline Rigid Hospitals,"Kilpauk, Chennai",13.0,45.0
314,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",14.0,30.0
315,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",15.0,50.0
316,Pankajam Memorial Hospital,"Nanganallur, Chennai",4.0,25.0
317,Srinivas Priya Hospital,"Perambur, Chennai",4.0,75.0
318,Girishwari Hospital,"Teynampet, Chennai",7.0,150.0
319,Frontier Lifeline Hospital,"Mogappair, Chennai",9.0,120.0
320,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",8.0,60.0
321,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",14.0,5.0
322,Jayam Hospital & GFC Fertility,"Kodambakkam, Chennai",7.0,30.0
323,Kauvery Hospitals,"Mylapore, Chennai",24.0,100.0
324,Swaram Specialty Hospital,"Sholinganallur, Chennai",5.0,30.0
325,Billroth Hospitals,"Shenoy Nagar, Chennai",42.0,600.0
326,Dr Kamaraj Hospital For Men's Health,"Vadapalani, Chennai",5.0,10.0
327,Balaji Nursing Home,"Thiruvanmiyur, Chennai",3.0,15.0
328,Sooriya Hospital,"Saligramam, Chennai",12.0,200.0
329,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15.0,100.0
330,Siva Head & Neck Hospital,"Royapettah, Chennai",3.0,10.0
331,KHM Hospital,"Anna Nagar, Chennai",23.0,50.0
332,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8.0,300.0
333,Ponmalligai Hospital,"Adambakkam, Chennai",13.0,50.0
334,Jawahar Hospital,"Tambaram, Chennai",2.0,15.0
335,Gajanan Hospitals,"Tambaram, Chennai",12.0,75.0
336,BSS Hospital,"Mandaveli, Chennai",8.0,40.0
337,Pallava Hospital,"Ashok Nagar, Chennai",2.0,30.0
338,City Tower Hospitals,"Anna Nagar, Chennai",1.0,52.0
339,Padmini Nursing Home,"Chetpet, Chennai",40.0,15.0
340,Global Hospital,"Perumbakkam, Chennai",75.0,1000.0
341,Santosham Chest Hospital,"Egmore, Chennai",6.0,50.0
342,Prime OBG Fertility Centre,"Thiruvanmiyur, Chennai",8.0,20.0
343,Hindu Mission Health Services,"Nanganallur, Chennai",5.0,50.0
344,Shepherd Nursing Home,"Perambur, Chennai",10.0,20.0
345,Orthomed Hospital,"Royapettah, Chennai",8.0,60.0
346,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43.0,100.0
347,Amrit Hospital,"Sowcarpet, Chennai",9.0,6.0
348,Aakash Fertility Centre & Hospital,"Vadapalani, Chennai",2.0,50.0
349,Margaret Sidney Hospital,"Nanganallur, Chennai",3.0,10.0
350,N.N. Hospital,"Tambaram West, Chennai",2.0,4.0
351,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15.0,360.0
352,Firm Hospitals,"Anna Nagar, Chennai",9.0,20.0
353,Swaram Hospital Kelambakkam,"Kelambakkam, Chennai",2.0,20.0
354,Srushti Fertility Hospital & Womens Clinic,"Kotturpuram, Chennai",10.0,5.0
355,Care & Cure Speciality Hospital (C and C Woman's Hospital),"Ayanavaram, Chennai",6.0,10.0
356,J V Hospital,"Kodambakkam, Chennai",4.0,30.0
357,Surya Fertility Centre,"T Nagar, Chennai",1.0,2.0
358,Priya Nursing Home,"Washermenpet, Chennai",8.0,50.0
359,Raju Hospital,"T Nagar, Chennai",7.0,42.0
360,SKS Hospital,"Mogappair East, Chennai",4.0,10.0
361,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23.0,100.0
362,Noble Hospital,"Purasawakkam, Chennai",29.0,25.0
363,Deepam Hospitals,"Tambaram West, Chennai",5.0,136.0
364,Narayana Hospital,"Purasawakkam, Chennai",2.0,50.0
365,Krishna Eye And Ent Hospital,"T Nagar, Chennai",2.0,50.0
