,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
42,Green City Hospital,"JP Nagar 6 Phase, Bangalore",62.0,25.0
43,Manjunath Hospital,"Wilson Garden, Bangalore",59.0,30.0
44,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58.0,495.0
45,Shashwat Hospital,"Kothrud, Pune",58.0,30.0
46,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",57.0,100.0
47,Ananda Hospital,"LB Nagar, Hyderabad",57.0,10.0
48,St. Philomena's Hospital,"Viveknagar, Bangalore",55.0,400.0
49,Matushree Hospital,"Kandivali West, Mumbai",54.0,14.0
50,Apollo Speciality Hospitals,"OMR Road, Chennai",52.0,70.0
51,Apollo Spectra Hospital,"Alwarpet, Chennai",52.0,24.0
52,Fortis Escorts,"Okhla, Delhi",52.0,310.0
53,Yashoda Hospital,"Secunderabad, Hyderabad",51.0,500.0
54,Jaipur Golden Hospital,"Rohini, Delhi",51.0,250.0
55,Apollo Speciality Hospital,"Vanagaram, Chennai",50.0,50.0
56,People Tree Hospitals,"Yeshwanthpur, Bangalore",50.0,200.0
57,Fortis Hospital,"Shalimar Bagh, Delhi",50.0,282.0
58,Hindu Mission Hospital,"Tambaram West, Chennai",50.0,220.0
59,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",48.0,70.0
60,Unik Care Hospital,"Mallepally, Hyderabad",48.0,20.0
61,Mallige Medical Centre,"Kumara Park West, Bangalore",48.0,150.0
62,Shradha Multispeciality Hospital,"Narela, Delhi",47.0,20.0
63,Fortis La Femme,"Greater Kailash Part 2, Delhi",45.0,38.0
64,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45.0,500.0
65,Fortis Hospital,"Sector 62, Noida",44.0,75.0
66,Max Super Speciality Hospital,"Patparganj, Delhi",44.0,50.0
67,Retreat Hospital,"Malakpet, Hyderabad",43.0,20.0
68,Birthright By Rainbow,"Kondapur, Hyderabad",43.0,40.0
69,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43.0,100.0
70,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",42.0,30.0
71,ACE Hospital,"Erandwane, Pune",42.0,40.0
72,IndoGulf Hospital & Diagnostics,"Sector 19, Noida",42.0,50.0
73,Billroth Hospitals,"Shenoy Nagar, Chennai",42.0,600.0
74,Padmini Nursing Home,"Chetpet, Chennai",40.0,15.0
75,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39.0,100.0
76,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39.0,20.0
77,Cloudnine Kids,"Jayanagar, Bangalore",38.0,32.0
78,Guru Nanak Hospital,"Bandra East, Mumbai",37.0,120.0
79,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37.0,110.0
80,Venus Mother & Child Hospital,"Lal Bazaar, Hyderabad",37.0,15.0
81,Endoscopy Asia,"Sion West, Mumbai",37.0,80.0
82,Venkateshwar Hospital,"Dwarka, Delhi",36.0,325.0
83,Fortis Hospital,"Nagarbhavi, Bangalore",36.0,75.0
84,Sancheti Hospital,"Shivaji Nagar, Pune",35.0,200.0
85,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35.0,70.0
86,Birthright By Rainbow,"Bannerghatta Road, Bangalore",34.0,20.0
87,Aakash Hospital,"Malviya Nagar, Delhi",34.0,50.0
88,Medwin Hospitals,"Nampally, Hyderabad",34.0,200.0
89,Shree Jeewan Hospital,"Karol Bagh, Delhi",33.0,52.0
90,Sahyadri Hospital,"Bibvewadi, Pune",33.0,31.0
91,Apoorva Hospital,"Mehdipatnam, Hyderabad",33.0,20.0
92,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33.0,100.0
93,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33.0,100.0
94,Cloudnine Hospital,"T Nagar, Chennai",33.0,150.0
95,Maru Hospital,"Parel, Mumbai",33.0,20.0
96,Rockland Hospital,"Dwarka, Delhi",33.0,100.0
97,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33.0,200.0
98,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32.0,100.0
99,KIMS Hospital,"Kondapur, Hyderabad",32.0,150.0
100,Holy Spirit Hospital,"Andheri East, Mumbai",32.0,300.0
101,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32.0,500.0
102,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32.0,40.0
103,Sahyadri Hospital,"Kothrud, Pune",32.0,30.0
104,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",32.0,90.0
105,Zoi Hospitals,"Somajiguda, Hyderabad",31.0,104.0
106,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31.0,251.0
107,Madras Medical Mission Hospital,"Mogappair, Chennai",31.0,100.0
108,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31.0,220.0
109,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",31.0,50.0
110,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",30.0,10.0
111,Sri Balaji Hospital,"Guindy, Chennai",30.0,55.0
112,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30.0,80.0
113,MaxCure Hospitals,"Madhapur, Hyderabad",30.0,220.0
114,Sagar Hospital,"Jayanagar, Bangalore",30.0,200.0
115,Cloudnine Hospital,"Malleswaram, Bangalore",29.0,47.0
116,Bhagat Hospital,"Janak Puri, Delhi",29.0,35.0
117,An - Noor Eye Hospital,"Periyamet, Chennai",29.0,5.0
118,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29.0,1348.0
119,Elbit Polyclinics Tarnaka,"Secunderabad, Hyderabad",29.0,56.0
120,Belle Vue Clinic,"Minto Park, Kolkata",29.0,6.0
121,Noble Hospital,"Purasawakkam, Chennai",29.0,25.0
122,S R Multispeciality Hospital,"Arumbakkam, Chennai",28.0,30.0
123,Deepam Hospitals,"Chromepet, Chennai",28.0,40.0
124,VS Hospitals - Centre for Advanced Surgeries and Tertiary Care,"Kilpauk, Chennai",28.0,50.0
125,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28.0,200.0
126,Westend Speciality Petcare And Nursing Center,"Seshadripuram, Bangalore",28.0,5.0
127,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",28.0,30.0
128,Kailash Hospital,"Sector 27, Noida",27.0,325.0
129,Sumitra Hospital,"Sector 35, Noida",27.0,50.0
130,Ovum Woman & Child Speciality Hospital,"Banaswadi, Bangalore",27.0,28.0
131,Jaslok Hospital,"Peddar Road, Mumbai",27.0,364.0
132,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27.0,100.0
133,Sama Hospital,"August Kranti Marg, Delhi",27.0,31.0
134,Challa Hospitals,"Ameerpet, Hyderabad",27.0,100.0
135,BGS Global Hospital,"Kengeri, Bangalore",27.0,100.0
136,Jayashree Nursing Home,"Kumara Park West, Bangalore",26.0,25.0
137,Shobha Hospital,"BTM Layout, Bangalore",26.0,2.0
138,Shashwat Hospital,"Aundh, Pune",26.0,60.0
139,Fortis C-DOC Hospital,"Nehru Place, Delhi",26.0,25.0
140,Nano Hospitals,"Hulimavu, Bangalore",26.0,30.0
141,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26.0,175.0
142,Mantra Kerali Ayurvedic Hospital,"Saroor Nagar, Hyderabad",26.0,5.0
143,Brookefield Hospital,"Kundalahalli, Bangalore",25.0,100.0
144,Global Hospital,"Lakdikapul, Hyderabad",25.0,100.0
145,Omega Hospital,"Banjara Hills, Hyderabad",25.0,150.0
146,Sai Sneh Hospital & Diagnostic Center Pvt. Ltd,"Satara Road, Pune",25.0,31.0
147,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25.0,155.0
148,Shifaa Hospital,"Vasanthnagar, Bangalore",25.0,200.0
149,Metro Multispeciality Hospital,"Sector 11, Noida",25.0,207.0
150,Vignesh Nursing Home,"Kukatpally, Hyderabad",25.0,30.0
151,Punarjyoti Eye Hospital,"Wilson Garden, Bangalore",25.0,20.0
152,Medipoint Hospital,"Aundh, Pune",25.0,102.0
153,NRR Hospitals,"Jalahalli, Bangalore",25.0,20.0
154,Karuna Hospital,"Borivali West, Mumbai",25.0,50.0
155,Veena Nursing Home,"Rohini, Delhi",25.0,6.0
156,Adiva Hospital,"Green Park, Delhi",25.0,15.0
157,Kauvery Hospitals,"Mylapore, Chennai",24.0,100.0
158,Sunshine Hospital,"Secunderabad, Hyderabad",24.0,450.0
159,Vision Eye Hospital,"Rohini, Delhi",24.0,2.0
160,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24.0,60.0
161,Omni Hospitals,"Kothapet, Hyderabad",23.0,250.0
162,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23.0,100.0
163,Eshwar Hospital,"Mahalakshmi Layout, Bangalore",23.0,11.0
164,Murugan Hospitals,"Kilpauk, Chennai",23.0,50.0
165,Sanjeevan Hospital,"Karve Nagar, Pune",23.0,105.0
166,Hande Hospital,"Shenoy Nagar, Chennai",23.0,20.0
167,MITR Hospitals,"Sector 35, Noida",23.0,100.0
168,KHM Hospital,"Anna Nagar, Chennai",23.0,50.0
169,Cloudnine Hospital,"Whitefield, Bangalore",22.0,13.0
170,Felix Hospital,"Sector 137, Noida",22.0,150.0
171,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",22.0,150.0
172,Niron Hospital,"Santacruz East, Mumbai",22.0,50.0
173,Bangalore Hospital ,"Jayanagar, Bangalore",22.0,55.0
174,Seven Eleven Hospital,"Mira Road, Mumbai",22.0,150.0
175,Mata Roop Rani Maggo Hospital,"Uttam Nagar, Delhi",22.0,40.0
176,HCG - Health Care Global,"Sampangiramnagar, Bangalore",22.0,5.0
177,Navachetana Hospital,"Yelahanka, Bangalore",22.0,30.0
178,Lake View Hospital,"HSR Layout, Bangalore",21.0,20.0
179,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21.0,250.0
180,Pristine Hospital,"West Of Chord Road, Bangalore",21.0,100.0
181,Family Hospital,"Mathikere - BEL, Bangalore",21.0,20.0
182,Suraksha Children Hospital,"Tarnaka, Hyderabad",21.0,50.0
183,Excel Care Hospital,"Banashankari 2nd Stage, Bangalore",21.0,44.0
184,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21.0,25.0
185,Sujay Hospital,"Vileparle West, Mumbai",21.0,50.0
186,Alpha Hospital,"Charminar, Hyderabad",21.0,120.0
187,Landmark Hospitals,"Nizampet, Hyderabad",21.0,100.0
188,Ashwini Accident Hospital,"Mahim, Mumbai",21.0,10.0
189,Amri Hospitals,"Salt Lake, Kolkata",21.0,210.0
190,Sankara Eye Hospital,"Kundalahalli, Bangalore",20.0,25.0
191,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",20.0,40.0
192,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",20.0,40.0
193,Cloudnine Hospital,"Shivaji Nagar, Pune",20.0,18.0
194,Sankhya Hospitals,"Kukatpally, Hyderabad",20.0,50.0
195,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",20.0,100.0
196,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",20.0,75.0
197,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20.0,90.0
198,Vikram Hospital,"Millers Road, Bangalore",19.0,225.0
199,Sree Maruthi Nursing Home,"West Marredpally, Hyderabad",19.0,50.0
200,Dhanwantari Hospital,"Nigdi, Pune",19.0,30.0
201,Axis Multispecialty Hospital,"Andheri West, Mumbai",19.0,20.0
202,Basant Sahney Hospital,"West Marredpally, Hyderabad",19.0,60.0
203,Divya Prastha Hospital,"Palam Colony, Delhi",19.0,55.0
204,Malik Radix Health Care,"Nirman Vihar, Delhi",19.0,50.0
205,Thatha Hospital,"Kapra, Hyderabad",19.0,100.0
206,Apollo Spectra,"Koramangala 4 Block, Bangalore",19.0,8.0
207,Aastha Health Care,"Mulund West, Mumbai",19.0,50.0
208,Masrani Hospital For Women,"Andheri, Mumbai",19.0,15.0
209,Kedarnath General Hospital,"Vishrantwadi, Pune",19.0,24.0
210,Gambhir Hospital,"Rajouri Garden, Delhi",19.0,20.0
211,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18.0,76.0
212,Bgs Global Hospitals,"Kengeri, Bangalore",18.0,10.0
213,Mai Mangeshkar Hospital,"Warje, Pune",18.0,50.0
214,Umarji Hospital,"Shukrawar Peth, Pune",18.0,8.0
215,Columbia Asia Hospital,"Whitefield, Bangalore",18.0,150.0
216,Columbia Asia Hospital,"Kharadi, Pune",18.0,50.0
217,MyCure Hospital - Zila Parishad Junction,"Maharani Peta, Visakhapatnam",18.0,56.0
218,Bansal Hospital,"New Friends Colony, Delhi",18.0,15.0
219,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18.0,38.0
220,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18.0,100.0
221,Irene Hospital,"Kalkaji, Delhi",18.0,55.0
222,Poornima Hospital,"RT Nagar, Bangalore",18.0,30.0
223,Platinum Hospital,"Mulund East, Mumbai",17.0,100.0
224,Dr Tambe's Children Hospital,"Vikhroli East, Mumbai",17.0,9.0
225,Krishna Hospital,"Kothrud, Pune",17.0,40.0
226,Apollo Medical Center,"Karapakkam, Chennai",17.0,100.0
227,Venkataeswara Hospitals,"Nandanam, Chennai",17.0,130.0
228,AyurVAID Hospitals (Ayurveda),"Ramamurthy Nagar, Bangalore",17.0,15.0
229,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",17.0,120.0
230,Sona Hospital And Medical Centre,"Santacruz East, Mumbai",17.0,15.0
231,Sai Hospital-Thane,"Mulund, Mumbai",17.0,25.0
232,Shreenagar Nursing Home,"Srinagar, Bangalore",17.0,30.0
233,Pace Hospitals,"Begumpet, Hyderabad",17.0,100.0
234,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17.0,100.0
235,Birthright By Rainbow,"Hyder Nagar, Hyderabad",17.0,80.0
236,Bhartiya Arogya Nidhi Hospital,"Juhu, Mumbai",17.0,5.0
237,B M Hospitals,"Nanganallur, Chennai",17.0,70.0
238,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16.0,100.0
239,ANN Hospital,"Valasaravakkam, Chennai",16.0,50.0
240,Pace Hospital,"Hitech City, Hyderabad",16.0,100.0
241,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16.0,102.0
242,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",16.0,75.0
243,Himagiri Hospitals,"Gachibowli, Hyderabad",16.0,50.0
244,Vighnharta Sai Hospital,"Bhosari, Pune",16.0,10.0
245,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16.0,150.0
246,Inamdar Hospital,"NIBM, Pune",16.0,15.0
247,Columbia Asia Hospitals,"Salt Lake, Kolkata",16.0,100.0
248,Sidvin Hospital ,"Rajajinagar, Bangalore",16.0,50.0
249,Shalom Medicare Pvt Ltd,"Bhayandar East, Mumbai",16.0,25.0
250,Kangaroo Care Women & Children Hospital,"Vijayanagar, Bangalore",16.0,40.0
251,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16.0,110.0
252,Sagar Chandramma Hospitals,"VV Puram, Bangalore",16.0,50.0
253,Swapna Hospital,"Dilsukhnagar, Hyderabad",15.0,59.0
254,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15.0,100.0
255,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15.0,350.0
256,Sumana Hospital,"Kukatpally, Hyderabad",15.0,50.0
257,AMRI Hospital,"Dhakuria, Kolkata",15.0,1000.0
258,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",15.0,25.0
259,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15.0,100.0
260,NU Hospitals,"Rajajinagar, Bangalore",15.0,100.0
261,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15.0,100.0
262,Charnock Hospital,"Teghoria, Kolkata",15.0,5.0
263,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",15.0,50.0
264,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15.0,100.0
265,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15.0,30.0
266,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15.0,360.0
267,GIA Hospital,"Vijayanagar, Bangalore",15.0,25.0
268,Vasavi Hospital,"Lakdikapul, Hyderabad",14.0,150.0
269,Mamta Nursing Home,"Wilson Garden, Bangalore",14.0,15.0
270,Mahaveer Hospital,"Masab Tank, Hyderabad",14.0,200.0
271,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",14.0,30.0
272,Shruti Hospital,"Old City, Hyderabad",14.0,10.0
273,Dr. Mohan's Diabetes Specialities Centre,"Domalguda, Hyderabad",14.0,8.0
274,Bhandari Hospital,"Gopalpura, Jaipur",14.0,100.0
275,Rajan Eye Care Hospital Pvt Ltd,"T Nagar, Chennai",14.0,30.0
276,Supurva Hospitals,"Kanakpura Road, Bangalore",14.0,85.0
277,Apollo Hospital,"Hyderguda, Hyderabad",14.0,200.0
278,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",14.0,5.0
279,RUBY Hospital,"Kasba, Kolkata",14.0,100.0
280,The Childrens Hospital Mumbai,"Malad West, Mumbai",14.0,12.0
281,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14.0,50.0
282,Fortis Aashlok Hospital,"Safdarjung Enclave, Delhi",14.0,30.0
283,Sai Jyoti Eye and Dental Hospital,"Ulsoor, Bangalore",14.0,10.0
284,Mangal Murti Hospital,"Borivali West, Mumbai",14.0,30.0
285,Sukhmani Hospital,"Safdarjung Enclave, Delhi",14.0,30.0
286,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",14.0,56.0
287,VS Hospitals - Advanced Cancer Care,"Chetpet, Chennai",14.0,50.0
288,Healing Touch Hospital,"Mehdipatnam, Hyderabad",14.0,5.0
289,Apollo Spectra Hospitals,"C Scheme, Jaipur",13.0,40.0
290,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",13.0,102.0
291,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13.0,150.0
292,Muni Maya Ram Jain Hospital,"Pitampura, Delhi",13.0,50.0
293,Jeevika Hospital,"Marathahalli, Bangalore",13.0,80.0
294,Lifeline Rigid Hospitals,"Kilpauk, Chennai",13.0,45.0
295,Sri Sai Kamala Hospital,"Dilsukhnagar, Hyderabad",13.0,50.0
296,Unicare Hospital,"Chakan, Pune",13.0,75.0
297,Ponmalligai Hospital,"Adambakkam, Chennai",13.0,50.0
298,Ranka Multispeciality Hospital,"Swargate, Pune",13.0,101.0
299,RG Stone Urology & Laparoscopy Hospital,"Pitampura, Delhi",13.0,6.0
300,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13.0,100.0
301,Vijay Marie Hospital,"Khairatabad, Hyderabad",13.0,200.0
302,Apollo Hospital - Sowcarpet,"Sowcarpet, Chennai",13.0,22.0
303,Dhanashree Hospital,"Chinchwad, Pune",13.0,50.0
304,Max Vision Eye Hospital,"Kukatpally, Hyderabad",13.0,10.0
305,Swastik Medical Center,"Anand Vihar, Delhi",13.0,13.0
306,Ashwin Medical Foundation's Moraya Multispeciality Hospital,"Chinchwad, Pune",13.0,50.0
307,BSA Nursing Home,"Bannerghatta Road, Bangalore",13.0,3.0
308,Lotus Hospital,"Rajarhat, Kolkata",13.0,25.0
309,Aashna Nursing Home,"Andheri, Mumbai",13.0,10.0
310,Asha Hospital,"Banjara Hills, Hyderabad",12.0,200.0
311,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",12.0,60.0
312,The Birthplace Hospital,"Banjara Hills, Hyderabad",12.0,25.0
313,Apex Hospital,"Naraina Vihar, Delhi",12.0,25.0
314,Vanaja Hospital,"AS Rao Nagar, Hyderabad",12.0,25.0
315,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",12.0,100.0
316,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",12.0,100.0
317,Surana Hospital,"Bhayandar, Mumbai",12.0,15.0
318,Sri Krishna Hospital,"Bannerghatta Road, Bangalore",12.0,20.0
319,Gajanan Hospitals,"Tambaram, Chennai",12.0,75.0
320,Sparsh Hospital,"Delhi, Delhi",12.0,2.0
321,Shekhar Hospital,"Jayanagar, Bangalore",12.0,24.0
322,Sooriya Hospital,"Saligramam, Chennai",12.0,200.0
323,Manipal Ankur,"JP Nagar 1 Phase, Bangalore",12.0,11.0
324,Anupama Hospital,"KPHB, Hyderabad",12.0,10.0
325,St. Theresa Hospital,"Erragadda, Hyderabad",12.0,150.0
326,Jaypee Hospital,"Sector 128, Noida",12.0,1200.0
327,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12.0,60.0
328,Satyanand Hospital - Kondhwa,"Kondhwa, Pune",12.0,36.0
329,Bhagyalatha Hospital - Eye Unit,"Vanasthalipuram, Hyderabad",12.0,15.0
330,K K HOSPITAL,"Peeragarhi, Delhi",11.0,10.0
331,Ovum Fertility & Women's Health Center,"Kalyan Nagar, Bangalore",11.0,6.0
332,Bloom Fertility & Healthcare,"Velachery, Chennai",11.0,50.0
333,Krishna Hospital,"Pitampura, Delhi",11.0,20.0
334,Srikara Hospitals,"Secunderabad, Hyderabad",11.0,100.0
335,Lifewave Hospital,"Malad East, Mumbai",11.0,15.0
336,S K Hospital,"Nagarbhavi, Bangalore",11.0,20.0
337,Xenia Hospital,"Ecil, Hyderabad",11.0,100.0
338,Nice Hospital,"Masab Tank, Hyderabad",11.0,120.0
339,Be Well Hospital,"T Nagar, Chennai",11.0,15.0
340,MaxCure Suyosha Woman & Child Hospital,"Hitech City, Hyderabad",11.0,100.0
341,Mangal Anand Hospital,"Chembur, Mumbai",11.0,38.0
342,Central Hospital,"Sakinaka, Mumbai",11.0,20.0
343, Prakash Hospital,"Sector 33, Noida",11.0,120.0
344,Mathru Nursing Home,"Hulimavu, Bangalore",11.0,15.0
345,Shalyak Hospital,"Jogeshwari East, Mumbai",11.0,28.0
346,Sunder Lal Jain Hospital,"Ashok Vihar, Delhi",11.0,10.0
347,Sankhwar Hospital,"Kondli, Delhi",11.0,100.0
348,Pancholi Hospital,"Ghatkopar East, Mumbai",11.0,20.0
349,Sant Parmanand Hospital,"Civil Lines, Delhi",11.0,153.0
350,Lotus Multispeciality Hospital,"Pimple Saudagar, Pune",11.0,40.0
351,Sangita Maternity Surgical & Diagnostic Centre,"Andheri West, Mumbai",11.0,15.0
352,Bharathi Nursing Home,"Basavanagudi, Bangalore",11.0,30.0
353,Axon Speciality Hospital,"Indiranagar, Bangalore",11.0,50.0
354,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11.0,250.0
355,Modi Hospital ,"Mulund, Mumbai",11.0,25.0
356,Aasha  Fertility Centre,"Borivali West, Mumbai",11.0,12.0
357,Venus Hospital,"Malakpet, Hyderabad",11.0,100.0
358,Yashoda Hospital,"Malakpet, Hyderabad",11.0,500.0
359,Mythri Hospital,"Chanda Nagar, Hyderabad",11.0,150.0
360,SJM Super Speciality Hospital,"Sector 63, Noida",11.0,125.0
361,Life Care Hospital,"Sector 61, Noida",11.0,50.0
362,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11.0,120.0
363,Avis Hospitals,"Jubilee Hills, Hyderabad",11.0,20.0
364,ICare Eye Hospital,"Sector 26, Noida",11.0,10.0
365,Amrapali Hospital,"Greater Noida, Noida",10.0,100.0
366,N D R Hospital,"Yelahanka, Bangalore",10.0,15.0
367,Swapna Health Care,"Begumpet, Hyderabad",10.0,50.0
368,Metro Hospitals & Heart Institute,"Lajpat Nagar, Delhi",10.0,50.0
369,Helios Hospitals,"Velachery, Chennai",10.0,25.0
370,Panchsheel Hospital,"Yamuna Vihar, Delhi",10.0,50.0
371,NH Malla Reddy Narayan Multispeciality Hospital,"Jeedimetla, Hyderabad",10.0,250.0
372,Apollo Hospitals,"Sector 26, Noida",10.0,700.0
373,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10.0,100.0
374,Life Care Hospital,"BTM Layout, Bangalore",10.0,30.0
375,Zion Hospital,"Kammana Halli, Bangalore",10.0,55.0
376,Psycare,"Jasola, Delhi",10.0,30.0
377,New Noor Hospital,"Kurla West, Mumbai",10.0,5.0
378,Haritha Hospitals,"Kothaguda, Hyderabad",10.0,30.0
