,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
108,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31,220
113,MaxCure Hospitals,"Madhapur, Hyderabad",30,220
114,Sagar Hospital,"Jayanagar, Bangalore",30,200
118,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348
125,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28,200
128,Kailash Hospital,"Sector 27, Noida",27,325
131,Jaslok Hospital,"Peddar Road, Mumbai",27,364
132,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27,100
134,Challa Hospitals,"Ameerpet, Hyderabad",27,100
135,BGS Global Hospital,"Kengeri, Bangalore",27,100
141,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26,175
143,Brookefield Hospital,"Kundalahalli, Bangalore",25,100
144,Global Hospital,"Lakdikapul, Hyderabad",25,100
145,Omega Hospital,"Banjara Hills, Hyderabad",25,150
147,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25,155
148,Shifaa Hospital,"Vasanthnagar, Bangalore",25,200
149,Metro Multispeciality Hospital,"Sector 11, Noida",25,207
152,Medipoint Hospital,"Aundh, Pune",25,102
157,Kauvery Hospitals,"Mylapore, Chennai",24,100
158,Sunshine Hospital,"Secunderabad, Hyderabad",24,450
161,Omni Hospitals,"Kothapet, Hyderabad",23,250
162,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23,100
165,Sanjeevan Hospital,"Karve Nagar, Pune",23,105
167,MITR Hospitals,"Sector 35, Noida",23,100
170,Felix Hospital,"Sector 137, Noida",22,150
171,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",22,150
174,Seven Eleven Hospital,"Mira Road, Mumbai",22,150
179,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21,250
180,Pristine Hospital,"West Of Chord Road, Bangalore",21,100
186,Alpha Hospital,"Charminar, Hyderabad",21,120
187,Landmark Hospitals,"Nizampet, Hyderabad",21,100
189,Amri Hospitals,"Salt Lake, Kolkata",21,210
195,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",20,100
198,Vikram Hospital,"Millers Road, Bangalore",19,225
205,Thatha Hospital,"Kapra, Hyderabad",19,100
215,Columbia Asia Hospital,"Whitefield, Bangalore",18,150
220,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18,100
223,Platinum Hospital,"Mulund East, Mumbai",17,100
226,Apollo Medical Center,"Karapakkam, Chennai",17,100
227,Venkataeswara Hospitals,"Nandanam, Chennai",17,130
229,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",17,120
233,Pace Hospitals,"Begumpet, Hyderabad",17,100
234,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17,100
238,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16,100
240,Pace Hospital,"Hitech City, Hyderabad",16,100
241,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16,102
245,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16,150
247,Columbia Asia Hospitals,"Salt Lake, Kolkata",16,100
251,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16,110
254,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15,100
255,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15,350
257,AMRI Hospital,"Dhakuria, Kolkata",15,1000
259,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15,100
260,NU Hospitals,"Rajajinagar, Bangalore",15,100
261,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15,100
264,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15,100
266,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15,360
