,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
49,Fortis Hospital,"Shalimar Bagh, Delhi",3,282
50,Manipal Hospital,"Whitefield, Bangalore",8,280
51,Fortis Hospital,"Mulund West, Mumbai",1,261
52,Saifee Hospital,"Charni Road, Mumbai",3,256
53,Sunrise Hospitals,"East Of Kailash, Delhi",13,250
54,Citizens Specialty Hospitals,"Lingampally, Hyderabad",4,250
55,HV Desai Eye Hospital,"Hadapsar, Pune",18,250
56,Omni Hospitals,"Kothapet, Hyderabad",37,250
57,NH Malla Reddy Narayan Multispeciality Hospital,"Jeedimetla, Hyderabad",4,250
58,Ozone Hospitals,"Dilsukhnagar, Hyderabad",3,250
59,Care Hospitals,"Gachibowli, Hyderabad",14,250
60,Medisys Hospitals,"LB Nagar, Hyderabad",1,250
61,Max Super Speciality Hospital,"Saket, Delhi",2,250
62,CSI Rainy Hospital,"Washermenpet, Chennai",3,250
63,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11,250
64,Jaipur Golden Hospital,"Rohini, Delhi",5,250
65,Dharamshila Hospital,"Vasundhra Enclave, Delhi",33,250
66,CHL Hospital,"LIG Colony, Indore",1,250
67,"Dr Ashvith Shetty's Clinic, Hiranandani hospital","Powai, Mumbai",1,240
68,Masina Hospital ,"Byculla, Mumbai",1,232
69,Vikram Hospital,"Millers Road, Bangalore",19,225
70,Hindu Mission Hospital,"Tambaram West, Chennai",13,220
71,MaxCure Hospitals,"Madhapur, Hyderabad",25,220
72,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",1,220
73,Amri Hospitals,"Salt Lake, Kolkata",1,210
74,Mata Chanan Devi Hospital,"Janak Puri, Delhi",12,210
75,Bhatia  Hospital,"Tardeo, Mumbai",39,209
76,Metro Multispeciality Hospital,"Sector 11, Noida",1,207
77,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7,205
78,Care Hospitals,"Banjara Hills, Hyderabad",3,200
79,Vijay Marie Hospital,"Khairatabad, Hyderabad",12,200
80,Srikara Hospitals,"Miyapur, Hyderabad",8,200
81,Maxcure Hospitals,"Saifabad, Hyderabad",4,200
82,The Deccan Hospital,"Somajiguda, Hyderabad",1,200
83,Apollo Hospital,"Hyderguda, Hyderabad",1,200
84,Sooriya Hospital,"Saligramam, Chennai",2,200
85,Bharathiraja Hospital,"T Nagar, Chennai",4,200
86,Sagar Hospital,"Jayanagar, Bangalore",30,200
87,Tirath Ram Shah Hospital,"Civil Lines, Delhi",13,200
88,Surbhi Hospital,"Sector 35, Noida",1,200
89,Asha Hospital,"Banjara Hills, Hyderabad",1,200
90,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",5,200
91,People Tree Hospitals,"Yeshwanthpur, Bangalore",50,200
92,Choithram Hospital & Research Centre,"Manikbagh, Indore",9,200
93,Shalby Hospital,"Old Palasia, Indore",3,200
94,Sterling Multispeciality Hospital,"Nigdi, Pune",3,200
95,Fortis Hospital,"Vasant Kunj, Delhi",11,200
96,Medwin Hospitals,"Nampally, Hyderabad",5,200
97,Shifaa Hospital,"Vasanthnagar, Bangalore",25,200
98,Sahyadri Hospitals,"Deccan Gymkhana, Pune",35,200
99,Mahaveer Hospital,"Masab Tank, Hyderabad",4,200
100,Sancheti Hospital,"Shivaji Nagar, Pune",42,200
101,St. Joseph's Hospital,"Gomtinagar, Lucknow",1,180
102,BBR Super Speciality Hospital,"Balanagar, Hyderabad",2,175
103,Kohinoor Hospital,"Kurla West, Mumbai",7,175
104,Neera Hospital,"Mahanagar, Lucknow",1,160
105,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",1,160
106,Yatharth Wellness Hospital & Trauma Centre,"Greater Noida, Noida",6,157
107,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",10,155
108,Sant Parmanand Hospital,"Civil Lines, Delhi",25,153
109,Apollo Hospital,"Jayanagar, Bangalore",2,150
110,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",7,150
111,Thumbay Hospital New Life,"Malakpet, Hyderabad",43,150
112,Omega Hospital,"Banjara Hills, Hyderabad",14,150
113,Columbia Asia Hospital,"Whitefield, Bangalore",18,150
114,Girishwari Hospital,"Teynampet, Chennai",27,150
115,Apollo Hospital,"Secunderabad, Hyderabad",51,150
116,Sigma Hospital ,"Jeedimetla, Hyderabad",2,150
117,KIMS Bibi Hospital,"Malakpet, Hyderabad",7,150
118,St. Theresa Hospital,"Erragadda, Hyderabad",1,150
119,Cloudnine Hospital,"T Nagar, Chennai",1,150
120,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",4,150
121,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",1,150
122,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",15,150
123,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",2,150
124,KIMS Hospital,"Kondapur, Hyderabad",15,150
125,Vasavi Hospital,"Lakdikapul, Hyderabad",4,150
126,Mythri Hospital,"Chanda Nagar, Hyderabad",16,150
127,Kamineni Hospitals,"King Koti, Hyderabad",1,150
128,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150
129,Birthright By Rainbow,"Banjara Hills, Hyderabad",14,150
130,Medanta Superspeciality Hospital,"Vijay Nagar, Indore",1,150
131,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2,150
132,Felix Hospital,"Sector 137, Noida",1,150
133,Sterling Super Speciality Hospitals,"Trimulgherry, Hyderabad",1,150
134,Seven Eleven Hospital,"Mira Road, Mumbai",9,150
135,Live 100 Hospital,"Singasandra, Bangalore",3,150
136,OMNI Hospitals,"Kukatpally, Hyderabad",1,150
137,SVS Marwari Hospital,"Raja Ram Mohan Sarani, Kolkata",2,150
138,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13,150
139,Specialist Hospital,"Kalyan Nagar, Bangalore",9,150
140,Sparsh Hospital,"Hosur Road, Bangalore",4,150
141,Narayana Multispeciality Hospital,"Barasat, Kolkata",17,145
142,Indo US Diabetes Research Center & Multi Specialty Hospital,"Malakpet, Hyderabad",1,140
143,S L Raheja Fortis Hospital,"Mahim, Mumbai",16,140
144,Thunga Hospital,"Malad West, Mumbai",2,140
145,Deepam Hospitals,"Tambaram West, Chennai",15,136
146,Venkataeswara Hospitals,"Nandanam, Chennai",9,130
147,EEDF Hospital,"Jodhpur Park, Kolkata",26,130
148,ILS Hospitals,"Dumdum Road, Kolkata",19,130
149,Techno Global Hospital,"Barrackpore, Kolkata",18,130
150,SJM Super Speciality Hospital,"Sector 63, Noida",1,125
151,Chennai National Hospital,"Parrys, Chennai",3,120
152,Mahavir Vatsalya Aspataal,"Kurji Md. Pur, Patna",2,120
153,Alpha Hospital,"Charminar, Hyderabad",8,120
154,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",10,120
155,Nice Hospital,"Masab Tank, Hyderabad",39,120
156,Max Hospital,"Pitampura, Delhi",5,120
157,Mamatha Hospitals,"Kukatpally, Hyderabad",20,120
158,Poulomi Hospital,"Kapra, Hyderabad",8,120
159, Prakash Hospital,"Sector 33, Noida",2,120
160,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11,120
161,Frontier Lifeline Hospital,"Mogappair, Chennai",12,120
162,Sharma Medicare Hospital,"Greater Noida, Noida",1,120
163,Guru Nanak Hospital,"Bandra East, Mumbai",25,120
164,Max Multispeciality Hospital,"Greater Noida, Noida",1,114
165,North City Hospital,"Ultadanga, Kolkata",4,110
166,Zen Multispeciality Hospital,"Chembur, Mumbai",1,110
167,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",7,110
168,Lokmanya Hospital,"Nigdi, Pune",4,110
169,Metro Hospitals & Heart Institute,"Sector 12, Noida",1,110
170,Godrej Memorial Hospital,"Vikhroli, Mumbai",10,110
171,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16,110
172,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",2,110
173,Santom Hospital,"Rohini, Delhi",12,105
174,Sanjeevan Hospital,"Karve Nagar, Pune",5,105
175,Zoi Hospitals,"Somajiguda, Hyderabad",25,104
176,Shri Ram Singh Hospital & Heart Institute,"Krishna Nagar, Delhi",1,104
177,Lokmanya Multi Speciality Hospital,"Chinchwad, Pune",1,103
178,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",1,102
179,Medipoint Hospital,"Aundh, Pune",33,102
180,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",7,102
181,Ranka Multispeciality Hospital,"Swargate, Pune",2,101
182,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",5,100
183,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",9,100
184,BSES MG Hospital,"Andheri West, Mumbai",4,100
185,Sanjeevan Hospital,"Darya Ganj, Delhi",29,100
186,Rockland Hospital,"Dwarka, Delhi",6,100
187,Sankhwar Hospital,"Kondli, Delhi",36,100
188,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",8,100
189,Olive Hospital,"Mehdipatnam, Hyderabad",35,100
190,Criticare Hospital,"Andheri East, Mumbai",2,100
191,Zenith Hospital,"Malad, Mumbai",1,100
192,Madras Medical Mission Hospital,"Mogappair, Chennai",14,100
193,Kauvery Hospitals,"Mylapore, Chennai",23,100
194,MITR Hospitals,"Sector 35, Noida",1,100
195,K M Speciality & Pediatric Care,"KK Nagar, Chennai",6,100
196,Samvedana Physiotherapy & Rehabilitation Centre @ Samvedana Hospital,"Sector 48, Noida",4,100
197,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",6,100
198,Amrapali Hospital,"Greater Noida, Noida",1,100
199,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",3,100
200,Sugam Hospital,"Thiruvottiyur, Chennai",6,100
201,Chennai Meenakshi Multispeciality Hospital,"Mylapore, Chennai",3,100
202,Apollo Medical Center,"Karapakkam, Chennai",3,100
203,J S Hospital,"Sector 135, Noida",1,100
204,ARC International Fertility And Research Centre,"Perungudi, Chennai",3,100
205,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",10,100
206,Vijetha Hospital,"Maharani Peta, Visakhapatnam",29,100
207,Ujhwal Hospitals,"Madhurawada, Visakhapatnam",25,100
208,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",9,100
209,Unique Hospitals,"Udhna, Surat",1,100
210,Seven Star Multispeciality Hospital,"Kandivali East, Mumbai",1,100
211,Cloudnine Clinic,"Andheri West, Mumbai",5,100
212,Platinum Hospital,"Mulund East, Mumbai",1,100
213,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",27,100
214,Pace Hospital,"Hitech City, Hyderabad",23,100
215,Sainath Hospital,"Moshi, Pune",2,100
216,Rays Lifestyle Hospital,"Banjara Hills, Hyderabad",2,100
217,Paramitha Children Hospital,"Dilsukhnagar, Hyderabad",1,100
218,Challa Hospitals,"Ameerpet, Hyderabad",19,100
219,Vijaya Multispeciality Hospital,"Secunderabad, Hyderabad",1,100
220,Venus Hospital,"Malakpet, Hyderabad",1,100
221,Konaseema Hospitals,"Kukatpally, Hyderabad",9,100
222,Xenia Hospital,"Ecil, Hyderabad",8,100
223,Thatha Hospital,"Kapra, Hyderabad",2,100
224,Asian Institute Of Nephrology & Urology,"Somajiguda, Hyderabad",1,100
225,Healix Hospitals,"Madinaguda, Hyderabad",3,100
226,Nikhil Hospitals,"Dilsukhnagar, Hyderabad",2,100
227,Safe Children Hospital,"Malakpet, Hyderabad",2,100
228,Supraja Hospitals,"Nagole, Hyderabad",1,100
229,Tulasi Hospitals,"Kushaiguda, Hyderabad",14,100
230,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",6,100
231,Sridhar Multi Speciality Hospital,"Santosh Nagar, Hyderabad",2,100
232,Srinivasa Hospital,"Narayanguda, Hyderabad",1,100
233,Oakridge Hospitals,"Madhapur, Hyderabad",2,100
234,MaxCure Suyosha Woman & Child Hospital,"Hitech City, Hyderabad",1,100
235,Little Stars Children's Hospital,"Panjagutta, Hyderabad",1,100
236,Madhava Multispeciality Hospital,"Secunderabad, Hyderabad",2,100
237,Ankura Children's Hospitals,"AS Rao Nagar, Hyderabad",1,100
238,Raja Lakshmi Hospital,"Yeshwanthpur, Bangalore",4,100
239,Woodlands Hospital,"Barkatpura, Hyderabad",1,100
240,Induss Hospital,"Dilsukhnagar, Hyderabad",4,100
241,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",5,100
242,Rise Children Hospital ,"Mehdipatnam, Hyderabad",7,100
243,Aashritha Hospital,"Nacharam, Hyderabad",4,100
244,Woodlands Multispeciality Hospital,"Alipore, Kolkata",61,100
245,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",13,100
246,Srinivasa Hospital,"Narayanguda, Hyderabad",6,100
247,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",8,100
248,Colony Nursing Home,"Navi Peth, Pune",1,100
249,Pushpawati Singhania Research Institute (PSRI Hospital),"Sheikh Sarai, Delhi",5,100
250,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",10,100
251,Dr Prakash Bhambure Clinic,"Satara Road, Pune",2,100
252,Lifepoint Multispeciality Hospital,"Wakad, Pune",2,100
253,Pace Hospitals,"Begumpet, Hyderabad",34,100
254,Konark Hospital,"Jeedimetla, Hyderabad",57,100
255,Hyderbad Kidney & Laproscopic Center,"Malakpet, Hyderabad",5,100
256,Pranaam Hospital,"Madinaguda, Hyderabad",41,100
257,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",27,100
258,Midas ENT Head & Neck Super Speciality Hospital,"Dilsukhnagar, Hyderabad",33,100
259,Landmark Hospitals,"Nizampet, Hyderabad",7,100
260,Fortis Hospital and Kidney Institute,"Rash Behari Avenue, Kolkata",25,100
261,Vijaya Health Care,"Secunderabad, Hyderabad",2,100
262,Binayak Multispeciality Hospital,"Dumdum, Kolkata",16,100
263,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",12,100
264,Global Hospital,"Lakdikapul, Hyderabad",32,100
265,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",11,100
266,Hindustan Health Point,"Garia, Kolkata",19,100
267,Balaji Hospital,"Kompally, Hyderabad",3,100
268,Dr. Rao's ENT Super Speciality International Hospital,"KPHB, Hyderabad",11,100
269,RUBY Hospital,"Kasba, Kolkata",11,100
270,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",9,100
271,Columbia Asia Hospitals,"Salt Lake, Kolkata",33,100
272,Eden Hospital,"Industrial Area Phase I, Chandigarh",1,100
273,Srikara Hospitals,"Secunderabad, Hyderabad",4,100
274,Dipakshi Multispeciality Hospital,"Sector 33, Noida",2,100
275,Abhaya Hospital,"Wilson Garden, Bangalore",3,100
276,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",6,100
277,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10,100
278,People Tree Hospitals at Chris,"Kalyan Nagar, Bangalore",1,100
279,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33,100
280,Santosh Hospital,"Frazer Town, Bangalore",3,100
281,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",8,100
282,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",9,100
283,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",6,100
284,Pristine Hospital,"West Of Chord Road, Bangalore",21,100
285,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15,100
286,NU Hospitals,"Rajajinagar, Bangalore",15,100
287,Brookefield Hospital,"Kundalahalli, Bangalore",25,100
288,Raghavendra People Tree Hospital,"T Dasarahalli, Bangalore",1,100
289,Manipal Hospital,"Old Airport Road, Bangalore",173,100
290,BGS Global Hospital,"Kengeri, Bangalore",27,100
291,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",2,90
292,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",11,90
293,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2,90
294,Supurva Hospitals,"Kanakpura Road, Bangalore",14,85
295,Manas Hospital,"Sector 34, Noida",1,82
296,Rainbow Children's Hospital,"Hyder Nagar, Hyderabad",6,80
297,Birthright By Rainbow,"Hyder Nagar, Hyderabad",1,80
298,Deccan Multispeciality Hardikar Hospital,"Shivaji Nagar, Pune",1,80
299,Parakh Hospital,"Ghatkopar East, Mumbai",22,80
300,Remedy Hospitals,"Kukatpally, Hyderabad",5,80
301,Endoscopy Asia,"Sion West, Mumbai",3,80
302,Asian Cancer Institute,"Sion East, Mumbai",5,80
303,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65,80
304,Parakh Hospital,"Ghatkopar, Mumbai",1,80
305,Prashanth Hospital,"Bommanahalli, Bangalore",7,80
306,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",4,80
307,Cygnus Orthocare Hospital,"Safdarjung Development Area, Delhi",3,80
308,Jeevika Hospital,"Marathahalli, Bangalore",13,80
309,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18,76
310,Tarak Hospital,"Dwarka, Delhi",2,75
311,Fortis Hospital,"Nagarbhavi, Bangalore",36,75
312,Gajanan Hospitals,"Tambaram, Chennai",2,75
313,Birati Municipal Hospital,"Dumdum, Kolkata",32,75
314,Srinivas Priya Hospital,"Perambur, Chennai",3,75
315,DRJ Hospital,"Kolathur, Chennai",2,75
316,Oscar Multispeciality Hospital,"Kandivali West, Mumbai",37,75
317,Jeewan Mala Hospital,"Karol Bagh, Delhi",28,75
318,Fortis Hospital,"Sector 62, Noida",2,75
319,Unicare Hospital,"Chakan, Pune",1,75
320,Shree Hospital,"Kharadi, Pune",3,75
321,TKR's Ikon Hospital,"Dilsukhnagar, Hyderabad",6,75
322,Endo Viz Hospital,"Kukatpally, Hyderabad",26,75
323,Spectrum Physio Centre,"Richmond Town, Bangalore",6,75
324,Madha Clinic,"Triplicane, Chennai",1,75
325,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",8,75
326,Preeti Urology and Kidney Hospital,"Kukatpally, Hyderabad",6,75
327,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",11,75
328,Surana Sethia Hospital and Research Center,"Chembur, Mumbai",2,75
329,Aditya Homoeopathic Hospital And Healing Centre,"Pimpri, Pune",4,72
330,Shanti Mukand Hospital,"Vikas Nagar, Delhi",8,70
331,ApoKos Rehabilitation Hospital,"Jubilee Hills, Hyderabad",1,70
332,Apollo Speciality Hospitals,"OMR Road, Chennai",5,70
333,Rainbow Children's Hospital,"Banjara Hills, Hyderabad",1,70
334,Cygnus Sonia Hospital,"Nangloi, Delhi",1,70
335,Republic Hospital,"Richmond Town, Bangalore",2,70
336,IMAX MULTISPECIALITY HOSPITAL,"Wagholi, Pune",1,70
337,Neelima Hospital,"Erragadda, Hyderabad",1,70
338,B M Hospitals,"Nanganallur, Chennai",4,70
339,Apollo Spectra Hospitals,"MRC Nagar, Chennai",3,70
340,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",15,70
341,Cygnus Institute Of Gastroenterology,"Kukatpally, Hyderabad",13,70
342,Mind Zone,"Adyar, Chennai",3,70
343,Jayashree Multispeciality Hospital,"Begur, Bangalore",9,70
344,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",10,70
345,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9,70
346,Fortis la Femme,"Richmond Town, Bangalore",3,67
347,Breach Candy Hospital,"Breach Candy, Mumbai",4,65
348,Babasaheb Gawde Hospital,"Vileparle East, Mumbai",3,65
349,NU Hospitals,"Padmanabhanagar, Bangalore",1,62
350,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",8,60
351,Sahid Khudiram Bose Hospital,"Belgharia, Kolkata",46,60
352,Citi Neuro Centre,"Banjara Hills, Hyderabad",1,60
353,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",2,60
354,Punya Hospital,"Basaveshwaranagar, Bangalore",1,60
355,Birthright By Rainbow,"Vikrampuri Colony, Hyderabad",1,60
356,Hyderabad Multispeciality Hospital,"Malakpet, Hyderabad",1,60
357,Basant Sahney Hospital,"West Marredpally, Hyderabad",2,60
358,Orchid Hospital,"Lohegaon, Pune",20,60
359,Khetarpal Hospital,"Bali Nagar, Delhi",1,60
360,Dr. Leena N Sreedhar Consultation Chamber,"Moti Nagar, Delhi",34,60
361,Shashwat Hospital,"Aundh, Pune",13,60
362,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",17,60
363,Namaha Healthcare,"Kandivali West, Mumbai",4,60
364,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24,60
365,Suchak Hospital,"Malad, Mumbai",6,60
366,Chellaram Diabetes Hospital,"Bavdhan, Pune",10,60
367,Orthomed Hospital,"Royapettah, Chennai",2,60
368,Riddhi Vinayak Hospital,"Malad West, Mumbai",1,60
369,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",15,60
370,Swapna Hospital,"Dilsukhnagar, Hyderabad",1,59
371,N M Wadia Institute of Cardiology,"Bund Garden, Pune",4,58
372,Elbit Polyclinics Tarnaka,"Secunderabad, Hyderabad",3,56
373,MyCure Hospital - Zila Parishad Junction,"Maharani Peta, Visakhapatnam",27,56
374,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",35,56
375,Janahita Hospital,"Jeedimetla, Hyderabad",2,55
376,Irene Hospital,"Kalkaji, Delhi",16,55
377,K L Hospital,"Ramamurthy Nagar, Bangalore",2,55
378,Sri Balaji Hospital,"Guindy, Chennai",4,55
379,RG Stone Urology & Laparoscopy Hospital,"Greater Kailash, Delhi",33,55
380,Satya Bhama Hospital,"Nangloi, Delhi",11,55
381,Divya Prastha Hospital,"Palam Colony, Delhi",8,55
382,Zion Hospital,"Kammana Halli, Bangalore",10,55
383,Bangalore Hospital ,"Jayanagar, Bangalore",22,55
384,City Tower Hospitals,"Anna Nagar, Chennai",8,52
385,Shree Jeewan Hospital,"Karol Bagh, Delhi",1,52
386,Cygnus MLS Superspecility Hospital,"Ram Vihar, Delhi",1,51
387,Pulse Hospital,"Padmarao Nagar, Hyderabad",2,51
388,Cumballa Hill Hospital and Heart Institute,"Kemps Corner, Mumbai",1,51
389,Sri Srinivasa Hospital,"Santosh Nagar, Hyderabad",6,51
390,Siddhi Hospital & Laparoscopy Center Pvt. Ltd.,"Dhankawadi, Pune",13,51
391,Kohakade Hospital,"Wagholi, Pune",5,51
392,Green City Hospital,"Greater Noida, Noida",1,50
393,Sankhya Hospitals,"Kukatpally, Hyderabad",6,50
394,Krishna Children's Hospital,"Lakdikapul, Hyderabad",10,50
395,Marvel Multispeciality Hospital,"Koramangala 1 Block, Bangalore",1,50
396,Ramayya Pramila Urology & Laparoscopy Hospital,"Basheerbagh, Hyderabad",8,50
397,Shishuka Children's Specialty Hospital,"HRBR Layout, Bangalore",7,50
398,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14,50
399,Apollo Spectra Hospitals,"Tardeo, Mumbai",1,50
400,Health India Hospital,"Tavarekere, Bangalore",1,50
401,Eskay Healthcare,"Abbigere, Bangalore",7,50
402,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",3,50
403,Sumana Hospital,"Kukatpally, Hyderabad",8,50
404,Adiva Super-Speciality Care,"Green Park, Delhi",8,50
405,Regent Hospital,"Mira Road, Mumbai",1,50
406,Lotus Children Hospitals,"Kukatpally, Hyderabad",4,50
407,Orthopedic Doctor- Raghava Hospital,"Ameerpet, Hyderabad",4,50
408,Bakul Parekh Children's Hospital,"Ghatkopar East, Mumbai",6,50
409,Satya Medical Centre,"Sector 34, Noida",1,50
410,Pragna Hospitals,"Banjara Hills, Hyderabad",3,50
411,SMT. Bhagwan Devi Hospital,"Old City, Hyderabad",175,50
412,Durgabai Deshmukh Hospital,"Vidyanagar, Hyderabad",19,50
413,Surekha Hospital,"Kompally, Hyderabad",17,50
414,Saptagiri Hospital,"Chaitanyapuri, Hyderabad",1,50
415,GARDEN CITY HOSPITAL,"Jayanagar 3 Block, Bangalore",1,50
416,Sumitra Hospital,"Sector 35, Noida",3,50
417,SIMS Hospital,"Serilingampally, Hyderabad",21,50
418,Himagiri Hospitals,"Gachibowli, Hyderabad",6,50
