,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
33,State Cancer Institute,"Sheikhpura, Patna",1.0,400.0
34,CIMS Hospital,"Sola, Ahmedabad",8.0,372.0
35,Jaslok Hospital,"Peddar Road, Mumbai",27.0,364.0
36,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15.0,360.0
37,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15.0,350.0
38,Kamineni Hospitals,"LB Nagar, Hyderabad",65.0,350.0
39,Yatharth Wellness Superspeciality Hospital,"Sector 110, Noida",1.0,340.0
40,Venkateshwar Hospital,"Dwarka, Delhi",36.0,325.0
41,Kailash Hospital,"Sector 27, Noida",27.0,325.0
42,Fortis Escorts,"Okhla, Delhi",52.0,310.0
43,St.Isabel's Hospital,"Mylapore, Chennai",142.0,300.0
44,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8.0,300.0
45,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135.0,300.0
46,Holy Spirit Hospital,"Andheri East, Mumbai",32.0,300.0
47,Narayana Multispeciality Hospital,"Amer, Jaipur",7.0,290.0
48,Fortis Hospital,"Shalimar Bagh, Delhi",50.0,282.0
49,Manipal Hospital,"Whitefield, Bangalore",8.0,280.0
50,Fortis Hospital,"Mulund West, Mumbai",117.0,261.0
51,Saifee Hospital,"Charni Road, Mumbai",170.0,256.0
52,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31.0,251.0
53,CHL Hospital,"LIG Colony, Indore",4.0,250.0
54,Omni Hospitals,"Kothapet, Hyderabad",23.0,250.0
55,CSI Rainy Hospital,"Washermenpet, Chennai",7.0,250.0
56,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11.0,250.0
57,Sunrise Hospitals,"East Of Kailash, Delhi",4.0,250.0
58,Jaipur Golden Hospital,"Rohini, Delhi",51.0,250.0
59,HV Desai Eye Hospital,"Hadapsar, Pune",2.0,250.0
60,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21.0,250.0
61,Care Hospitals,"Gachibowli, Hyderabad",5.0,250.0
62,Ozone Hospitals,"Dilsukhnagar, Hyderabad",9.0,250.0
63,Citizens Specialty Hospitals,"Lingampally, Hyderabad",4.0,250.0
64,NH Malla Reddy Narayan Multispeciality Hospital,"Jeedimetla, Hyderabad",10.0,250.0
65,Max Super Speciality Hospital,"Saket, Delhi",260.0,250.0
66,Medisys Hospitals,"LB Nagar, Hyderabad",7.0,250.0
67,"Dr Ashvith Shetty's Clinic, Hiranandani hospital","Powai, Mumbai",1.0,240.0
68,Masina Hospital ,"Byculla, Mumbai",121.0,232.0
69,Vikram Hospital,"Millers Road, Bangalore",19.0,225.0
70,Hindu Mission Hospital,"Tambaram West, Chennai",50.0,220.0
71,MaxCure Hospitals,"Madhapur, Hyderabad",30.0,220.0
72,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31.0,220.0
73,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66.0,210.0
74,Amri Hospitals,"Salt Lake, Kolkata",21.0,210.0
75,Bhatia  Hospital,"Tardeo, Mumbai",205.0,209.0
76,Metro Multispeciality Hospital,"Sector 11, Noida",25.0,207.0
77,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7.0,205.0
78,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",9.0,200.0
79,Choithram Hospital & Research Centre,"Manikbagh, Indore",3.0,200.0
80,Shalby Hospital,"Old Palasia, Indore",7.0,200.0
81,Srikara Hospitals,"Miyapur, Hyderabad",5.0,200.0
82,Asha Hospital,"Banjara Hills, Hyderabad",12.0,200.0
83,Sterling Multispeciality Hospital,"Nigdi, Pune",3.0,200.0
84,Sagar Hospital,"Jayanagar, Bangalore",30.0,200.0
85,Bharathiraja Hospital,"T Nagar, Chennai",6.0,200.0
86,Maxcure Hospitals,"Saifabad, Hyderabad",6.0,200.0
87,Fortis Hospital,"Vasant Kunj, Delhi",89.0,200.0
88,Surbhi Hospital,"Sector 35, Noida",9.0,200.0
89,Sooriya Hospital,"Saligramam, Chennai",12.0,200.0
90,Apollo Hospital,"Hyderguda, Hyderabad",14.0,200.0
91,Care Hospitals,"Banjara Hills, Hyderabad",125.0,200.0
92,Global Hospital,"Parel, Mumbai",3.0,200.0
93,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33.0,200.0
94,Sancheti Hospital,"Shivaji Nagar, Pune",35.0,200.0
95,The Deccan Hospital,"Somajiguda, Hyderabad",1.0,200.0
96,Medwin Hospitals,"Nampally, Hyderabad",34.0,200.0
97,Vijay Marie Hospital,"Khairatabad, Hyderabad",13.0,200.0
98,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28.0,200.0
99,Mahaveer Hospital,"Masab Tank, Hyderabad",14.0,200.0
100,People Tree Hospitals,"Yeshwanthpur, Bangalore",50.0,200.0
101,Shifaa Hospital,"Vasanthnagar, Bangalore",25.0,200.0
102,St. Joseph's Hospital,"Gomtinagar, Lucknow",2.0,180.0
103,Kohinoor Hospital,"Kurla West, Mumbai",1.0,175.0
104,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26.0,175.0
105,Neera Hospital,"Mahanagar, Lucknow",3.0,160.0
106,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",1.0,160.0
107,Yatharth Wellness Hospital & Trauma Centre,"Greater Noida, Noida",5.0,157.0
108,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25.0,155.0
109,Sant Parmanand Hospital,"Civil Lines, Delhi",11.0,153.0
110,Sterling Super Speciality Hospitals,"Trimulgherry, Hyderabad",2.0,150.0
111,Specialist Hospital,"Kalyan Nagar, Bangalore",9.0,150.0
112,Columbia Asia Hospital,"Whitefield, Bangalore",18.0,150.0
113,Omega Hospital,"Banjara Hills, Hyderabad",25.0,150.0
114,Kamineni Hospitals,"King Koti, Hyderabad",1.0,150.0
115,Apollo Hospital,"Jayanagar, Bangalore",2.0,150.0
116,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",1.0,150.0
117,KIMS Bibi Hospital,"Malakpet, Hyderabad",1.0,150.0
118,Birthright By Rainbow,"Banjara Hills, Hyderabad",2.0,150.0
119,Mythri Hospital,"Chanda Nagar, Hyderabad",11.0,150.0
120,Seven Eleven Hospital,"Mira Road, Mumbai",22.0,150.0
121,Felix Hospital,"Sector 137, Noida",22.0,150.0
122,KIMS Hospital,"Kondapur, Hyderabad",32.0,150.0
123,Mallige Medical Centre,"Kumara Park West, Bangalore",48.0,150.0
124,Sigma Hospital ,"Jeedimetla, Hyderabad",1.0,150.0
125,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16.0,150.0
126,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",7.0,150.0
127,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2.0,150.0
128,Vasavi Hospital,"Lakdikapul, Hyderabad",14.0,150.0
129,Medanta Superspeciality Hospital,"Vijay Nagar, Indore",1.0,150.0
130,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",4.0,150.0
131,Girishwari Hospital,"Teynampet, Chennai",7.0,150.0
132,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13.0,150.0
133,Apollo Hospital,"Secunderabad, Hyderabad",5.0,150.0
134,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",22.0,150.0
135,Sparsh Hospital,"Hosur Road, Bangalore",4.0,150.0
136,Live 100 Hospital,"Singasandra, Bangalore",3.0,150.0
137,St. Theresa Hospital,"Erragadda, Hyderabad",12.0,150.0
138,OMNI Hospitals,"Kukatpally, Hyderabad",1.0,150.0
139,Cloudnine Hospital,"T Nagar, Chennai",33.0,150.0
140,Thumbay Hospital New Life,"Malakpet, Hyderabad",1.0,150.0
141,SVS Marwari Hospital,"Raja Ram Mohan Sarani, Kolkata",1.0,150.0
142,Narayana Multispeciality Hospital,"Barasat, Kolkata",3.0,145.0
143,Indo US Diabetes Research Center & Multi Specialty Hospital,"Malakpet, Hyderabad",2.0,140.0
144,S L Raheja Fortis Hospital,"Mahim, Mumbai",158.0,140.0
145,Thunga Hospital,"Malad West, Mumbai",1.0,140.0
146,Deepam Hospitals,"Tambaram West, Chennai",5.0,136.0
147,ILS Hospitals,"Dumdum Road, Kolkata",10.0,130.0
148,Venkataeswara Hospitals,"Nandanam, Chennai",17.0,130.0
149,Techno Global Hospital,"Barrackpore, Kolkata",2.0,130.0
150,EEDF Hospital,"Jodhpur Park, Kolkata",2.0,130.0
151,SJM Super Speciality Hospital,"Sector 63, Noida",11.0,125.0
152, Prakash Hospital,"Sector 33, Noida",11.0,120.0
153,Alpha Hospital,"Charminar, Hyderabad",21.0,120.0
154,Mamatha Hospitals,"Kukatpally, Hyderabad",7.0,120.0
155,Guru Nanak Hospital,"Bandra East, Mumbai",37.0,120.0
156,Nice Hospital,"Masab Tank, Hyderabad",11.0,120.0
157,Mahavir Vatsalya Aspataal,"Kurji Md. Pur, Patna",1.0,120.0
158,Poulomi Hospital,"Kapra, Hyderabad",1.0,120.0
159,Chennai National Hospital,"Parrys, Chennai",3.0,120.0
160,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11.0,120.0
161,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",17.0,120.0
162,Sharma Medicare Hospital,"Greater Noida, Noida",2.0,120.0
163,Frontier Lifeline Hospital,"Mogappair, Chennai",9.0,120.0
164,Max Hospital,"Pitampura, Delhi",101.0,120.0
165,Max Multispeciality Hospital,"Greater Noida, Noida",5.0,114.0
166,Zen Multispeciality Hospital,"Chembur, Mumbai",1.0,110.0
167,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16.0,110.0
168,Metro Hospitals & Heart Institute,"Sector 12, Noida",6.0,110.0
169,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37.0,110.0
170,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",2.0,110.0
171,Godrej Memorial Hospital,"Vikhroli, Mumbai",105.0,110.0
172,North City Hospital,"Ultadanga, Kolkata",9.0,110.0
173,Lokmanya Hospital,"Nigdi, Pune",1.0,110.0
174,Sanjeevan Hospital,"Karve Nagar, Pune",23.0,105.0
175,Santom Hospital,"Rohini, Delhi",6.0,105.0
176,Shri Ram Singh Hospital & Heart Institute,"Krishna Nagar, Delhi",10.0,104.0
177,Zoi Hospitals,"Somajiguda, Hyderabad",31.0,104.0
178,Lokmanya Multi Speciality Hospital,"Chinchwad, Pune",6.0,103.0
179,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",13.0,102.0
180,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16.0,102.0
181,Medipoint Hospital,"Aundh, Pune",25.0,102.0
182,Ranka Multispeciality Hospital,"Swargate, Pune",13.0,101.0
183,Sankhwar Hospital,"Kondli, Delhi",11.0,100.0
184,Dipakshi Multispeciality Hospital,"Sector 33, Noida",9.0,100.0
185,Vidya Hospital,"Dadri, Noida",1.0,100.0
186,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15.0,100.0
187,Sanjeevan Hospital,"Darya Ganj, Delhi",73.0,100.0
188,Supraja Hospitals,"Nagole, Hyderabad",1.0,100.0
189,Nikhil Hospitals,"Dilsukhnagar, Hyderabad",2.0,100.0
190,Hindustan Health Point,"Garia, Kolkata",64.0,100.0
191,ARC International Fertility And Research Centre,"Perungudi, Chennai",3.0,100.0
192,Seven Star Multispeciality Hospital,"Kandivali East, Mumbai",2.0,100.0
193,Rays Lifestyle Hospital,"Banjara Hills, Hyderabad",1.0,100.0
194,Raghavendra People Tree Hospital,"T Dasarahalli, Bangalore",1.0,100.0
195,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32.0,100.0
196,Criticare Hospital,"Andheri East, Mumbai",1.0,100.0
197,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16.0,100.0
198,Rockland Hospital,"Dwarka, Delhi",33.0,100.0
199,Zenith Hospital,"Malad, Mumbai",5.0,100.0
200,Safe Children Hospital,"Malakpet, Hyderabad",1.0,100.0
201,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43.0,100.0
202,Dipakshi Multispeciality Hospital,"Sector 33, Noida",9.0,100.0
203,Sugam Hospital,"Thiruvottiyur, Chennai",4.0,100.0
204,Kauvery Hospitals,"Mylapore, Chennai",24.0,100.0
205,RUBY Hospital,"Kasba, Kolkata",14.0,100.0
206,Fortis Hospital and Kidney Institute,"Rash Behari Avenue, Kolkata",6.0,100.0
207,Columbia Asia Hospitals,"Salt Lake, Kolkata",16.0,100.0
208,Pushpawati Singhania Research Institute (PSRI Hospital),"Sheikh Sarai, Delhi",7.0,100.0
209,Madras Medical Mission Hospital,"Mogappair, Chennai",31.0,100.0
210,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",20.0,100.0
211,Cloudnine Clinic,"Andheri West, Mumbai",1.0,100.0
212,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23.0,100.0
213,Amrapali Hospital,"Greater Noida, Noida",10.0,100.0
214,Chennai Meenakshi Multispeciality Hospital,"Mylapore, Chennai",2.0,100.0
215,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",12.0,100.0
216,Monilek Hospital and Research Centre,"Jawahar Nagar, Jaipur",2.0,100.0
217,Dana Shivam Hospital,"Vidhyadhar Nagar, Jaipur",1.0,100.0
218,Samvedana Physiotherapy & Rehabilitation Centre @ Samvedana Hospital,"Sector 48, Noida",1.0,100.0
219,Apollo Medical Center,"Karapakkam, Chennai",17.0,100.0
220,Eden Hospital,"Industrial Area Phase I, Chandigarh",10.0,100.0
221,Bhandari Hospital,"Gopalpura, Jaipur",14.0,100.0
222,J S Hospital,"Sector 135, Noida",6.0,100.0
223,BSES MG Hospital,"Andheri West, Mumbai",65.0,100.0
224,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15.0,100.0
225,Binayak Multispeciality Hospital,"Dumdum, Kolkata",10.0,100.0
226,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39.0,100.0
227,MITR Hospitals,"Sector 35, Noida",23.0,100.0
228,Vijaya Multispeciality Hospital,"Secunderabad, Hyderabad",1.0,100.0
229,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",3.0,100.0
230,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13.0,100.0
231,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27.0,100.0
232,Platinum Hospital,"Mulund East, Mumbai",17.0,100.0
233,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",6.0,100.0
234,Olive Hospital,"Mehdipatnam, Hyderabad",3.0,100.0
235,Santosh Hospital,"Frazer Town, Bangalore",3.0,100.0
236,Dr. Rao's ENT Super Speciality International Hospital,"KPHB, Hyderabad",4.0,100.0
237,Thatha Hospital,"Kapra, Hyderabad",19.0,100.0
238,Woodlands Hospital,"Barkatpura, Hyderabad",1.0,100.0
239,Balaji Hospital,"Kompally, Hyderabad",4.0,100.0
240,Asian Institute Of Nephrology & Urology,"Somajiguda, Hyderabad",9.0,100.0
241,Dr Prakash Bhambure Clinic,"Satara Road, Pune",1.0,100.0
242,Healix Hospitals,"Madinaguda, Hyderabad",4.0,100.0
243,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",12.0,100.0
244,Global Hospital,"Lakdikapul, Hyderabad",25.0,100.0
245,Lifepoint Multispeciality Hospital,"Wakad, Pune",7.0,100.0
246,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33.0,100.0
247,Induss Hospital,"Dilsukhnagar, Hyderabad",7.0,100.0
248,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33.0,100.0
249,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",57.0,100.0
250,People Tree Hospitals at Chris,"Kalyan Nagar, Bangalore",1.0,100.0
251,Rise Children Hospital ,"Mehdipatnam, Hyderabad",8.0,100.0
252,Srikara Hospitals,"Secunderabad, Hyderabad",11.0,100.0
253,NU Hospitals,"Rajajinagar, Bangalore",15.0,100.0
254,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15.0,100.0
255,Colony Nursing Home,"Navi Peth, Pune",2.0,100.0
256,Paramitha Children Hospital,"Dilsukhnagar, Hyderabad",6.0,100.0
257,Challa Hospitals,"Ameerpet, Hyderabad",27.0,100.0
258,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",9.0,100.0
259,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",8.0,100.0
260,Venus Hospital,"Malakpet, Hyderabad",11.0,100.0
261,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",6.0,100.0
262,Oakridge Hospitals,"Madhapur, Hyderabad",1.0,100.0
263,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15.0,100.0
264,MaxCure Suyosha Woman & Child Hospital,"Hitech City, Hyderabad",11.0,100.0
265,Srinivasa Hospital,"Narayanguda, Hyderabad",1.0,100.0
266,Konaseema Hospitals,"Kukatpally, Hyderabad",1.0,100.0
267,Pristine Hospital,"West Of Chord Road, Bangalore",21.0,100.0
268,Srinivasa Hospital,"Narayanguda, Hyderabad",1.0,100.0
269,Xenia Hospital,"Ecil, Hyderabad",11.0,100.0
270,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17.0,100.0
271,Sainath Hospital,"Moshi, Pune",1.0,100.0
272,Vijaya Health Care,"Secunderabad, Hyderabad",3.0,100.0
273,MJM Hospital,"Shivaji Nagar, Pune",2.0,100.0
274,Konark Hospital,"Jeedimetla, Hyderabad",1.0,100.0
275,Brookefield Hospital,"Kundalahalli, Bangalore",25.0,100.0
276,Landmark Hospitals,"Nizampet, Hyderabad",21.0,100.0
277,Manipal Hospital,"Old Airport Road, Bangalore",173.0,100.0
278,Midas ENT Head & Neck Super Speciality Hospital,"Dilsukhnagar, Hyderabad",1.0,100.0
279,Little Stars Children's Hospital,"Panjagutta, Hyderabad",8.0,100.0
280,BGS Global Hospital,"Kengeri, Bangalore",27.0,100.0
281,Madhava Multispeciality Hospital,"Secunderabad, Hyderabad",1.0,100.0
282,Unique Hospitals,"Udhna, Surat",1.0,100.0
283,Ankura Children's Hospitals,"AS Rao Nagar, Hyderabad",4.0,100.0
284,Ujhwal Hospitals,"Madhurawada, Visakhapatnam",6.0,100.0
285,Vijetha Hospital,"Maharani Peta, Visakhapatnam",8.0,100.0
286,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10.0,100.0
287,Hyderbad Kidney & Laproscopic Center,"Malakpet, Hyderabad",6.0,100.0
288,Pace Hospital,"Hitech City, Hyderabad",16.0,100.0
289,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18.0,100.0
290,Pace Hospitals,"Begumpet, Hyderabad",17.0,100.0
291,Abhaya Hospital,"Wilson Garden, Bangalore",3.0,100.0
292,Pranaam Hospital,"Madinaguda, Hyderabad",3.0,100.0
293,Sridhar Multi Speciality Hospital,"Santosh Nagar, Hyderabad",3.0,100.0
294,Tulasi Hospitals,"Kushaiguda, Hyderabad",3.0,100.0
295,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",32.0,90.0
296,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2.0,90.0
297,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20.0,90.0
298,Supurva Hospitals,"Kanakpura Road, Bangalore",14.0,85.0
299,Manas Hospital,"Sector 34, Noida",1.0,82.0
300,Parakh Hospital,"Ghatkopar East, Mumbai",83.0,80.0
301,Rainbow Children's Hospital,"Hyder Nagar, Hyderabad",5.0,80.0
302,Cygnus Orthocare Hospital,"Safdarjung Development Area, Delhi",8.0,80.0
303,Asian Cancer Institute,"Sion East, Mumbai",6.0,80.0
304,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30.0,80.0
305,Endoscopy Asia,"Sion West, Mumbai",37.0,80.0
306,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65.0,80.0
307,Remedy Hospitals,"Kukatpally, Hyderabad",1.0,80.0
308,Prashanth Hospital,"Bommanahalli, Bangalore",7.0,80.0
309,Deccan Multispeciality Hardikar Hospital,"Shivaji Nagar, Pune",1.0,80.0
310,Birthright By Rainbow,"Hyder Nagar, Hyderabad",17.0,80.0
311,Jeevika Hospital,"Marathahalli, Bangalore",13.0,80.0
312,Parakh Hospital,"Ghatkopar, Mumbai",1.0,80.0
313,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18.0,76.0
314,Endo Viz Hospital,"Kukatpally, Hyderabad",1.0,75.0
315,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",16.0,75.0
316,Birati Municipal Hospital,"Dumdum, Kolkata",1.0,75.0
317,Surana Sethia Hospital and Research Center,"Chembur, Mumbai",5.0,75.0
318,Shree Hospital,"Kharadi, Pune",4.0,75.0
319,Spectrum Physio Centre,"Richmond Town, Bangalore",6.0,75.0
320,Fortis Hospital,"Sector 62, Noida",44.0,75.0
321,DRJ Hospital,"Kolathur, Chennai",5.0,75.0
322,Preeti Urology and Kidney Hospital,"Kukatpally, Hyderabad",5.0,75.0
323,Srinivas Priya Hospital,"Perambur, Chennai",4.0,75.0
324,Oscar Multispeciality Hospital,"Kandivali West, Mumbai",7.0,75.0
325,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",20.0,75.0
326,Madha Clinic,"Triplicane, Chennai",6.0,75.0
327,Tarak Hospital,"Dwarka, Delhi",2.0,75.0
328,TKR's Ikon Hospital,"Dilsukhnagar, Hyderabad",7.0,75.0
329,Jeewan Mala Hospital,"Karol Bagh, Delhi",5.0,75.0
330,Fortis Hospital,"Nagarbhavi, Bangalore",36.0,75.0
331,Unicare Hospital,"Chakan, Pune",13.0,75.0
332,Gajanan Hospitals,"Tambaram, Chennai",12.0,75.0
333,Aditya Homoeopathic Hospital And Healing Centre,"Pimpri, Pune",3.0,72.0
334,Cygnus Institute Of Gastroenterology,"Kukatpally, Hyderabad",6.0,70.0
335,Mind Zone,"Adyar, Chennai",1.0,70.0
336,Cygnus Sonia Hospital,"Nangloi, Delhi",1.0,70.0
337,Apollo Spectra Hospitals,"MRC Nagar, Chennai",75.0,70.0
338,IMAX MULTISPECIALITY HOSPITAL,"Wagholi, Pune",1.0,70.0
339,B M Hospitals,"Nanganallur, Chennai",17.0,70.0
340,Jayashree Multispeciality Hospital,"Begur, Bangalore",9.0,70.0
341,Apollo Speciality Hospitals,"OMR Road, Chennai",52.0,70.0
342,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35.0,70.0
343,ApoKos Rehabilitation Hospital,"Jubilee Hills, Hyderabad",2.0,70.0
344,Neelima Hospital,"Erragadda, Hyderabad",1.0,70.0
345,Shanti Mukand Hospital,"Vikas Nagar, Delhi",2.0,70.0
346,Rainbow Children's Hospital,"Banjara Hills, Hyderabad",1.0,70.0
347,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9.0,70.0
348,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",48.0,70.0
349,Republic Hospital,"Richmond Town, Bangalore",2.0,70.0
350,Fortis la Femme,"Richmond Town, Bangalore",3.0,67.0
351,Breach Candy Hospital,"Breach Candy, Mumbai",136.0,65.0
352,Babasaheb Gawde Hospital,"Vileparle East, Mumbai",9.0,65.0
353,NU Hospitals,"Padmanabhanagar, Bangalore",1.0,62.0
354,Riddhi Vinayak Hospital,"Malad West, Mumbai",2.0,60.0
355,Orchid Hospital,"Lohegaon, Pune",3.0,60.0
356,Citi Neuro Centre,"Banjara Hills, Hyderabad",1.0,60.0
357,Chellaram Diabetes Hospital,"Bavdhan, Pune",10.0,60.0
358,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12.0,60.0
359,Khetarpal Hospital,"Bali Nagar, Delhi",1.0,60.0
360,Shashwat Hospital,"Aundh, Pune",26.0,60.0
361,Suchak Hospital,"Malad, Mumbai",8.0,60.0
362,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",12.0,60.0
363,Sahid Khudiram Bose Hospital,"Belgharia, Kolkata",1.0,60.0
364,Basant Sahney Hospital,"West Marredpally, Hyderabad",19.0,60.0
365,Orthomed Hospital,"Royapettah, Chennai",8.0,60.0
366,Birthright By Rainbow,"Vikrampuri Colony, Hyderabad",4.0,60.0
367,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",8.0,60.0
368,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",8.0,60.0
369,Hyderabad Multispeciality Hospital,"Malakpet, Hyderabad",3.0,60.0
370,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24.0,60.0
371,Punya Hospital,"Basaveshwaranagar, Bangalore",1.0,60.0
372,Namaha Healthcare,"Kandivali West, Mumbai",1.0,60.0
373,Dr. Leena N Sreedhar Consultation Chamber,"Moti Nagar, Delhi",1.0,60.0
374,Swapna Hospital,"Dilsukhnagar, Hyderabad",15.0,59.0
