,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
195,Dr Levine Memorial Hospital,"Bellandur, Bangalore",54,
196,Kaade Hospital,"Rajajinagar, Bangalore",5,
197,Dr. Agarwals Eye Hospital - Basaveshwara Nagar,"Basaveshwaranagar, Bangalore",4,
198,Supurva Hospitals,"Kanakpura Road, Bangalore",22,85
199,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",22,100
200,Kamath Nursing home,"Banaswadi, Bangalore",21,5
201,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",21,10
202,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",21,160
203,Sri Lakshmi Hospital,"Electronics City, Bangalore",5,
204,A M Hospital,"Vijayanagar, Bangalore",19,
205,Green City Hospital,"JP Nagar 6 Phase, Bangalore",21,25
206,Columbia Asia Hospital,"Whitefield, Bangalore",21,150
207,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",21,100
208,Zamindar Microsurgical Eye Centre,"Kalyan Nagar, Bangalore",17,
209,NRV Hospital,"Vidyanagar, Bangalore",1,
210,Chiraayu Hospital,"Jayamahal, Bangalore",41,
211,Fortis la Femme,"Richmond Town, Bangalore",21,67
212,Manipal Ankur,"JP Nagar 1 Phase, Bangalore",21,11
213,Abhayahasta Multispeciality Hospital,"Kaggadasapura, Bangalore",20,
214,Apollo Hospital,"Jayanagar, Bangalore",21,150
215,Deepashree Nursing and Rehabilitation Centre,"Nagarbhavi, Bangalore",2,
216,Sarojini hospital,"Dasarahalli, Bangalore",21,30
217,Sai Krupa Multi Speciality Dental Care Hospital,"Basaveshwaranagar, Bangalore",21,5
218,Kosmoderma Skin & Hair Clinics,"Whitefield, Bangalore",1,
219,Apollo Hospital,"Malleswaram, Bangalore",9,
220,Ramachandra Hospital,"Dasarahalli, Bangalore",2,
221,Eshwar Hospital,"Mahalakshmi Layout, Bangalore",21,11
222,Ovum Woman & Child Speciality Hospital,"Banaswadi, Bangalore",20,28
223,Devagiri Hospital,"Banashankari, Bangalore",20,50
224,T R Hospital,"JP Nagar, Bangalore",2,
225,MGA Hospital,"Marathahalli, Bangalore",20,15
226,Apollo Spectra,"Koramangala 4 Block, Bangalore",20,8
227,Sri Lakshmi Multi Speciality Hospital,"Sunkadakatte, Bangalore",31,
228,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",20,110
229,Nova IVI Fertility,"Sadashivanagar, Bangalore",20,9
230,Apple Hospital,"Yelahanka, Bangalore",3,
231,Bilva Hospital,"Malleswaram, Bangalore",20,34
232,Ramkrishna Nursing Home,"Jayanagar, Bangalore",20,10
233,Mamatha Hospital,"Sanjay Nagar, Bangalore",20,10
234,Matthew Hospital,"HSR Layout, Bangalore",20,10
235,Surya's Hospital,"JP Nagar 4 Phase, Bangalore",2,
236,Anyuta Hospital,"Richmond Town, Bangalore",3,
237,J P Nursing Home,"Nandini Layout, Bangalore",19,20
238,Sri Ram Speciality Hospital,"Viveknagar, Bangalore",19,25
239,Venkateswara Hospital,"VV Puram, Bangalore",11,
240,Deeksha Hospital,"Yelahanka, Bangalore",12,
241,Cloudnine Clinic,"Brookefield, Bangalore",19,4
242,Kanaka Maternity Hospital,"HSR Layout, Bangalore",19,8
243,Manipal Poly Clinic And Nursing Home,"Ramamurthy Nagar, Bangalore",2,
244,C.M.Diabetes Centre- Karthik Hospital,"Wilson Garden, Bangalore",19,12
245,Ramesh Hospital,"Rajajinagar, Bangalore",2,
246,Shobha Hospital,"BTM Layout, Bangalore",19,2
247,Cloudnine Hospital,"Jayanagar, Bangalore",5,
248,Vasan Eye Care,"HSR Layout, Bangalore",4,
249,Westend Speciality Petcare And Nursing Center,"Seshadripuram, Bangalore",19,5
250,Shree Chakra Hospital,"Hosur Road, Bangalore",19,18
251,Sri Srinivasa Oncology Hospital,"Rajajinagar, Bangalore",19,10
252,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",19,30
253,Santosh Hospital,"Frazer Town, Bangalore",18,100
254,Poornayu Ayurveda Hospital,"Rajajinagar, Bangalore",2,
255,Roshini Nursing Home,"Wilson Garden, Bangalore",2,
256,Cloudnine Hospital,"Old Airport Road, Bangalore",18,50
257,AyurVAID Hospitals (Ayurveda),"Ramamurthy Nagar, Bangalore",18,15
258,CMRA Hospital,"Kundalahalli, Bangalore",18,5
259,Shreenagar Nursing Home,"Srinagar, Bangalore",18,30
260,B. W. Lions Super Speciality Eye Hospital,"Kalasipalayam, Bangalore",18,25
261,Essential Hospital,"Nagarbhavi, Bangalore",11,
262,Vivekananda Hospital,"Bannerghatta Road, Bangalore",18,15
263,M.G Speciality Health Care,"Wilson Garden, Bangalore",3,
264,Enhanced Health Care,"Indiranagar, Bangalore",18,20
265,Manasa Hospital,"Vijayanagar, Bangalore",18,
266,"Vardhan Fertility, Laparoscopy  & Women Care Centre","Banaswadi, Bangalore",18,9
267,Nayak Hospital,"Rajajinagar, Bangalore",2,
268,Dr. Agarwal's Eye Hospital,"JP Nagar 3 Phase, Bangalore",18,25
269,Springleaf Healthcare,"Electronics City, Bangalore",18,25
270,HCG - Health Care Global,"Sampangiramnagar, Bangalore",17,5
271,Myo Medex - Ace Speciality Clinic,"Bannerghatta Road, Bangalore",6,
272,Lokhande's Multispecialty Hospital,"Kalyan Nagar, Bangalore",17,15
273,Devi Eye Hospital,"HSR Layout, Bangalore",17,5
274,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",17,100
275,GARDEN CITY HOSPITAL,"Jayanagar 3 Block, Bangalore",17,50
276,Icon Hospital Maternity & Multispeciality Centre,"Hebbal Kempapura, Bangalore",17,20
277,Punarjyoti Eye Hospital,"Wilson Garden, Bangalore",17,20
278,Lake View Hospital,"HSR Layout, Bangalore",17,20
279,Sagar Hospital DSI,"Banashankari, Bangalore",17,400
280,My Health World,"Indiranagar, Bangalore",25,
281,BSA Nursing Home,"Bannerghatta Road, Bangalore",17,3
282,People Tree Hospitals at Chris,"Kalyan Nagar, Bangalore",16,100
283,Manjunath Hospital,"Wilson Garden, Bangalore",16,30
284,GIA Hospital,"Vijayanagar, Bangalore",16,25
285,Jayashree Multispeciality Hospital,"Begur, Bangalore",16,70
286,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",16,120
287,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",16,150
288,Manipal Northside Hospital - OP Wing,"Malleswaram, Bangalore",4,
289,Shishuka Children's Specialty Hospital,"HRBR Layout, Bangalore",16,50
290,Cloudnine Clinic,"Sahakaranagar, Bangalore",1,
291,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",16,150
292,R C Hospital,"Rajarajeshwarinagar, Bangalore",16,20
293,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",16,30
294,Church Of South India Hospital,"Shivajinagar, Bangalore",6,
295,Dr. Rao's Maternity Hospital & Center for Assisted Reproduction,"Basaveshwaranagar, Bangalore",4,
296,BMS Hospital,"Basavanagudi, Bangalore",16,8
297,Marvel Multispeciality Hospital,"Koramangala 1 Block, Bangalore",16,50
298,Femiint Health,"Whitefield, Bangalore",16,20
299,White Lotus Healthcare Clinic,"JP Nagar, Bangalore",6,
300,Primus Hospitals,"HSR Layout, Bangalore",16,55
301,Vasan Dental Care,"Rajajinagar, Bangalore",24,
302,Fortis Hospital,"Bannerghatta Road, Bangalore",16,400
303,Narayana Nethralaya,"Bannerghatta Road, Bangalore",15,21
304,Hope Hospital,"Munnekollal, Bangalore",15,20
305,Vidya Eye Hospital,"Vijayanagar, Bangalore",15,
306,Primecare Hospital,"Frazer Town, Bangalore",6,
307,Geetha Hospital ,"Avalahalli, Bangalore",15,6
308,Jayashree Nursing Home,"Kumara Park West, Bangalore",15,25
309,Mamta Nursing Home,"Wilson Garden, Bangalore",15,15
310,Health India Hospital,"Tavarekere, Bangalore",15,50
311,St. Theresa Hospital,"Rajajinagar, Bangalore",19,
312,Eskay Healthcare,"Abbigere, Bangalore",15,50
313,Kangaroo Care Women & Children Hospital,"Vijayanagar, Bangalore",15,40
314,Rainbow Children's Hospital,"Marathahalli, Bangalore",9,
315,Lakshmi Maternity & Surgical  Centre,"Malleswaram, Bangalore",15,40
316,Sreenagar Nursing Home,"Srinagar, Bangalore",15,30
317,Cloudnine Hospital,"Bellandur, Bangalore",15,30
318,Birthright By Rainbow,"Bannerghatta Road, Bangalore",15,20
319,NU Hospitals,"Padmanabhanagar, Bangalore",15,62
320,People Tree Maarga,"Yelahanka, Bangalore",14,30
321,Cure Hospital ,"RT Nagar, Bangalore",14,15
322,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",14,100
323,Brinda Hospital,"Nagarbhavi, Bangalore",12,
324,Apollo Cradle,"Koramangala 6 Block, Bangalore",14,15
325,Deepak Hospital,"Jayanagar, Bangalore",6,
326,Pralaksha Hospital,"Hosur Road, Bangalore",14,35
327,Cure n Care Hospital,"Horamavu, Bangalore",14,20
328,Sapthagiri Hospital,"Jalahalli, Bangalore",1,
329,Birthright By Rainbow,"Marathahalli, Bangalore",1,
330,Asha Nursing Home,"Banaswadi, Bangalore",14,16
331,Spurthy Hospital,"BTM Layout, Bangalore",14,15
332,Sri Sai Krupa Hospital,"Sahakaranagar, Bangalore",14,30
333,SMT Shakuntala Patil Eye Hospital & Shakuntala Vision Care,"Basavanagudi, Bangalore",14,1
334,Athreya Hospital,"Hosur Road, Bangalore",14,50
335,Sri Venkateshwara Nethralaya,"Rajarajeshwarinagar, Bangalore",14,10
336,Mathru Nursing Home,"Hulimavu, Bangalore",14,15
337,Subbiah Hospital,"Mathikere - BEL, Bangalore",14,24
338,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",14,100
339,Tara Day Care Center,"JP Nagar 8 Phase, Bangalore",6,
340,Manipal Hospital,"Whitefield, Bangalore",14,280
341,The Venlakh Hospital,"Chamarajpet, Bangalore",13,50
342,Pranavam Ayurvedic Treatment Centre,"Nagawara, Bangalore",13,12
343,Republic Hospital,"Richmond Town, Bangalore",13,70
344,Bagavathi Multi Speciality Hospital,"HSR Layout, Bangalore",13,40
345,SG Hospital,"Banashankari, Bangalore",9,
346,Medstar Speciality Hospital,"Sahakaranagar, Bangalore",13,35
347,S. R. HOSPITAL,"Kumaraswamy Layout, Bangalore",1,
348,Dr. Levine Memorial Hospital,"Bellandur, Bangalore",2,
349,Trupthi Nursing Home,"Basaveshwaranagar, Bangalore",13,10
350,Anugraha Nursing Home,"Malleswaram, Bangalore",13,15
351,Suresh Hospital & Diagnostics,"Rajajinagar, Bangalore",32,
352,GarbhaGudi IVF Center,"Kalyan Nagar, Bangalore",13,5
353,Manipal Ankur Andrology & Reproductive Services,"Jayanagar, Bangalore",2,
354,Shri Vijayalakshmi Hospital & Trauma Centre,"Hennur, Bangalore",13,15
355,Deepashri Hospital,"Nagarbhavi, Bangalore",1,
356,Abhay Hospital,"Jnanabharathi, Bangalore",3,
357,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",13,250
358,HSR Hospital and Maternity Centre,"HSR Layout, Bangalore",3,
359,Sai Jyoti Eye and Dental Hospital,"Ulsoor, Bangalore",13,10
360,Vasan Eye Care Hospital - Rajajinagar,"Rajajinagar, Bangalore",1,
361,Beams Hospital,"Koramangala, Bangalore",13,8
362,Nightingales Home Health Services,"Whitefield, Bangalore",1,
363,Blossom Multispecialty Hospital,"Electronics City, Bangalore",13,40
364,Shraddha Eye Care Hospital,"Padmanabhanagar, Bangalore",2,
365,Mathru Multispecialty Hospital,"Kanakpura Road, Bangalore",13,35
366,Unity Hospital,"Rajarajeshwarinagar, Bangalore",1,
367,Bangalore Nethralaya,"Vijayanagar, Bangalore",3,
368,Omega Multispeciality Hospital,"Yelahanka New Town, Bangalore",13,40
369,Vishwa Bharathi Hospital,"Banashankari 1st Stage, Bangalore",7,
370,Zilme Hospitals,"Horamavu, Bangalore",3,
371,Belaku Eye Hospital,"Kengeri, Bangalore",1,
372,Gangorthri Hospital ,"BTM Layout, Bangalore",2,
373,Sri Krishna Hospital,"Bannerghatta Road, Bangalore",13,20
374,Prakruthi Veterinary Hospital,"Banashankari, Bangalore",13,2
375,Sadguna Hi Tech Hospital,"Rajajinagar, Bangalore",1,
376,Dr.T V Ramesh Piles Hospital,"Ganganagar, Bangalore",2,
377,Manipal Ankur,"Kalyan Nagar, Bangalore",13,25
378,Mamatha Nursing Home,"Rajajinagar, Bangalore",13,10
379,Sakaria Eye Hospital,"Kalyan Nagar, Bangalore",6,
380,Shifaa Hospital,"Vasanthnagar, Bangalore",13,200
381,Shree Nandi Hospital,"Chamarajpet, Bangalore",1,
382,Chamundi Hospital,"Madiwala, Bangalore",13,10
383,Anugraha Hospital,"Electronics City, Bangalore",1,
384,I- Smile Align Dental Clinic,"Koramangala 1 Block, Bangalore",3,
385,Cloudnine Fertility,"JP Nagar 5 Phase, Bangalore",16,
386,Vinayaka Speciality Hospital,"Vijayanagar, Bangalore",1,
387,Mysore Road Hitech Hospital,"Nayandahalli, Bangalore",1,
388,Raghavendra People Tree Hospital,"T Dasarahalli, Bangalore",12,100
389,Atreya Ayurveda Hospital,"Padmanabhanagar, Bangalore",1,
390,Life Plus Hospital,"Indiranagar, Bangalore",2,
391,Vasan Dental Care,"HRBR Layout, Bangalore",5,
392,Victoria Hospital,"K R Market, Bangalore",2,
393,New Dental Hospital,"Banaswadi, Bangalore",1,
394,Hematology Centre- BGS Hospital Kengeri,"Kengeri, Bangalore",2,
395,Bakson's Homoeopathic Centre for Allergy,"Indiranagar, Bangalore",3,
396,Ramakrishna Nursing Home,"Malleswaram, Bangalore",12,22
397,Devi Nursing Home,"Koramangala 2 Block, Bangalore",12,1
398,M.V. Centre For Diabetes,"Koramangala, Bangalore",12,1
399,Nethralakshi Eye Hospital,"Chamarajpet, Bangalore",12,30
400,Sevabhaya Hospital,"Rajajinagar, Bangalore",4,
401,NationWide Indira Nagar Clinic,"Indiranagar, Bangalore",2,
402,Unity Hospital,"Rajarajeshwarinagar, Bangalore",12,5
403,Clinique Belle ,"Koramangala, Bangalore",2,
404,Aditi Hospital,"Anekal, Bangalore",4,
405,Rajashekar Hospital,"JP Nagar 1 Phase, Bangalore",1,
406,HCG Hospitals,"Koramangala 5 Block, Bangalore",12,6
407,Ananya Hospital,"Rajajinagar, Bangalore",2,
408,Shankar Nursing Home,"KR Puram, Bangalore",12,5
