,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
169,KHM Hospital,"Anna Nagar, Chennai",23,50.0
170,Jawahar Hospital,"Tambaram, Chennai",2,15.0
171,Ponmalligai Hospital,"Adambakkam, Chennai",13,50.0
172,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8,300.0
173,MIOT Hospital,"Manapakkam, Chennai",31,
174,Gajanan Hospitals,"Tambaram, Chennai",12,75.0
175,BSS Hospital,"Mandaveli, Chennai",8,40.0
176,Mehta Hospitals Pvt Ltd,"Chetpet, Chennai",20,
177,Pallava Hospital,"Ashok Nagar, Chennai",2,30.0
178,Ess Vee Hospital,"Ambattur, Chennai",6,
179,City Tower Hospitals,"Anna Nagar, Chennai",1,52.0
180,Padmini Nursing Home,"Chetpet, Chennai",40,15.0
181,Medindia Hospitals,"Nungambakkam, Chennai",4,
182,Global Hospital,"Perumbakkam, Chennai",75,1000.0
183,Santosham Chest Hospital,"Egmore, Chennai",6,50.0
184,Aswene Soundra Hospital And Research Centre,"Teynampet, Chennai",16,
185,Life Med Hospitals,"Gopalapuram, Chennai",17,
186,Swaram Poly Clinics,"Sholinganallur, Chennai",2,
187,Prime OBG Fertility Centre,"Thiruvanmiyur, Chennai",8,20.0
188,Hindu Mission Health Services,"Nanganallur, Chennai",5,50.0
189,Lakshya Fertility and Women's Centre,"Chromepet, Chennai",2,
190,Shepherd Nursing Home,"Perambur, Chennai",10,20.0
191,Orthomed Hospital,"Royapettah, Chennai",8,60.0
192,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43,100.0
193,Retteri Sri Kumaran Health Centre Private Limited,"Kolathur, Chennai",30,
194,Medicity Health Centre & Diagnostics,"Tambaram East, Chennai",10,
195,Amrit Hospital,"Sowcarpet, Chennai",9,6.0
196,Sri PadmaPriya Hospital,"Adyar, Chennai",9,
197,Aakash Fertility Centre & Hospital,"Vadapalani, Chennai",2,50.0
198,Apollo Hospital,"Greams Road, Chennai",193,560.0
199,Margaret Sidney Hospital,"Nanganallur, Chennai",3,10.0
200,N.N. Hospital,"Tambaram West, Chennai",2,4.0
201,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15,360.0
202,Billroth Hospitals,"Raja Annamalai Puram, Chennai",8,
203,Firm Hospitals,"Anna Nagar, Chennai",9,20.0
204,Swaram Hospital Kelambakkam,"Kelambakkam, Chennai",2,20.0
205,Srushti Fertility Hospital & Womens Clinic,"Kotturpuram, Chennai",10,5.0
206,Care & Cure Speciality Hospital (C and C Woman's Hospital),"Ayanavaram, Chennai",6,10.0
207,J V Hospital,"Kodambakkam, Chennai",4,30.0
208,Selvaraman Hospital,"Anna Nagar West, Chennai",10,
209,Surya Fertility Centre,"T Nagar, Chennai",1,2.0
210,RG Stone Urology & Laparoscopy Hospital,"Saidapet, Chennai",9,
211,Sivasundar Hospital,"Adyar, Chennai",7,
212,Iswarya Women's Hospital and Fertility Center,"Adyar, Chennai",8,20.0
213,Priya Nursing Home,"Washermenpet, Chennai",8,50.0
214,Prashanth Superspeciality Hospital,"Velachery, Chennai",17,100.0
215,Raju Hospital,"T Nagar, Chennai",7,42.0
216,Deepam Kidney Stone Centre,"Tambaram, Chennai",1,
217,K C Multispeciality Hospital,"Avadi, Chennai",6,
218,SKS Hospital,"Mogappair East, Chennai",4,10.0
219,A C Hospital,"Ayanavaram, Chennai",8,
220,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23,100.0
221,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95,10.0
222,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654.0
223,Fortis Hospital,"Vasant Kunj, Delhi",89,200.0
224,Adiva Hospital,"Green Park, Delhi",25,15.0
225,Malik Radix Health Care,"Nirman Vihar, Delhi",19,50.0
226,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650.0
227,Max Super Speciality Hospital,"Saket, Delhi",260,250.0
228,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500.0
229,Fortis C-DOC Hospital,"Nehru Place, Delhi",26,25.0
230,St Stephens Hospital,"Tis Hazari, Delhi",93,600.0
231,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20,90.0
232,Fortis Hospital,"Shalimar Bagh, Delhi",49,282.0
233,Max Hospital,"Pitampura, Delhi",101,120.0
234,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",14,56.0
235,Saroj Hospital,"Rohini, Delhi",76,
236,Aastha Hospital & IVF Centre,"Vikas Puri, Delhi",7,20.0
237,Dr. Leena N Sreedhar Consultation Chamber,"Moti Nagar, Delhi",1,60.0
238,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210.0
239,Shroff Eye Centre - Kailash Colony,"Kailash Colony, Delhi",21,
240,Jeewan Mala Hospital,"Karol Bagh, Delhi",5,75.0
241,Irene Hospital,"Kalkaji, Delhi",18,55.0
242,Sant Parmanand Hospital,"Civil Lines, Delhi",11,153.0
243,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21,250.0
244,Kalra Hospital,"Kirti Nagar, Delhi",17,150.0
245,Aarogya Hospital,"Chitra Vihar, Delhi",6,30.0
246,Shanti Mukand Hospital,"Vikas Nagar, Delhi",2,70.0
247,Jaipur Golden Hospital,"Rohini, Delhi",50,250.0
248,Delhi ENT Multispeciality Hospital And Resarch Centre,"Jasola, Delhi",13,
249,CM Patel Hospital,"Shahdara, Delhi",2,25.0
250,Cygnus Orthocare Hospital,"Safdarjung Development Area, Delhi",8,80.0
251,Orchid Hospital & Heart Centre,"Janak Puri, Delhi",3,50.0
252,Balhara's Le Cure Hospital,"Rohini, Delhi",5,
253,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35,70.0
254,Kailash Deepak Memorial Hospital,"Karkardooma, Delhi",29,300.0
255,Neptune Hospital ,"Malviya Nagar, Delhi",6,18.0
256,Aakash Hospital,"Malviya Nagar, Delhi",34,50.0
257,Apex Hospital,"Naraina Vihar, Delhi",12,25.0
258,Moolchand Hospital,"Lajpat Nagar, Delhi",89,50.0
259,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28,200.0
260,Lok Clinic And Hospital,"Janak Puri, Delhi",16,
261,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25,155.0
262,Rockland Hospital,"Dwarka, Delhi",33,100.0
263,Gouri Hospital,"Kamla Nagar, Delhi",10,25.0
264,Sanjeevan Hospital,"Darya Ganj, Delhi",73,100.0
265,Pentamed Hospital,"Model Town, Delhi",8,30.0
266,Westend Hospital ,"Tilak Nagar, Delhi",5,
267,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",4,150.0
268,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300.0
269,Bhatia Global Hospital & Endosurgery Institute,"Paschim Vihar, Delhi",3,50.0
270,Orthoplus Hospital,"Najafgarh, Delhi",12,
271,Olmec Plastic Surgery & Hair Transplant Hospital,"Pitampura, Delhi",1,7.0
272,Metro Hospitals & Heart Institute,"Lajpat Nagar, Delhi",10,50.0
273,Mohinder Hospital,"Green Park, Delhi",17,
274,Amar Leela Hospital Pvt. Ltd,"Janak Puri, Delhi",7,43.0
275,Centre For Sexual & Mental Health,"Greater Kailash Part 2, Delhi",1,20.0
276,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32,100.0
277,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",13,102.0
278,Bali Nursing Home,"Karol Bagh, Delhi",10,
279,Panchsheel Hospital,"Yamuna Vihar, Delhi",10,50.0
280,Durga Hospital Pvt. Ltd,"Mukherjee Nagar, Delhi",6,
281,Apex Citi Hospital ,"IP Extension, Delhi",32,
282,Bhagat Hospital,"Janak Puri, Delhi",29,35.0
283,Makkar Medical Centre,"Nirman Vihar, Delhi",8,10.0
284,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30,80.0
285,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15,100.0
286,K. R. Hospital,"Chattarpur, Delhi",2,
287,Adiva Super-Speciality Care,"Green Park, Delhi",2,50.0
288,Jeevan Jyoti Hospital - Uttam Nagar,"Uttam Nagar, Delhi",9,
289,K.K.Hospital,"Peeragarhi, Delhi",7,
290,Seva Dham Plus Hospital,"Hazrat Nizamuddin, Delhi",1,
291,Sankhwar Hospital,"Kondli, Delhi",11,100.0
292,Sir Ganga Ram Kolmet Hospital,"Old Rajendra Nagar, Delhi",5,40.0
293,Gupta Mulitispeciality Hospital,"Vivek Vihar, Delhi",9,50.0
294,Daya Memorial Hospital,"Munirka, Delhi",9,
295,Arcus Superspeciality Medicentre,"Dwarka, Delhi",7,
296,Surya Hospital - Krishna Nagar,"Krishna Nagar, Delhi",1,50.0
297,Sunder Lal Jain Hospital,"Ashok Vihar, Delhi",10,10.0
298,Max Super Speciality Hospital,"Patparganj, Delhi",44,50.0
299,Vardaan Hospital,"Malviya Nagar, Delhi",22,
300,Centre for Sight - Safdarjung Enclave,"Safdarjung Enclave, Delhi",17,
301,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16,102.0
302,R G Stone Urology & Laparoscopy Hospital,"Rajouri Garden, Delhi",4,15.0
303,Mohan eye institute,"Karol Bagh, Delhi",8,
304,Vinayak Hospital,"Model Town, Delhi",34,
305,Lotus Hospital ,"Hari Nagar, Delhi",8,
306,Fortis Escorts,"Okhla, Delhi",52,310.0
307,Bimla Devi Hospital,"Mayur Vihar Ph-II, Delhi",1,20.0
308,Venkateshwar Hospital,"Dwarka, Delhi",36,325.0
309,Mata Roop Rani Maggo Hospital,"Uttam Nagar, Delhi",22,40.0
310,Bharti Eye Foundation,"Patel Nagar, Delhi",7,
311,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13,100.0
312,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",3,100.0
313,Bensups Hospital,"Dwarka, Delhi",5,
314,Artemis Hospitals,"Dwarka, Delhi",4,50.0
315,Shyama Hospital ,"Dwarka, Delhi",2,28.0
316,Indraprastha Apollo Hospital,"Jasola, Delhi",1,10.0
317,Bharti Eye Hospital,"Greater Kailash Part 1, Delhi",7,10.0
318,Psycare,"Jasola, Delhi",10,30.0
319,Shyam Hospital,"Delhi, Delhi",1,25.0
320,Sushma Jindal Hospital,"Dilshad Garden, Delhi",2,
321,Care Hospital,"Nampally, Hyderabad",43,
322,Swapna Health Care,"Begumpet, Hyderabad",10,50.0
323,MaxCure Hospitals,"Madhapur, Hyderabad",30,220.0
324,Asian Institute Of Gastroenterology,"Somajiguda, Hyderabad",48,
325,Himagiri Hospitals,"Gachibowli, Hyderabad",16,50.0
326,Columbus Hospital - Institute Of Psychiatry and Deaddiction,"Begumpet, Hyderabad",5,30.0
327,Yashoda Hospital,"Somajiguda, Hyderabad",62,500.0
328,Continental Hospitals,"Gachibowli, Hyderabad",133,750.0
329,Chetana Hospital,"Secunderabad, Hyderabad",6,30.0
330,Care Hospitals,"Banjara Hills, Hyderabad",125,200.0
331,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",16,75.0
332,J J Hospital,"Kalyan Nagar, Hyderabad",13,
333,Anupama Hospital,"KPHB, Hyderabad",12,10.0
334,Star Hospitals,"Banjara Hills, Hyderabad",45,136.0
335,SIMS Hospital,"Serilingampally, Hyderabad",4,50.0
336,Magnas V ENT Hospitals,"Chaitanyapuri, Hyderabad",2,
337,LV Prasad,"Banjara Hills, Hyderabad",18,
338,Pace Hospitals,"Begumpet, Hyderabad",17,100.0
339,Preeti Urology and Kidney Hospital,"Kukatpally, Hyderabad",5,75.0
340,Janapareddy Hospitals,"Sikh Village, Hyderabad",8,150.0
341,Aster Prime Hospitals,"Ameerpet, Hyderabad",15,250.0
342,Pace Hospital,"Hitech City, Hyderabad",15,100.0
343,Hyderbad Kidney & Laproscopic Center,"Malakpet, Hyderabad",6,100.0
344,Sunshine Hospital,"Secunderabad, Hyderabad",24,450.0
345,Mamatha Hospitals,"Kukatpally, Hyderabad",7,120.0
346,Omega Hospital,"Banjara Hills, Hyderabad",25,150.0
347,Sowmya Multispecality Hospital,"Karkhana, Hyderabad",2,
348,The Birthplace Hospital,"Banjara Hills, Hyderabad",12,25.0
349,Vanaja Hospital,"AS Rao Nagar, Hyderabad",12,25.0
350,Kamineni Hospitals,"LB Nagar, Hyderabad",66,350.0
351,Ramayya Pramila Urology & Laparoscopy Hospital,"Basheerbagh, Hyderabad",3,50.0
352,Nice Hospital,"Masab Tank, Hyderabad",11,120.0
353,Pranaam Hospital,"Madinaguda, Hyderabad",3,100.0
354,Midas ENT Head & Neck Super Speciality Hospital,"Dilsukhnagar, Hyderabad",1,100.0
355,Landmark Hospitals,"Nizampet, Hyderabad",21,100.0
356,Fehmicare Hospital,"Yousufguda, Hyderabad",6,
357,Harsha Hospitals,"Kukatpally, Hyderabad",2,
358,Medwin Hospitals,"Nampally, Hyderabad",34,200.0
359,Kadimi Nursing Home,"Chanda Nagar, Hyderabad",6,25.0
360,Omni Hospitals,"Kothapet, Hyderabad",24,250.0
361,Krishna Children's Hospital,"Lakdikapul, Hyderabad",5,50.0
362,Vijaya Hospital,"Madinaguda, Hyderabad",10,
363,Sankhya Hospitals,"Kukatpally, Hyderabad",20,50.0
364,Mahaveer Hospital,"Masab Tank, Hyderabad",14,200.0
365,Sumana Hospital,"Kukatpally, Hyderabad",15,50.0
366,Vijay Marie Hospital,"Khairatabad, Hyderabad",13,200.0
367,Vijaya Health Care,"Secunderabad, Hyderabad",3,100.0
368,Lotus Children Hospitals,"Kukatpally, Hyderabad",3,50.0
369,Vasavi Hospital,"Lakdikapul, Hyderabad",14,150.0
370,Orthopedic Doctor- Raghava Hospital,"Ameerpet, Hyderabad",8,50.0
371,Aditya Hospital,"Abids, Hyderabad",39,
372,Owaisi Hospital And Research Centre,"Kanchanbagh, Hyderabad",41,
373,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33,100.0
374,TKR's Ikon Hospital,"Dilsukhnagar, Hyderabad",7,75.0
375,Hedge Fertility Hospital,"Moosarambagh, Hyderabad",2,25.0
376,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",9,200.0
377,Global Hospital,"Lakdikapul, Hyderabad",25,100.0
378,Pragna Hospitals,"Banjara Hills, Hyderabad",5,50.0
379,Bristlecone Hospitals,"Barkatpura, Hyderabad",38,
380,C C Shroff Memorial Hospital,"Barkatpura, Hyderabad",10,
381,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",12,100.0
382,Ramdev Rao Memorial General Hospital,"Kukatpally, Hyderabad",6,
383,SMT. Bhagwan Devi Hospital,"Old City, Hyderabad",4,50.0
384,Aster Prime Hospitals,"Kukatpally, Hyderabad",8,100.0
385,Durgabai Deshmukh Hospital,"Vidyanagar, Hyderabad",8,50.0
386,Premier Hospital,"Mehdipatnam, Hyderabad",15,105.0
387,Asha Hospital,"Banjara Hills, Hyderabad",12,200.0
388,Surekha Hospital,"Kompally, Hyderabad",2,50.0
389,Janapareddy Hospital - Mother & Child,"Kompally, Hyderabad",4,75.0
390,Balaji Hospital,"Kompally, Hyderabad",4,100.0
391,Saptagiri Hospital,"Chaitanyapuri, Hyderabad",4,50.0
392,Dr. Rao's ENT Super Speciality International Hospital,"KPHB, Hyderabad",4,100.0
393,Eswar Eye Hospital,"Kukatpally, Hyderabad",6,10.0
394,Kirloskar Hospital,"Basheerbagh, Hyderabad",5,50.0
395,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",12,60.0
396,Vasundhara Hospital,"Moosapet, Hyderabad",6,
397,Sri Visista Super Speciality Ayurveda,"Punjagutta, Hyderabad",4,
398,Vijaya Nursing Home,"Chanda Nagar, Hyderabad",5,
