,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
44,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8,300
45,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300
46,Holy Spirit Hospital,"Andheri East, Mumbai",32,300
47,Narayana Multispeciality Hospital,"Amer, Jaipur",7,290
48,Fortis Hospital,"Shalimar Bagh, Delhi",50,282
49,Manipal Hospital,"Whitefield, Bangalore",8,280
50,Fortis Hospital,"Mulund West, Mumbai",117,261
51,Saifee Hospital,"Charni Road, Mumbai",170,256
52,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31,251
53,CHL Hospital,"LIG Colony, Indore",4,250
54,Omni Hospitals,"Kothapet, Hyderabad",23,250
55,CSI Rainy Hospital,"Washermenpet, Chennai",7,250
56,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11,250
57,Sunrise Hospitals,"East Of Kailash, Delhi",4,250
58,Jaipur Golden Hospital,"Rohini, Delhi",51,250
59,HV Desai Eye Hospital,"Hadapsar, Pune",2,250
60,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21,250
61,Care Hospitals,"Gachibowli, Hyderabad",5,250
62,Ozone Hospitals,"Dilsukhnagar, Hyderabad",9,250
63,Citizens Specialty Hospitals,"Lingampally, Hyderabad",4,250
64,NH Malla Reddy Narayan Multispeciality Hospital,"Jeedimetla, Hyderabad",10,250
65,Max Super Speciality Hospital,"Saket, Delhi",260,250
66,Medisys Hospitals,"LB Nagar, Hyderabad",7,250
67,"Dr Ashvith Shetty's Clinic, Hiranandani hospital","Powai, Mumbai",1,240
68,Masina Hospital ,"Byculla, Mumbai",121,232
69,Vikram Hospital,"Millers Road, Bangalore",19,225
70,Hindu Mission Hospital,"Tambaram West, Chennai",50,220
71,MaxCure Hospitals,"Madhapur, Hyderabad",30,220
72,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31,220
73,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210
74,Amri Hospitals,"Salt Lake, Kolkata",21,210
75,Bhatia  Hospital,"Tardeo, Mumbai",205,209
76,Metro Multispeciality Hospital,"Sector 11, Noida",25,207
77,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7,205
78,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",9,200
79,Choithram Hospital & Research Centre,"Manikbagh, Indore",3,200
80,Shalby Hospital,"Old Palasia, Indore",7,200
81,Srikara Hospitals,"Miyapur, Hyderabad",5,200
82,Asha Hospital,"Banjara Hills, Hyderabad",12,200
83,Sterling Multispeciality Hospital,"Nigdi, Pune",3,200
84,Sagar Hospital,"Jayanagar, Bangalore",30,200
85,Bharathiraja Hospital,"T Nagar, Chennai",6,200
86,Maxcure Hospitals,"Saifabad, Hyderabad",6,200
87,Fortis Hospital,"Vasant Kunj, Delhi",89,200
88,Surbhi Hospital,"Sector 35, Noida",9,200
89,Sooriya Hospital,"Saligramam, Chennai",12,200
90,Apollo Hospital,"Hyderguda, Hyderabad",14,200
91,Care Hospitals,"Banjara Hills, Hyderabad",125,200
92,Global Hospital,"Parel, Mumbai",3,200
93,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200
94,Sancheti Hospital,"Shivaji Nagar, Pune",35,200
95,The Deccan Hospital,"Somajiguda, Hyderabad",1,200
96,Medwin Hospitals,"Nampally, Hyderabad",34,200
97,Vijay Marie Hospital,"Khairatabad, Hyderabad",13,200
98,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28,200
99,Mahaveer Hospital,"Masab Tank, Hyderabad",14,200
100,People Tree Hospitals,"Yeshwanthpur, Bangalore",50,200
101,Shifaa Hospital,"Vasanthnagar, Bangalore",25,200
102,St. Joseph's Hospital,"Gomtinagar, Lucknow",2,180
103,Kohinoor Hospital,"Kurla West, Mumbai",1,175
104,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26,175
105,Neera Hospital,"Mahanagar, Lucknow",3,160
106,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",1,160
107,Yatharth Wellness Hospital & Trauma Centre,"Greater Noida, Noida",5,157
108,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25,155
109,Sant Parmanand Hospital,"Civil Lines, Delhi",11,153
110,Sterling Super Speciality Hospitals,"Trimulgherry, Hyderabad",2,150
111,Specialist Hospital,"Kalyan Nagar, Bangalore",9,150
112,Columbia Asia Hospital,"Whitefield, Bangalore",18,150
113,Omega Hospital,"Banjara Hills, Hyderabad",25,150
114,Kamineni Hospitals,"King Koti, Hyderabad",1,150
115,Apollo Hospital,"Jayanagar, Bangalore",2,150
116,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",1,150
117,KIMS Bibi Hospital,"Malakpet, Hyderabad",1,150
118,Birthright By Rainbow,"Banjara Hills, Hyderabad",2,150
