,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
15,B M Hospitals,"Nanganallur, Chennai",18.0,70.0,https://www.practo.com/chennai/hospital/bm-hospitals-nanganallur
16,SP Hospital,"Adambakkam, Chennai",8.0,,https://www.practo.com/chennai/hospital/sp-hospital-adambakkam
17,Mother's Speciality Hospital,"Ambattur, Chennai",4.0,,https://www.practo.com/chennai/hospital/mother-s-speciality-hospital-ambattur-1
18,Madras ENT Research Foundation,"Raja Annamalai Puram, Chennai",13.0,,https://www.practo.com/chennai/hospital/madras-ent-research-foundation-raja-annamalai-puram
19,KKR ENT Hospital and Research Centre,"Kilpauk, Chennai",6.0,35.0,https://www.practo.com/chennai/hospital/kkr-ent-hospital-and-research-centre-kilpauk
20,Bethesda Hospital & Child Care Centre,"Tambaram East, Chennai",3.0,35.0,https://www.practo.com/chennai/hospital/bethesda-hospital-child-care-centre-tambaram-west
21,Madras Medical Mission Hospital,"Mogappair, Chennai",31.0,100.0,https://www.practo.com/chennai/hospital/madras-medical-mission-hospital-mogappair-west
22,Kedar Hospital,"Mugalivakkam, Chennai",9.0,10.0,https://www.practo.com/chennai/hospital/kedar-hospital-porur
23,Cosh,"Tambaram, Chennai",5.0,50.0,https://www.practo.com/chennai/hospital/cosh-multispeciality-clinic-tambaram
24,Lifeline Rigid Hospitals,"Kilpauk, Chennai",13.0,45.0,https://www.practo.com/chennai/hospital/lifeline-rigid-hospital-kilpauk-kilpauk
25,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",14.0,30.0,https://www.practo.com/chennai/hospital/sri-venkateswara-c-m-hospital-nanganallur
26,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",15.0,50.0,https://www.practo.com/chennai/hospital/saraswathy-speciality-hospital-madipakkam
27,Pankajam Memorial Hospital,"Nanganallur, Chennai",4.0,25.0,https://www.practo.com/chennai/hospital/pankajam-memorial-hospital-nanganallur-1
28,Srinivas Priya Hospital,"Perambur, Chennai",4.0,75.0,https://www.practo.com/chennai/hospital/srinivas-priya-hospital-perambur
29,Rakshith Hospital,"Valasaravakkam, Chennai",28.0,,https://www.practo.com/chennai/hospital/rakshith-hospital-valasaravakkam
30,Girishwari Hospital,"Teynampet, Chennai",7.0,150.0,https://www.practo.com/chennai/hospital/girishwari-hospital-alwarpet
31,Hande Medical Centre,"Nungambakkam, Chennai",15.0,20.0,https://www.practo.com/chennai/hospital/hande-medical-centre-nungambakkam-2
32,Frontier Lifeline Hospital,"Mogappair, Chennai",9.0,120.0,https://www.practo.com/chennai/hospital/frontier-lifeline-hospital-anna-nagar
33,Apollo Childrens Hospital,"Thousand Lights, Chennai",19.0,53.0,https://www.practo.com/chennai/hospital/apollo-childrens-hospital-thousand-lights-1
34,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",8.0,60.0,https://www.practo.com/chennai/hospital/soundarapandian-bone-joint-hospital-anna-nagar-1
35,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",14.0,5.0,https://www.practo.com/chennai/hospital/srushti-hospital-ramapuram-ramapuram
36,Jayam Hospital & GFC Fertility,"Kodambakkam, Chennai",7.0,30.0,https://www.practo.com/chennai/hospital/jayam-ortho-care-kodambakkam-1-1
37,Kauvery Hospitals,"Mylapore, Chennai",24.0,100.0,https://www.practo.com/chennai/hospital/kauvery-paediatric-cardiac-care-alwarpet
38,Swaram Specialty Hospital,"Sholinganallur, Chennai",5.0,30.0,https://www.practo.com/chennai/hospital/swaram-specialty-hospital-sholinganallur
39,Billroth Hospitals,"Shenoy Nagar, Chennai",42.0,600.0,https://www.practo.com/chennai/hospital/billroth-hospitals-raja-annamalai-puram1
40,Dr Kamaraj Hospital For Men's Health,"Vadapalani, Chennai",5.0,10.0,https://www.practo.com/chennai/hospital/dr-kamaraj-hospitals-vadapalani
41,Vadapalani Multi Speciality Hospital,"Vadapalani, Chennai",13.0,,https://www.practo.com/chennai/hospital/vadapalani-multi-speciality-hospital-vadapalani
42,Balaji Nursing Home,"Thiruvanmiyur, Chennai",3.0,15.0,https://www.practo.com/chennai/hospital/balaji-nursing-home-thiruvanmiyur-1
43,Sridevi Hospital,"Anna Nagar, Chennai",20.0,,https://www.practo.com/chennai/hospital/sridevi-hospital-anna-nagar
44,The Guest Hospital,"Kilpauk, Chennai",27.0,,https://www.practo.com/chennai/hospital/the-guest-hospital-kilpauk-1
45,Sooriya Hospital,"Saligramam, Chennai",12.0,200.0,https://www.practo.com/chennai/hospital/sooriya-hospital-saligramam-1
46,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15.0,100.0,https://www.practo.com/chennai/hospital/k-m-speciality-hospital-thiruvallur
47,K.J.Hospital-Research & Postgraduate Center,"Chetpet, Chennai",33.0,,https://www.practo.com/chennai/hospital/k-j-hospital-research-postgraduate-center-chetpet
48,Siva Head & Neck Hospital,"Royapettah, Chennai",3.0,10.0,https://www.practo.com/chennai/hospital/siva-ent-hospital-royapettah-1
49,KHM Hospital,"Anna Nagar, Chennai",23.0,50.0,https://www.practo.com/chennai/hospital/khm-hospital-anna-nagar
50,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8.0,300.0,https://www.practo.com/chennai/hospital/prashanth-multispeciality-hospital-chetpet
51,Ponmalligai Hospital,"Adambakkam, Chennai",13.0,50.0,https://www.practo.com/chennai/hospital/ponmalligai-hospital-adambakkam-1
52,Jawahar Hospital,"Tambaram, Chennai",2.0,15.0,https://www.practo.com/chennai/hospital/jawahar-hospital-tambaram
53,MIOT Hospital,"Manapakkam, Chennai",31.0,,https://www.practo.com/chennai/hospital/dr-s-palaniappan-miot-hospital-manapakkam
54,Gajanan Hospitals,"Tambaram, Chennai",12.0,75.0,https://www.practo.com/chennai/hospital/gajanan-hospitals-pvt-ltd-tambaram
55,BSS Hospital,"Mandaveli, Chennai",8.0,40.0,https://www.practo.com/chennai/hospital/bss-hospital-mandaveli
56,Mehta Hospitals Pvt Ltd,"Chetpet, Chennai",20.0,,https://www.practo.com/chennai/hospital/dr-nazira-s-practise-chetpet
57,Pallava Hospital,"Ashok Nagar, Chennai",2.0,30.0,https://www.practo.com/chennai/hospital/pallava-hospital-ashok-nagar
58,City Tower Hospitals,"Anna Nagar, Chennai",1.0,52.0,https://www.practo.com/chennai/hospital/city-tower-hospitals-anna-nagar
59,Ess Vee Hospital,"Ambattur, Chennai",6.0,,https://www.practo.com/chennai/hospital/ess-vee-hospital-ambattur
60,Padmini Nursing Home,"Chetpet, Chennai",40.0,15.0,https://www.practo.com/chennai/hospital/padmini-nursing-home-chetpet
61,Medindia Hospitals,"Nungambakkam, Chennai",4.0,,https://www.practo.com/chennai/hospital/medindia-hospitals-nungambakkam-1
62,Global Hospital,"Perumbakkam, Chennai",75.0,1000.0,https://www.practo.com/chennai/hospital/global-health-city-perumbakkam1
63,Santosham Chest Hospital,"Egmore, Chennai",6.0,50.0,https://www.practo.com/chennai/hospital/santosham-chest-hospital-egmore
64,Dr. U. Mohan Rau Memorial Hospital,"Egmore, Chennai",2.0,30.0,https://www.practo.com/chennai/hospital/dr-u-mohan-rau-memorial-hospital-poonamalle
65,Aswene Soundra Hospital And Research Centre,"Teynampet, Chennai",16.0,,https://www.practo.com/chennai/hospital/aswene-soundra-hospital-and-research-centre-teynampet
66,Life Med Hospitals,"Gopalapuram, Chennai",17.0,,https://www.practo.com/chennai/hospital/life-med-hospitals-gopalapuram
67,Swaram Poly Clinics,"Sholinganallur, Chennai",2.0,,https://www.practo.com/chennai/hospital/swaram-poly-clinics-sholinganallur
68,Prime OBG Fertility Centre,"Thiruvanmiyur, Chennai",7.0,20.0,https://www.practo.com/chennai/hospital/prime-obg-fertility-centre-thiruvanmiyur
69,Lakshya Fertility and Women's Centre,"Chromepet, Chennai",2.0,,https://www.practo.com/chennai/hospital/lakshya-fertility-womens-centre-chromepet
70,Shepherd Nursing Home,"Perambur, Chennai",10.0,20.0,https://www.practo.com/chennai/hospital/shepherd-nursing-home-perambur
71,Orthomed Hospital,"Royapettah, Chennai",8.0,60.0,https://www.practo.com/chennai/hospital/orthomed-hospital-royapettah
72,Retteri Sri Kumaran Health Centre Private Limited,"Kolathur, Chennai",30.0,,https://www.practo.com/chennai/hospital/retteri-sri-kumaran-health-centre-private-limited-kolathur
73,St. Thomas Hospital,"St Thomas Mount, Chennai",20.0,10.0,https://www.practo.com/chennai/hospital/st-thomas-hospital-st-thomas-mount-1-1
74,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43.0,100.0,https://www.practo.com/chennai/hospital/abhijay-hospital-perambur-1
75,Medicity Health Centre & Diagnostics,"Tambaram East, Chennai",10.0,,https://www.practo.com/chennai/hospital/medicity-health-centre-diagnostics-tambaram-east
76,Amrit Hospital,"Sowcarpet, Chennai",9.0,6.0,https://www.practo.com/chennai/hospital/amrit-hospital-sowcarpet
77,Sri PadmaPriya Hospital,"Adyar, Chennai",9.0,,https://www.practo.com/chennai/hospital/sri-padmapriya-hospital-adyar
78,Aakash Fertility Centre & Hospital,"Vadapalani, Chennai",2.0,50.0,https://www.practo.com/chennai/hospital/aakash-fertility-centre-hospital-vadapalani-1-1
79,Appasamy Hospital,"Arumbakkam, Chennai",27.0,85.0,https://www.practo.com/chennai/hospital/appasamy-hospital-arumbakkam
80,Kumaran Hospital,"Kilpauk, Chennai",96.0,,https://www.practo.com/chennai/hospital/kumaran-hospital-endocrine-thyroid-clinic-thanjavur-south
81,Hindu Mission Health Services,"Nanganallur, Chennai",5.0,50.0,https://www.practo.com/chennai/hospital/hindu-mission-health-services-nanganallur
82,Apollo Hospital,"Greams Road, Chennai",203.0,560.0,https://www.practo.com/chennai/hospital/apollo-hospitals-greams-road-3
83,Margaret Sidney Hospital,"Nanganallur, Chennai",3.0,10.0,https://www.practo.com/chennai/hospital/margaret-sidney-hospital-nanganallur
84,N.N. Hospital,"Tambaram West, Chennai",2.0,4.0,https://www.practo.com/chennai/hospital/n-n-hospital-tambaram-west
85,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15.0,360.0,https://www.practo.com/chennai/hospital/srm-institutes-for-medical-science-vadapalani
86,Billroth Hospitals,"Raja Annamalai Puram, Chennai",8.0,,https://www.practo.com/chennai/hospital/billroth-hospitals-raja-annamalai-puram-1-1
87,Apollo First Med Hospitals,"Kilpauk, Chennai",53.0,80.0,https://www.practo.com/chennai/hospital/apollo-first-med-hospital-kilpauk
88,Firm Hospitals,"Anna Nagar, Chennai",9.0,20.0,https://www.practo.com/chennai/hospital/firm-hospitals-anna-nagar-east
89,Swaram Hospital Kelambakkam,"Kelambakkam, Chennai",2.0,20.0,https://www.practo.com/chennai/hospital/swaram-specialty-hospital-sholinganallur-1
90,Srushti Fertility Hospital & Womens Clinic,"Kotturpuram, Chennai",10.0,5.0,https://www.practo.com/chennai/hospital/srushti-fertility-centre-womens-clinic-kotturpuram
91,Care & Cure Speciality Hospital (C and C Woman's Hospital),"Ayanavaram, Chennai",6.0,10.0,https://www.practo.com/chennai/hospital/care-cure-speciality-hospital-ayanavaram
92,J V Hospital,"Kodambakkam, Chennai",4.0,30.0,https://www.practo.com/chennai/hospital/j-v-hospital-kodambakkam
93,Selvaraman Hospital,"Anna Nagar West, Chennai",10.0,,https://www.practo.com/chennai/hospital/selvaraman-hospital-anna-nagar-west
94,Surya Fertility Centre,"T Nagar, Chennai",1.0,2.0,https://www.practo.com/chennai/hospital/surya-fertility-centre-nungambakkam
95,RG Stone Urology & Laparoscopy Hospital,"Saidapet, Chennai",9.0,,https://www.practo.com/chennai/hospital/rg-stone-urology-laparoscopy-hospital-saidapet
96,Sivasundar Hospital,"Adyar, Chennai",7.0,,https://www.practo.com/chennai/hospital/sivasundar-hospital-adyar
97,Kamakshi Memorial Hospital,"Pallikaranai, Chennai",61.0,300.0,https://www.practo.com/chennai/hospital/dr-kamakshi-memorial-hospital-4-pallikaranai-1
98,Iswarya Women's Hospital and Fertility Center,"Adyar, Chennai",8.0,20.0,https://www.practo.com/chennai/hospital/iswarya-womens-hospital-and-fertility-center-adyar
99,Priya Nursing Home,"Washermenpet, Chennai",8.0,50.0,https://www.practo.com/chennai/hospital/priya-nursing-home-washermenpet
100,Prashanth Superspeciality Hospital,"Velachery, Chennai",17.0,100.0,https://www.practo.com/chennai/hospital/prashanth-super-speciality-hospital-velachery-1
101,Raju Hospital,"T Nagar, Chennai",7.0,42.0,https://www.practo.com/chennai/hospital/dr-vinayak-s-practice-t-nagar
102,Deepam Kidney Stone Centre,"Tambaram, Chennai",1.0,,https://www.practo.com/chennai/hospital/deepam-kidney-stone-center-tambaram
103,K C Multispeciality Hospital,"Avadi, Chennai",6.0,,https://www.practo.com/chennai/hospital/k-c-multispeciality-hospital-avadi
104,SKS Hospital,"Mogappair East, Chennai",4.0,10.0,https://www.practo.com/chennai/hospital/sks-hospital-anna-nagar-west
105,A C Hospital,"Ayanavaram, Chennai",8.0,,https://www.practo.com/chennai/hospital/a-c-hospital-ayanavaram-1
106,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23.0,100.0,https://www.practo.com/chennai/hospital/apollo-hospital-34
107,Noble Hospital,"Purasawakkam, Chennai",29.0,25.0,https://www.practo.com/chennai/hospital/noble-hospital-7-purasawakkam
108,Deepam Hospitals,"Tambaram West, Chennai",5.0,136.0,https://www.practo.com/chennai/hospital/deepam-hospital-tambaram-west-1
109,PM Hospital,"Adyar, Chennai",9.0,,https://www.practo.com/chennai/hospital/pm-hospital
110,Narayana Hospital,"Purasawakkam, Chennai",2.0,50.0,https://www.practo.com/chennai/hospital/narayana-hospital-purasawakkam
111,Krishna Eye And Ent Hospital,"T Nagar, Chennai",2.0,50.0,https://www.practo.com/chennai/hospital/krishna-eye-and-ent-hospital-t-nagar
112,Arokya Hospital,"Nesapakkam, Chennai",2.0,10.0,https://www.practo.com/chennai/hospital/arokya-hospital-nesapakkam
113,Pallavaram Children Medical Centre,"Pallavaram, Chennai",6.0,26.0,https://www.practo.com/chennai/hospital/pallavaram-children-medical-centre-pcmc-hospital-pallavaram-1
114,Be Well Hospital,"T Nagar, Chennai",11.0,15.0,https://www.practo.com/chennai/hospital/chennai-pain-centre-be-well-t-nagar
115,Cloudnine Hospital,"T Nagar, Chennai",33.0,150.0,https://www.practo.com/chennai/hospital/cloud-nine-hospital-tnagar
116,Prime Care Nursing Home,"Adambakkam, Chennai",1.0,6.0,https://www.practo.com/chennai/hospital/prime-care-nursing-home-adambakkam
117,K.F Hospital,"Nanganallur, Chennai",19.0,,https://www.practo.com/chennai/hospital/k-f-hospital-nanganallur-1
118,Soul Hospital,"Perambur, Chennai",3.0,,https://www.practo.com/chennai/hospital/soul-hospital-perambur
119,Dr.Agarwal's Eye Hospital - Velachery,"Velachery, Chennai",2.0,,https://www.practo.com/chennai/hospital/dr-agarwal-s-eye-hospital-velachery-velachery
120,Pavithra Hospital,"Kodungaiyur, Chennai",15.0,,https://www.practo.com/chennai/hospital/pavithra-hospital-kodungaiyur
121,Sri Sai Speciality Hospital,"Thirumullaivoyal, Chennai",13.0,,https://www.practo.com/chennai/hospital/sri-sai-speciality-hospital-thirumullaivoyal-1
122,K.V.T.Speciality Hospital,"Kodungaiyur, Chennai",12.0,,https://www.practo.com/chennai/hospital/k-v-t-speciality-hospital-kodungaiyur
123,Malligai Hospital,"Tondiarpet, Chennai",12.0,,https://www.practo.com/chennai/hospital/malligai-hospital-tondiarpet-1
124,Seethapathy Clinic & Hospital,"Royapettah, Chennai",8.0,,https://www.practo.com/chennai/hospital/seethapathy-clinic-hospital-royapettah-1
125,Appasamy Krishna Hospital,"Velachery, Chennai",2.0,10.0,https://www.practo.com/chennai/hospital/appasamy-krishna-hospital-velachery
126,Laksha Hospital,"Mylapore, Chennai",5.0,50.0,https://www.practo.com/chennai/hospital/laksha-hospital-mylapore
127,Vijayam Hospital and Fertility Centre,"Keelkattalai, Chennai",1.0,25.0,https://www.practo.com/chennai/hospital/vijayam-hospital-fertility-centre-kilkattalai
128,Sanjeevini Nursing Home,"Washermenpet, Chennai",2.0,,https://www.practo.com/chennai/hospital/dr-s-dhanalakshmi-washermenpet
129,Vasnthi Orthopedic Hospital,"Arumbakkam, Chennai",3.0,10.0,https://www.practo.com/chennai/hospital/vasnthi-orthopedic-hospital-arumbakkam
130,A.K. Hospital,"Aminjikarai, Chennai",7.0,20.0,https://www.practo.com/chennai/hospital/a-k-hospital-aminjikarai
131,A2Z  Pregnanacy Care,"Anna Nagar East, Chennai",1.0,15.0,https://www.practo.com/chennai/hospital/chennai-multi-speciality-clinic-anna-nagar-east
132,MV Hospital for Diabetes,"Adyar, Chennai",2.0,10.0,https://www.practo.com/chennai/hospital/mv-hospital-for-diabetes-mylapore
133,M R Hospital,"Aminjikarai, Chennai",9.0,,https://www.practo.com/chennai/hospital/m-r-hospital-aminjikarai-1
134,Ezhil Hospital,"Tondiarpet, Chennai",6.0,40.0,https://www.practo.com/chennai/hospital/ezhil-hospital-tondiarpet
135,Mohan Nursing Home,"Ayanavaram, Chennai",4.0,30.0,https://www.practo.com/chennai/hospital/mohan-nursing-home-villivakkam
136,Nirmals' Eye Hospital,"Tambaram West, Chennai",2.0,21.0,https://www.practo.com/chennai/hospital/nirmal-s-eye-care-hospital-tambaram-west
137,Je Nesam Hospital,"Ashok Nagar, Chennai",6.0,,https://www.practo.com/chennai/hospital/je-nesam-hospital-ashok-nagar
138,Bharani Hospital,"Saligramam, Chennai",12.0,,https://www.practo.com/chennai/hospital/bharani-hospital-saligramam-1
139,Shadithya Hospital,"Pallavaram, Chennai",3.0,,https://www.practo.com/chennai/hospital/shadithya-hospital-pallavaram-1
140,Pet Zone Speciality Hospital,"Alwarpet, Chennai",1.0,,https://www.practo.com/chennai/hospital/pet-zone-speciality-hospital-alwarpet
141,Bharathiraja Hospital,"T Nagar, Chennai",6.0,200.0,https://www.practo.com/chennai/hospital/bharathiraja-superspeciality-hospital-research-centre-t-nagar
142,Vasan Eye Care Hospital,"Saidapet, Chennai",3.0,10.0,https://www.practo.com/chennai/hospital/vasan-eye-care-hospital-saidapet-saidapet
143,Rajan Eye Care Hospital Pvt Ltd,"T Nagar, Chennai",14.0,30.0,https://www.practo.com/chennai/hospital/rajan-eye-care-hospital-t-nagar-1
144,Teja Hospital,"Ambattur, Chennai",3.0,30.0,https://www.practo.com/chennai/hospital/teja-hospital-ambattur
145,Dr. Agarwals Eye Hospital,"Cathedral Road, Chennai",21.0,,https://www.practo.com/chennai/hospital/dr-agarwals-eye-hospital-cathedral-road
146,Rohit Hospital,"Thiruvottiyur, Chennai",2.0,30.0,https://www.practo.com/chennai/hospital/rohit-hospital-thiruvottiyur
147,Shree Ayurvedic Multispeciality Hospital,"T Nagar, Chennai",6.0,10.0,https://www.practo.com/chennai/hospital/shree-ayurvedic-multispeciality-hospital-west-mambalam
148,C M Hospital,"Medavakkam, Chennai",2.0,8.0,https://www.practo.com/chennai/hospital/24-hours-c-m-hospital-medavakkam
149,Jyothi Siddha & Ayurveda Hospital,"Tambaram, Chennai",1.0,10.0,https://www.practo.com/chennai/hospital/jyothi-siddha-ayurveda-hospital-tambaram
150,Suraj Hospital,"Perumbakkam, Chennai",1.0,15.0,https://www.practo.com/chennai/hospital/suraj-hospital-perumbakkam
151,K M Multi Speciality Hospital,"Madhavaram, Chennai",5.0,,https://www.practo.com/chennai/hospital/k-m-multi-speciality-hospital-madhavaram
152,Kensington Hospital - Kilpauk,"Kilpauk, Chennai",4.0,3.0,https://www.practo.com/chennai/hospital/kensington-hospital-kilpauk-kilpauk
153,K M Hospital,"Kilpauk, Chennai",1.0,,https://www.practo.com/chennai/hospital/k-m-hospital-kilpauk-1
154,Memorial Hospital,"Adyar, Chennai",5.0,30.0,https://www.practo.com/chennai/hospital/kamakshi-memorial-hospital-adyar
155,Parvathy Hospital,"Chromepet, Chennai",10.0,50.0,https://www.practo.com/chennai/hospital/center-for-mind-tambaram-east-1
156,Xcellent Care Hospital,"Velachery, Chennai",2.0,50.0,https://www.practo.com/chennai/hospital/sreenivas-velachery
157,The 6th Sense Hospital,"Madipakkam, Chennai",6.0,,https://www.practo.com/chennai/hospital/the-6th-sense-hospital-nanganallur
158,Siva Subramaniam Hospital,"Kottivakkam, Chennai",52.0,,https://www.practo.com/chennai/hospital/siva-subramaniam-hospital-kottivakkam
159,Apollo Spectra Hospital,"Alwarpet, Chennai",2.0,24.0,https://www.practo.com/chennai/hospital/apollo-spectra-hospital-5-alwarpet
160,Swaram Hospital Navalur,"Navalur Place, Chennai",4.0,30.0,https://www.practo.com/chennai/hospital/swaram-hospital-navalur-place
161,Right Hospitals,"Kilpauk, Chennai",3.0,20.0,https://www.practo.com/chennai/hospital/right-hospitals-kilpauk-1
162,Anand Hospital - Manali,"Manali, Chennai",1.0,40.0,https://www.practo.com/chennai/hospital/anand-hospital-manali-manali
163,Christudas Hospital,"Tambaram East, Chennai",9.0,15.0,https://www.practo.com/chennai/hospital/christudas-hospital-tambaram-east-1
164,Shifa Hospital & research centre,"Triplicane, Chennai",23.0,,https://www.practo.com/chennai/hospital/shifa-hospital-triplicane
165,Hande Hospital,"Shenoy Nagar, Chennai",7.0,20.0,https://www.practo.com/chennai/hospital/hande-hospital-shenoy-nagar
166,Sree Sai Krishna Hospital,"Kilpauk, Chennai",3.0,,https://www.practo.com/chennai/hospital/sree-sai-krishna-hospital-kilpauk
167,Das Nursing Home,"Pozhichalur, Chennai",3.0,30.0,https://www.practo.com/chennai/hospital/das-nursing-home-pozhichalur
168,Dr V Seshiah & Balaji Research Institute & Diabetes Care Centre,"Aminjikarai, Chennai",5.0,50.0,https://www.practo.com/chennai/hospital/dr-v-balaji-diabetes-care-centre-aminjikarai
169,Nagamani Hospital,"Washermenpet, Chennai",3.0,25.0,https://www.practo.com/chennai/hospital/nagamani-hospitals-washermenpet-1
170,GLB Hospitals,"Anna Nagar, Chennai",11.0,10.0,https://www.practo.com/chennai/hospital/glb-hospital-anna-nagar
171,Sri Chakra Multispeciality Hospital,"Nanganallur, Chennai",4.0,,https://www.practo.com/chennai/hospital/sri-chakra-multispeciality-hospital-nanganallur
172,K.M.Hospitals,"Kilpauk, Chennai",1.0,,https://www.practo.com/chennai/hospital/k-m-hospitals-kilpauk
173,PVR Dental Hospital,"Nanganallur, Chennai",2.0,1.0,https://www.practo.com/chennai/hospital/pvr-dental-hospital-nanganallur
174,N.S.Hospital,"Tambaram, Chennai",3.0,15.0,https://www.practo.com/chennai/hospital/n-s-hospital-tambaram-west-1-1
175,Vasan Eye Care Hospital,"Tambaram, Chennai",5.0,10.0,https://www.practo.com/chennai/hospital/vasan-eye-care-hospital-tambaram-tambaram-west
176,Dr. A.C Aruldas Hospital,"Perambur, Chennai",6.0,40.0,https://www.practo.com/chennai/hospital/dr-ac-aruldas-hospital-perambur
177,Hera Hospital,"Virugambakkam, Chennai",1.0,25.0,https://www.practo.com/chennai/hospital/hera-hospital-virugambakkam
178,G R Fertility Centre,"Adambakkam, Chennai",5.0,20.0,https://www.practo.com/chennai/hospital/g-r-hospital-adambakkam
179,Durgabai Deshmukh Hospital & Research Centre,"Raja Annamalai Puram, Chennai",52.0,,https://www.practo.com/chennai/hospital/durgabai-deshmukh-hospital-research-centre-raja-annamalai-puram
180,Apollo Speciality Hospitals,"OMR Road, Chennai",2.0,70.0,https://www.practo.com/chennai/hospital/apollo-speciality-hospitals-omr-road
181,Avm Medical ENT Research Foundation Hospital,"Mylapore, Chennai",9.0,25.0,https://www.practo.com/chennai/hospital/avm-medical-ent-research-foundation-pvt-ltd-mylapore
182,RK Nursing Home,"Chromepet, Chennai",4.0,10.0,https://www.practo.com/chennai/hospital/rajan-s-physio-clinic-chromepet-1
183,Sugam Hospital,"Thiruvottiyur, Chennai",3.0,100.0,https://www.practo.com/chennai/hospital/sugam-hospital-thiruvottiyur
184,M.M.Dental Care,"Alwarpet, Chennai",3.0,5.0,https://www.practo.com/chennai/hospital/mm-dental-care-alwarpet
185,A V Hospital,"Washermenpet, Chennai",31.0,35.0,https://www.practo.com/chennai/hospital/a-v-hospital-washermenpet
186,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",2.0,50.0,https://www.practo.com/chennai/hospital/vs-hospital-multispeciality-chetpet
187,F.O.R Ortho Hospital,"Kolathur, Chennai",1.0,,https://www.practo.com/chennai/hospital/for-ortho-hospital-kolathur-1
188,Sen Hospital,"Perambur, Chennai",2.0,,https://www.practo.com/chennai/hospital/sen-hospital-perambur-1
189,V Cure Hospital,"Velachery, Chennai",2.0,,https://www.practo.com/chennai/hospital/v-cure-hospital-velachery
190,Suman Hospital,"Thiruvottiyur, Chennai",2.0,5.0,https://www.practo.com/chennai/hospital/suman-hospital-1-thiruvottiyur
191,Hiba Hospital,"Triplicane, Chennai",8.0,15.0,https://www.practo.com/chennai/hospital/hiba-hospital-triplicane-1
192,Srinivas Eye Hospital,"Thiruvallur, Chennai",1.0,,https://www.practo.com/chennai/hospital/srinivas-eye-hospital-thiruvallur
193,St. Joseph multispeciality Dental Hospital,"Porur, Chennai",5.0,6.0,https://www.practo.com/chennai/hospital/st-joseph-hospital-porur-1
194,DRJ Hospital,"Kolathur, Chennai",4.0,75.0,https://www.practo.com/chennai/hospital/drj-hospital-kolathur
195,Deepam Eye Hospital,"Kilpauk, Chennai",9.0,,https://www.practo.com/chennai/hospital/deepam-eye-hospital-kilpauk
