,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
40,Smt B C J General Hospital ,"Santacruz West, Mumbai",32.0,,https://www.practo.com/mumbai/hospital/bcj-hospital-santacruz-west
41,Shree Krishna Hospital,"Borivali East, Mumbai",9.0,21.0,https://www.practo.com/mumbai/hospital/shree-krishna-hospital-borivali-east
42,Kohinoor Hospital,"Kurla West, Mumbai",1.0,175.0,https://www.practo.com/mumbai/hospital/kohinoor-hospital-kurla-west-2
43,Rani Shankar Hospital & Diabetic Centre,"Mira Road, Mumbai",7.0,15.0,https://www.practo.com/mumbai/hospital/rani-shankar-hospital-mira-road
44,Guru Nanak Hospital,"Bandra East, Mumbai",37.0,120.0,https://www.practo.com/mumbai/hospital/guru-nanak-hospital-bandra-east
45,Powai Polyclinic & Hospital,"Powai, Mumbai",10.0,30.0,https://www.practo.com/mumbai/hospital/powai-polyclinic-hospital-powai-1
46,Gokul Hospital,"Kandivali East, Mumbai",9.0,15.0,https://www.practo.com/mumbai/hospital/gokul-hospital-kandivali-west
47,Niron Hospital,"Santacruz East, Mumbai",22.0,50.0,https://www.practo.com/mumbai/hospital/dr-vaibhav-r-kubal-santacruz-east
48,Tata Memorial Hospital ,"Parel, Mumbai",14.0,,https://www.practo.com/mumbai/hospital/tata-memorial-hospital-parel-1-645224
49,Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,"Kandivali West, Mumbai",4.0,15.0,https://www.practo.com/mumbai/hospital/dr-jonwals-niramay-ayush-panchkarm-health-instituteresearch-kandivali-west
50,Hegde Hospital ,"Chembur, Mumbai",3.0,14.0,https://www.practo.com/mumbai/hospital/hegde-surgical-general-maternity-hospital-chembur-east
51,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39.0,100.0,https://www.practo.com/mumbai/hospital/criticare-multi-speciality-hospital-research-centre-andheri-west
52,Irla Nursing Home & Polyclinic,"Vileparle West, Mumbai",4.0,16.0,https://www.practo.com/mumbai/hospital/irla-nursing-home-vileparle-west
53,Shalom Medicare Pvt Ltd,"Bhayandar East, Mumbai",16.0,25.0,https://www.practo.com/mumbai/hospital/shalom-medicare-pvt-ltd-bhayandar-east
54,Shree Hospital,"Chembur, Mumbai",4.0,28.0,https://www.practo.com/mumbai/hospital/shree-hospital-chembur-chembur
55,Mukund Hospital,"Andheri East, Mumbai",8.0,,https://www.practo.com/mumbai/hospital/mukund-hospital-andheri-east
56,Endocrine and Diabetes Clinic,"Borivali West, Mumbai",3.0,20.0,https://www.practo.com/mumbai/hospital/mandapeshwar-hospital-and-nursing-home-borivali-west
57,Ankur Hospital,"Kandivali West, Mumbai",4.0,15.0,https://www.practo.com/mumbai/hospital/ankur-hospital-kandivali-west-1-668764
58,Mangal Anand Hospital,"Chembur, Mumbai",11.0,38.0,https://www.practo.com/mumbai/hospital/mangal-anand-hospital-chembur-1
59,Maruti Nursing Home,"Mulund East, Mumbai",4.0,15.0,https://www.practo.com/mumbai/hospital/maruti-nursing-home-mulund-east-1
60,Hira Mongi Navneet Hospital,"Mulund West, Mumbai",47.0,5.0,https://www.practo.com/mumbai/hospital/hira-mongi-navneet-hospital-mulund-west1
61,Narurkar ENT Hospital,"Chembur East, Mumbai",1.0,2.0,https://www.practo.com/mumbai/hospital/narurkar-ent-hospital-chembur-east
62,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224.0,900.0,https://www.practo.com/mumbai/hospital/bombay-hospital-medical-research-centre-marine-lines
63,New Sanjeevani Hospital,"Malad East, Mumbai",15.0,,https://www.practo.com/mumbai/hospital/sanjeevani-hospital-malad-malad
64,Saifee Hospital,"Charni Road, Mumbai",170.0,256.0,https://www.practo.com/mumbai/hospital/saifee-hospital-charni-road-2
65,Tandon Hospital,"Chembur East, Mumbai",4.0,11.0,https://www.practo.com/mumbai/hospital/tandon-hospital-chembur
66,Shakuntala Maternity Hospital,"Kandivali West, Mumbai",4.0,100.0,https://www.practo.com/mumbai/hospital/shakuntala-maternity-hospital-kandivali-west-1
67,Eye care centre,"Malad West, Mumbai",1.0,10.0,https://www.practo.com/mumbai/hospital/eye-care-centre-malad-west
68,Arogyam Hospital,"Kanjurmarg, Mumbai",2.0,15.0,https://www.practo.com/mumbai/hospital/arogyam-hospital-kanjurmarg-1
69,Sujay Hospital,"Vileparle West, Mumbai",21.0,50.0,https://www.practo.com/mumbai/hospital/sujay-hospital-vileparle-west
70,Ojas Eye Hospital,"Bandra West, Mumbai",4.0,25.0,https://www.practo.com/mumbai/hospital/ojas-eye-hospital-bandra-west
71,Kandivili Hitvardhak Mandal Hospital,"Kandivali West, Mumbai",13.0,,https://www.practo.com/mumbai/hospital/kandivili-hitvardhak-mandal-hospital-kandivali-west
72,S.R Mehta Hospital,"Sion East, Mumbai",37.0,,https://www.practo.com/mumbai/hospital/s-r-mehta-hospital-sion-east
73,Agarwal General Hospital & Polyclinic,"Malad East, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/agarwal-general-hospital-polyclinic-malad-east
74,DNA Multispeciality Hospital ,"Kandivali East, Mumbai",2.0,15.0,https://www.practo.com/mumbai/hospital/dna-multispeciality-hospital-kandivali-east-1
75,Aditya Jyot Eye Hospital,"Wadala, Mumbai",12.0,,https://www.practo.com/mumbai/hospital/aditya-jyot-eye-hospital-wadala
76,Dr Panchamiyas Hi Tech Orthopaedic And Surgical Hospital,"Kandivali West, Mumbai",7.0,,https://www.practo.com/mumbai/hospital/dr-panchamiyas-hi-tech-orthopaedic-and-surgical-hospital-kandivali-west
77,Dr Indu’s Newborn & Childcare Centre,"Andheri West, Mumbai",4.0,,https://www.practo.com/mumbai/hospital/dr-indus-new-born-child-care-centre-andheri-west
78,Janhvi Nursing Home Pvt Ltd.,"Malad West, Mumbai",6.0,15.0,https://www.practo.com/mumbai/hospital/janhvi-nursing-home-malad-west-1
79,Dr. Mendadkar's Children Hospital,"Kurla East, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/dr-mendadkar-s-children-hospital-nicu-picu-kurla-east
80,Satyam Hospital,"Ghatkopar West, Mumbai",11.0,,https://www.practo.com/mumbai/hospital/satyam-hospital-ghatkopar-west-1
81,Gokhale Eye Hospital,"Dadar West, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/ghokhale-eye-clinic-dadar-west
82,Lotus Eye Hospital's Trust,"Juhu, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/lotus-eye-hospital-s-trust-juhu
83,Life Care Hospital - Mira Road,"Mira Road, Mumbai",7.0,,https://www.practo.com/mumbai/hospital/life-care-hospital-mira-road-mira-road
84,Karuna Hospital,"Borivali West, Mumbai",25.0,50.0,https://www.practo.com/mumbai/hospital/karuna-hospital-borivali-west-1
85,Sanket Hospital,"Borivali West, Mumbai",2.0,9.0,https://www.practo.com/mumbai/hospital/sanket-hospital-borivali-west
86,Shree Samarth Nursing Home,"Matunga, Mumbai",2.0,18.0,https://www.practo.com/mumbai/hospital/shree-samarth-nursing-home-dadar-east
87,Khandelwal ENT Hospital,"Malad West, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/khandelwal-ent-general-hospital-polyclinic-malad-west
88,Womens Hospital,"Khar West, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/womens-hospital-bandra
89, Kulkarni Hospital & ICU,"Jogeshwari East, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/kulkarni-hospital-icu-jogeshwari-east
90,Dr. L.H.Hiranandani Hospital,"Powai, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/dr-l-h-hiranandani-hospital-powai-6
91,Diamond Hospital,"Jogeshwari West, Mumbai",5.0,20.0,https://www.practo.com/mumbai/hospital/diamond-hospital-jogeshwari
92,Mallika Hospital,"Jogeshwari West, Mumbai",3.0,30.0,https://www.practo.com/mumbai/hospital/mallika-hospital-jogeshwari-west
93,Anand Hospital,"Mira Road, Mumbai",2.0,15.0,https://www.practo.com/mumbai/hospital/anand-hospital-mira-road
94,Aashna Nursing Home,"Andheri, Mumbai",13.0,10.0,https://www.practo.com/mumbai/hospital/aashna-nursing-home-andheri
95,Sona Hospital And Medical Centre,"Santacruz East, Mumbai",17.0,15.0,https://www.practo.com/mumbai/hospital/sona-hospital-and-medical-centre-santacruz-east
96,Dr. Subodh Mehta Medical Center,"Khar West, Mumbai",22.0,,https://www.practo.com/mumbai/hospital/dr-subodh-mehta-medical-center-khar-west
97,Matrushri Hospital,"Kandivali West, Mumbai",5.0,,https://www.practo.com/mumbai/hospital/matrushri-hospital-kandivali-west
98,Seven Eleven Hospital,"Mira Road, Mumbai",22.0,150.0,https://www.practo.com/mumbai/hospital/seven-eleven-hospital-mira-road
99, Nagher Samaj Hospital,"Ghatkopar West, Mumbai",2.0,15.0,https://www.practo.com/mumbai/hospital/nagher-samaj-hospital-ghatkopar-west
100,Madhu Hospital,"Bhandup West, Mumbai",9.0,25.0,https://www.practo.com/mumbai/hospital/madhu-polyclinic-and-nursing-home-bhandup
101,Wockhardt Hospital,"Mumbai Central, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/wockhardt-hospitals-mulund-west
102,New Noor Hospital,"Kurla West, Mumbai",10.0,5.0,https://www.practo.com/mumbai/hospital/new-noor-hospital-kurla-west
103,Aryan Hospital & Medical Centre ,"Kurla East, Mumbai",19.0,,https://www.practo.com/mumbai/hospital/aryan-hospital-medical-centre-kurla-east
104,Prakash Jyot Hospital & I.C.C.U,"Govandi, Mumbai",3.0,20.0,https://www.practo.com/mumbai/hospital/kher-hospital-chembur
105,Holy Family Hospital,"Bandra West, Mumbai",28.0,,https://www.practo.com/mumbai/hospital/holy-family-hospital-bandra-west-674648
106,Phoenix Hospital,"Kandivali West, Mumbai",4.0,,https://www.practo.com/mumbai/hospital/phoenix-hospital-kandivali-west
107,Parel Hospital,"Parel, Mumbai",4.0,45.0,https://www.practo.com/mumbai/hospital/parel-hospital-parel-1
108,Shreeji Hospital,"Kandivali East, Mumbai",4.0,,https://www.practo.com/mumbai/hospital/shreeji-hospital-kandivali-east-1-678252
109,Jain Hospital,"Goregaon West, Mumbai",2.0,5.0,https://www.practo.com/mumbai/hospital/apex-hospital-borivali-west-2
110,Pooja Hospital & Polyclinic,"Goregaon West, Mumbai",7.0,,https://www.practo.com/mumbai/hospital/pooja-hospital-polyclinic-goregaon-west
111,Sneh Nursing Home,"Andheri, Mumbai",2.0,4.0,https://www.practo.com/mumbai/hospital/sneh-nursing-home-andheri-east-1
112,Shalyak Hospital,"Jogeshwari East, Mumbai",11.0,28.0,https://www.practo.com/mumbai/hospital/shalyak-hospital-jogeshwari-east
113,Sir H.N. Reliance Foundation Hospital & Research Centre,"Girgaon, Mumbai",48.0,345.0,https://www.practo.com/mumbai/hospital/sir-hn-reliance-foundation-hospital-girgaon-2
114,Farids Hospital ,"Mira Road, Mumbai",11.0,,https://www.practo.com/mumbai/hospital/farids-hospital-mira-road
115,Rushabh Hospital,"Chembur, Mumbai",1.0,10.0,https://www.practo.com/mumbai/hospital/dr-suresh-poojary-s-ent-clinic-chembur
116,Sushrut Hospital and Research Center,"Chembur East, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/sushrut-hospital-and-research-center-chembur
117,Sanghvi Hospital,"Andheri West, Mumbai",4.0,5.0,https://www.practo.com/mumbai/hospital/sanghvi-hospital-andheri-west
118,Cloudnine Hospital,"Malad West, Mumbai",48.0,,https://www.practo.com/mumbai/hospital/cloudnine-hospital-malad-1-malad-west
119,Asha Maternity And General Hospital,"Malad East, Mumbai",6.0,30.0,https://www.practo.com/mumbai/hospital/asha-maternity-general-hospital-malad-east-1
120,Inlaks General Hospital,"Chembur East, Mumbai",7.0,,https://www.practo.com/mumbai/hospital/inlaks-general-hospital-chembur-east
121,City Hospital-kurla,"Kurla West, Mumbai",2.0,50.0,https://www.practo.com/mumbai/hospital/city-hospital-kurla-kurla-west
122,Kokan Hospital,"Jogeshwari East, Mumbai",4.0,21.0,https://www.practo.com/mumbai/hospital/kokan-hospital-jogeshwari-east
123,Yashwant Maternity Hospital,"Vikhroli, Mumbai",3.0,,https://www.practo.com/mumbai/hospital/yashwant-maternity-hospital-vikhroli
124,Bakul Parekh Children's Hospital,"Ghatkopar East, Mumbai",2.0,50.0,https://www.practo.com/mumbai/hospital/bakul-parekh-children-s-hospital-ghatkopar-east
125,Prince Ali Khan Hospital,"Mazgaon, Mumbai",21.0,150.0,https://www.practo.com/mumbai/hospital/prince-aly-khan-hospital-mazgaon-2
126,H J Doshi Ghatkopar Hindu Sabha Hospital,"Ghatkopar West, Mumbai",6.0,,https://www.practo.com/mumbai/hospital/h-j-doshi-ghatkopar-hindu-sabha-hospital-ghatkopar-west
127,Medicare Hospital (Bone And Joint Center),"Andheri East, Mumbai",6.0,,https://www.practo.com/mumbai/hospital/orthopaedic-andheri
128,Dr. Yadav Hospital,"Nalasopara West, Mumbai",3.0,16.0,https://www.practo.com/mumbai/hospital/dr-yadav-hospital-nalasopara-west
129,Lifelline Hospital,"Goregaon East, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/lifelline-hospital-goregaon-east
130,Speciality ENT Hospital,"Kandivali East, Mumbai",5.0,4.0,https://www.practo.com/mumbai/hospital/speciality-ent-hospital-kandivali-east-1
131,Sunridges Speciality Hospital,"Vileparle West, Mumbai",2.0,30.0,https://www.practo.com/mumbai/hospital/sunridges-speciality-hospital-vileparle-west
132,Samartha Hospital,"Mira Road, Mumbai",2.0,10.0,https://www.practo.com/mumbai/hospital/samartha-hospital-mira-road-1-1
133,Pandya Surgical & Maternity Hospital,"Borivali, Mumbai",4.0,8.0,https://www.practo.com/mumbai/hospital/pandya-surgical-maternity-hospital-borivali-west
134,Benzer Nursing Home,"Andheri West, Mumbai",7.0,15.0,https://www.practo.com/mumbai/hospital/benzer-nursing-home-andheri-west
135,Purnima Hospital,"Borivali East, Mumbai",9.0,,https://www.practo.com/mumbai/hospital/purnimahospital-borivali-east-1
136,Samarth Hospital,"Vikhroli West, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/samarth-hospital-vikhroli-west-1
137,Excel ENT Hospital,"Ghatkopar East, Mumbai",2.0,3.0,https://www.practo.com/mumbai/hospital/excel-ent-hospital-ghatkopar-east-5
138,Tandon Multispeciality Eye Hospital,"Andheri West, Mumbai",7.0,,https://www.practo.com/mumbai/hospital/tandon-eye-hospital-andheri-west
139,Rukhmani Hospital,"Grant Road, Mumbai",16.0,,https://www.practo.com/mumbai/hospital/rukhmani-hospital-grant-road
140,Criticare Hospital,"Andheri East, Mumbai",1.0,100.0,https://www.practo.com/mumbai/hospital/criti-care-multi-speciality-hospital-and-research-centre-andheri-east
141,ARK Hospital,"Andheri West, Mumbai",9.0,20.0,https://www.practo.com/mumbai/hospital/ark-hospital-santacruz-west
142,Sai Baba Hospital,"Bhayandar East, Mumbai",5.0,34.0,https://www.practo.com/mumbai/hospital/sai-baba-hospital-2-bhayander-east
143,Lifeline Group of Hospitals,"Malad West, Mumbai",18.0,,https://www.practo.com/mumbai/hospital/lifeline-hospital-malad-west-1-1
144,Paramount General Hospital & I.C.C.U,"Andheri East, Mumbai",4.0,,https://www.practo.com/mumbai/hospital/paramount-general-hospital-i-c-c-u-andheri-east
145,Sunny Hospital,"Chembur, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/sunny-hospital-chembur
146,Bathia Hospital And Eye Clinic,"Borivali West, Mumbai",10.0,,https://www.practo.com/mumbai/hospital/bathia-hospital-and-eye-clinic-borivali-west-1
147,Maru Hospital,"Parel, Mumbai",33.0,20.0,https://www.practo.com/mumbai/hospital/maru-hospital-parel
148,Hinduja HealthCare Surgical Hospital,"Khar West, Mumbai",4.0,,https://www.practo.com/mumbai/hospital/hinduja-healthcare-surgical-hospital-khar-khar-west
149,Hitankshi Nursing Home,"Mira Road, Mumbai",6.0,15.0,https://www.practo.com/mumbai/hospital/hitankshi-nursing-home-mira-road
150,Thakur Hospital,"Dadar West, Mumbai",8.0,,https://www.practo.com/mumbai/hospital/thakur-hospital-dadar-west-2
151,Kapadia Multispeciality Hospital,"Goregaon West, Mumbai",1.0,30.0,https://www.practo.com/mumbai/hospital/kapadia-multispeciality-hospital-goregaon-west
152,Ashwini Accident Hospital,"Mahim, Mumbai",21.0,10.0,https://www.practo.com/mumbai/hospital/ashwinii-accident-hospital-mahim-1
153,Global Hospital,"Parel, Mumbai",3.0,200.0,https://www.practo.com/mumbai/hospital/jalpa-bhuta-clinic-dadar-east
154,Sanjeevanee Hospital,"Dadar East, Mumbai",2.0,15.0,https://www.practo.com/mumbai/hospital/sanjeevanee-hospital-dadar-east-1
155,Sobti Hospital,"Matunga, Mumbai",3.0,7.0,https://www.practo.com/mumbai/hospital/sobti-hospital-dadar-east-1
156,Worli Hospital For Women,"Worli, Mumbai",6.0,8.0,https://www.practo.com/mumbai/hospital/worli-hospital-for-women-worli-2
157,Kenia Eye Hospital,"Santacruz West, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/kenia-eye-hospital-santacruz-west
158,Ruby Hospital - A Venture of Arogyam Hospital,"Bhandup West, Mumbai",8.0,15.0,https://www.practo.com/mumbai/hospital/arogyam-hospital-ruby-hospital-bhandup-east
159,Atlantis Hospital,"Malad West, Mumbai",6.0,20.0,https://www.practo.com/mumbai/hospital/atlantis-hospital-malad-west
160, Abhinav Sushrut Hospital,"Dahisar East, Mumbai",12.0,,https://www.practo.com/mumbai/hospital/abhinav-sushrut-hospital-dahisar-east
161,Oscar Multispeciality Hospital,"Kandivali West, Mumbai",1.0,75.0,https://www.practo.com/mumbai/hospital/oscar-multispeciality-hospital-kandivali-west
162,Bagwe Hospital,"Ghatkopar West, Mumbai",7.0,10.0,https://www.practo.com/mumbai/hospital/bagwe-hospital-ghatkopar-west-1
163,Parakh Hospital,"Ghatkopar, Mumbai",1.0,80.0,https://www.practo.com/mumbai/hospital/parakh-hospital-ghatkopar
164,Arya Women's Hospital,"Kandivali West, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/aryawomens-health-care-centre-kandivali-west
165,Apex Multi Speciality Hospital ,"Sakinaka, Mumbai",2.0,18.0,https://www.practo.com/mumbai/hospital/apex-multi-speciality-hospital-andheri-east
166,Care & Cure Maternity And Nursing Home,"Powai, Mumbai",46.0,,https://www.practo.com/mumbai/hospital/care-cure-maternity-and-nursing-home-powai-1
167,SevenHills Hospital,"Andheri East, Mumbai",1.0,1500.0,https://www.practo.com/mumbai/hospital/sevenhills-hospital-8-andheri-east
168,Ashok Hospital,"Dahisar East, Mumbai",6.0,12.0,https://www.practo.com/mumbai/hospital/ashok-hospital-dahisar
169,Sitla Hospital,"Chembur, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/sitla-hospital-chembur
170,Prasanna Aarogya Hospital & ICU,"Mulund West, Mumbai",6.0,,https://www.practo.com/mumbai/hospital/prasanna-aarogya-hospital-icu-mulund-west-1
171,Zenith Hospital,"Malad, Mumbai",5.0,100.0,https://www.practo.com/mumbai/hospital/dr-abhidnyaa-s-skin-care-malad
172,Nimani Hospital,"Malad West, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/nimani-hospital-malad-west
173,Nihal Nursing Home,"Powai, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/nihal-nursing-home-powai-1
174,Spring Life IVF & Fertility Centre,"Parel, Mumbai",6.0,9.0,https://www.practo.com/mumbai/hospital/spring-ivf-parel
175,SAS Hospital,"Bhandup West, Mumbai",1.0,25.0,https://www.practo.com/mumbai/hospital/sas-hospital-bhandup-west
176,Mehta International Eye Institute,"Colaba, Mumbai",1.0,3.0,https://www.practo.com/mumbai/hospital/prof-dr-keiki-r-mehta-colaba
177,Masrani Hospital For Women,"Andheri, Mumbai",19.0,15.0,https://www.practo.com/mumbai/hospital/masrani-hospital-for-women-mimas-andheri-west
178,Surana Sethia Hospital and Research Center,"Chembur, Mumbai",5.0,75.0,https://www.practo.com/mumbai/hospital/surana-sethia-hospital-and-research-centre-chembur-chembur
179,Dhanwantari Hospital and Research Centre,"Shivaji Park, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/dhanwantari-hospital-and-research-centre-shivaji-park
180,Shah Nursing Home ,"Matunga, Mumbai",1.0,8.0,https://www.practo.com/mumbai/hospital/shah-nursing-home-matunga
181,Swastik Nursing Home,"Ghatkopar West, Mumbai",2.0,10.0,https://www.practo.com/mumbai/hospital/swastic-nursing-home-ghatkopar-west
182,Dr. Farid's Hospital,"Mira Road, Mumbai",1.0,15.0,https://www.practo.com/mumbai/hospital/dr-farid-s-hospital-mira-road
183,Dr LH Hiranandani Hospital,"Powai, Mumbai",3.0,,https://www.practo.com/mumbai/hospital/dr-lh-hiranandani-hospital-powai
184,Kiran Care & Cure Hospital,"Andheri East, Mumbai",6.0,,https://www.practo.com/mumbai/hospital/kiran-care-cure-hospital-andheri-east
185,SMT Laxmiben Dharmshi Karsn Gala Eye Hospital ,"Vileparle East, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/smt-laxmiben-dharmshi-karsn-gala-eye-hospital-vileparle-east
186,Parekh Eye Hospital,"Bandra, Mumbai",3.0,3.0,https://www.practo.com/mumbai/hospital/parekh-eye-hospital-bandra-west-1
187,Surana Hospital,"Bhayandar, Mumbai",12.0,15.0,https://www.practo.com/mumbai/hospital/surana-hospital-bhayandar-east
188,Somaiya Hospital,"Sion East, Mumbai",17.0,,https://www.practo.com/mumbai/hospital/somaiya-hospital-sion-east
189,Pikale Hospital,"Mahim, Mumbai",4.0,10.0,https://www.practo.com/mumbai/hospital/pikale-hospital-mahim
190,Eye Solutions - The complete eye hospital,"Cumballa Hill, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/eye-solutions-cumballa-hill
191,Kirti Nursing Home,"Kandivali West, Mumbai",1.0,,https://www.practo.com/mumbai/hospital/kirti-nursing-home-kandivali-west
192,Jeevan Maternity & General Hospital,"Malad East, Mumbai",5.0,30.0,https://www.practo.com/mumbai/hospital/jeevan-maternity-general-hospital-malad-east
