EXEC_ID,HOSPITAL NAME,EXECUTIVE NAME,POSITION,AGE
36,"Max Hospital, pitampura, Delhi",analjit singh,Group Founder and Group Chairman Emeritus,
37,Tirath Ram Shah Hospital,anand prakash,Executive Trustee,
38,Pristine Hospital,ananth kishan,Director,
39,"Max Hospital, pitampura, Delhi",andre meyer,Member of the Board of Directors,
39,"Max Super Speciality Hospital, Saket, Delhi",andre meyer,Member of the Board of Directors,
39,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",andre meyer,Member of the Board of Directors,
40,Sir Ganga Ram Hospital,anil arora,Member,
41,K M Speciality & Pediatric Care,anil bhagwan desai,Director,
42,Kailash Deepak Memorial Hospital,anil gurnani,Group Director Critical Care,
42,Kailash Hospital,anil gurnani,Group Director Critical Care,
43,"Balaji Action Medical Institute, Delhi",anil kumar agarwal,Member,
44,AMRI Hospital,anil kumar mallawat,Wholetime Director,
44,Amri Hospitals,anil kumar mallawat,Director,
45,Jivraj Mehta Smarak Health Foundation,anilbhai bakeri,President,
46,"Jaipur Golden Hospital, Delhi",anita khanna,Trustee,
47,Kalra Hospital,ankit kalra,Director,
48,Kalra Hospital,ankur kalra,Director,
49,Madras Medical Mission Hospital,annamma chacko,,
50,Madras Medical Mission Hospital,anu varghese,,
51,"Holy Spirit Hospital, Andheri East, Mumbai",anuja sinha,Asst. Medical Director,
52,"Cloudnine Hospital, Chennai",arvind kasaragod,Director of Medical Serivces,
53,AMRI Hospital,ashish goenka,Wholetime Director,
53,Amri Hospitals,ashish goenka,Director,
54,Sir Ganga Ram Hospital,ashok chandra,Chairman,
55,Maharaja Agrasen Hospital,ashok garg,Secretary (Dwarka),
56,Maharaja Agrasen Hospital,ashok goyal,Member Control Board,
57,Jivraj Mehta Smarak Health Foundation,asitbhai n. somani,,
58,"Jaipur Golden Hospital, Delhi",atul bahri,Trustee,
59,"Jaipur Golden Hospital, Delhi",avtar singh,Trustee,
60,Masina Hospital,b. h. antia,Trustee,
61,BBR Super Speciality Hospital,b. janaki,,
62,BBR Super Speciality Hospital,b. keshava rao,,
63,Surya Mother & Child Super Speciality Hospital,b. s. avasthi,Managing Director,
64,BBR Super Speciality Hospital,b. sandeep,,
65,"Care Hospitals, Hyderabad",b. soma raju,Chairman & Managing Director,
66,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",b. venkataraman,Non Executive Director & Independent Director,
67,BBR Super Speciality Hospital,b. vipin,,
68,Sir Ganga Ram Hospital,b.k. vohra,Member,
69,Sir Ganga Ram Hospital,b.k.rao,Member,
70,"Balaji Action Medical Institute, Delhi",b.p. jain,Member,
71,Aster Prime Hospitals,b.s.v.raju,Director,
72,Madras Medical Mission Hospital,babu daniel,,
73,Pristine Hospital,balachandra vasanthaiah,Director,
74,Maharaja Agrasen Hospital,banarsi dass gupta,Secretary (Bahadurgarh),
75,"Hindustan Health Point, Kolkata",basant kumar sethia,Director,
76,"Holy Spirit Hospital, Andheri East, Mumbai",beena,Asst. Executive Director,
77,Jivraj Mehta Smarak Health Foundation,bhagwandas c. kshatriya,,
78,Bombay Hospital & Medical Research Centre,bharat kumar taparia,Chairman Trustee,
79,Jivraj Mehta Smarak Health Foundation,bharatbhai c. kshatriya,,
80,Metro Hospital and Cancer Institute,bhaskar,Secretary Chairman,
81,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",bhaskara rao bollineni,Managing Director,
82,Omega Hospital,bhasker bappal,Director,
83,Jivraj Mehta Smarak Health Foundation,bimalbhai d. parkih,,
84,Jivraj Mehta Smarak Health Foundation,bipinbhai s. bhagat,,
85,"KIMS Hospital, Hyderabad",bollineni abhinay,Director,
86,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",bollineni krishnaiah,Director,
87,Ruby Hall Clinic,bomi russi bhote,Director,
88,"S L Raheja Fortis Hospital, Mumbai",brian w tempest,,
88,"Fortis Malar Hospital, Adyar, Chennai",brian w tempest,,
88,"Fortis Hospital, Vasant Kunj, Delhi",brian w tempest,,
88,"Fortis Hospital, Mulund West, Mumbai",brian w tempest,,
88,"Fortis Escorts, Okhla, Delhi",brian w tempest,,
88,"Fortis Hospital, Shalimar Bagh, Delhi",brian w tempest,,
89,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",c kishanlal kothari,Secretary,
90,Sir Ganga Ram Hospital,c. s. agrawal,Member,
91,"Apollo Hospital, Chennai",c. sreethar,Chief Executive Officer of Apollo Pharmacy,57
91,"Apollo Hospitals, Hyderabad",c. sreethar,Chief Executive Officer of Apollo Pharmacy,57
91,"Apollo Hospital, Bannerghatta Road, Bangalore",c. sreethar,Chief Executive Officer of Apollo Pharmacy,57
92,Aster Prime Hospitals,c.raghu,Director,
93,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",champalal bhandari,Joint Secretary,
94,K M Speciality & Pediatric Care,channappa virupaksh mahajan,Director,
95,Sahyadri Speciality Hospital,charudutt apte,Chairman & Managing Director,
96,"Sahyadri Hospitals, Deccan Gymkhana, Pune",charudutta achyut apte,Managing Director,
97,"KIMS Hospital, Hyderabad",chebrolu harini,Director,
98,Madras Medical Mission Hospital,cherian abraham,Hon. Secretary,
99,K M Speciality & Pediatric Care,chinmay chandrashekhar wingkar,Director,
100,Apollo Hospital- Tondiarpet,sanjay nayar,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,vinayak chatterjee,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,t. rajgopal,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,k. hariprasad,President of Hospitals Division,
100,Apollo Hospital- Tondiarpet,c. sreethar,Chief Executive Officer of Apollo Pharmacy,
100,Apollo Hospital- Tondiarpet,v. satyanarayana reddy,Chief Executive Officer of Chennai Division,
100,Apollo Hospital- Tondiarpet,krishnan akhileswaran,Chief Financial Officer,
100,Apollo Hospital- Tondiarpet,sindoori reddy,Vice President of Operations,
100,Apollo Hospital- Tondiarpet,ganeshan venkatraman,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,prathap chandra reddy,Founder and Chairman,
100,Apollo Hospital- Tondiarpet,krishnaswami padmanabhan,Group President,
100,Apollo Hospital- Tondiarpet,sangita reddy,Joint Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,suneeta reddy,Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,
100,Apollo Hospital- Tondiarpet,habibullah badsha,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,p. b. ramamoorthy,Chief Operating Officer of Pharmacy,
100,Apollo Hospital- Tondiarpet,narayanan vaghul,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,deepak vaidya,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,raj menon,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
100,Apollo Hospital- Tondiarpet,p. reddy,Executive Vice-Chairperson,
100,Apollo Hospital- Tondiarpet,sangita reddy,Joint Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,suneeta reddy,Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,prathap reddy,Founder and Chairman,
100,Apollo Hospital- Tondiarpet,s. k. venkataraman,Chief Strategy Officer,
100,Apollo Hospital- Tondiarpet,p. preetha reddy,Executive Vice-Chairperson,
100,Apollo Hospital- Tondiarpet,g. narotham reddy,Senior Vice President of Materials,
100,Apollo Hospital- Tondiarpet,t. rajgopal,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,k. prabhakar,Chief Learning Officer,
100,Apollo Hospital- Tondiarpet,m. k. mani,Chief of Nephrologist,
100,Apollo Hospital- Tondiarpet,rafeeque ahamed,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,vinayak chatterjee,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,s. k. venkataraman,Chief Strategy Officer,
100,Apollo Hospital- Tondiarpet,ganeshan venkatraman,Member of the Board of Directors,
100,Sir Ganga Ram Hospital,cmdalbir singh,Head Maintenance,
100,Apollo Hospital- Tondiarpet,suneeta reddy,Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,sangita reddy,Joint Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,krishnaswami padmanabhan,Group President,
100,Apollo Hospital- Tondiarpet,prathap chandra reddy,Founder and Chairman,
100,Apollo Hospital- Tondiarpet,krishnan akhileswaran,Chief Financial Officer,
100,Apollo Hospital- Tondiarpet,sindoori reddy,Vice President of Operations,
100,Apollo Hospital- Tondiarpet,rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,
100,Apollo Hospital- Tondiarpet,v. satyanarayana reddy,Chief Executive Officer of Chennai Division,
100,Apollo Hospital- Tondiarpet,c. sreethar,Chief Executive Officer of Apollo Pharmacy,
100,Apollo Hospital- Tondiarpet,k. hariprasad,President of Hospitals Division,
100,Apollo Hospital- Tondiarpet,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
100,Apollo Hospital- Tondiarpet,s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",
100,Apollo Hospital- Tondiarpet,sanjay nayar,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,m. k. mani,Chief of Nephrologist,
100,Apollo Hospital- Tondiarpet,p. b. ramamoorthy,Chief Operating Officer of Pharmacy,
100,Apollo Hospital- Tondiarpet,habibullah badsha,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,rafeeque ahamed,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,narayanan vaghul,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,deepak vaidya,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,raj menon,Member of the Board of Directors,
100,Apollo Hospital- Tondiarpet,k. prabhakar,Chief Learning Officer,
100,Apollo Hospital- Tondiarpet,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
100,Apollo Hospital- Tondiarpet,sangita reddy,Joint Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,suneeta reddy,Managing Director and Executive Director,
100,Apollo Hospital- Tondiarpet,prathap reddy,Founder and Chairman,
100,Apollo Hospital- Tondiarpet,s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",
100,Apollo Hospital- Tondiarpet,p. preetha reddy,Executive Vice-Chairperson,
100,Apollo Hospital- Tondiarpet,g. narotham reddy,Senior Vice President of Materials,
100,Apollo Hospital- Tondiarpet,p. reddy,Executive Vice-Chairperson,
100,Apollo Hospital- Tondiarpet,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
101,Sir Ganga Ram Hospital,col. m. s. jaswal,Addl. Director Administration,
102,"Hindu Mission Hospital, Chennai",d k hari,Member,
103,"Hindu Mission Hospital, Chennai",d k srinivasan,Secretary,
104,Tirath Ram Shah Hospital,d. g. jain,Trustee,
105,Felix Hospital,d. k . gupta,Director,
106,"Holy Spirit Hospital, Andheri East, Mumbai",d. k. khanna,Medical Director,
107,Kailash Deepak Memorial Hospital,d. s. gambhir,Group Director Cardiology,
107,Kailash Hospital,d. s. gambhir,Group Director Cardiology,
108,Sir Ganga Ram Hospital,d.s.rana,Member,
108,Sir Ganga Ram Hospital,d.s.rana,Chairman,
109,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",dandamudi anitha,Wholetime Director,
110,Jaslok Hospital,dayal d chanrai,Trustee,
111,"Billroth Hospitals, Chennai",deenadayalan gopi,Director,
112,Sahyadri Speciality Hospital,deepa divekar,Director of Research & Academics,
113,Sir Ganga Ram Hospital,deepak golani,Sr. Manager Marketing,
114,"Criti Care Multi Speciality Hospital & Research Centre, Andheri West, Mumbai",deepak j. namjoshi,Director,
115,Apollo Gleneagles Hospitals,vinayak chatterjee,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,suneeta reddy,Managing Director and Executive Director,
115,Apollo Gleneagles Hospitals,sangita reddy,Joint Managing Director and Executive Director,
115,Apollo Gleneagles Hospitals,p. reddy,Executive Vice-Chairperson,
115,Apollo Gleneagles Hospitals,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
115,Apollo Gleneagles Hospitals,raj menon,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,deepak vaidya,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,narayanan vaghul,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,rafeeque ahamed,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,habibullah badsha,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,ganeshan venkatraman,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,sanjay nayar,Member of the Board of Directors,
115,Apollo Gleneagles Hospitals,prathap reddy,Founder and Chairman,
115,Apollo Gleneagles Hospitals,s. k. venkataraman,Chief Strategy Officer,
115,Apollo Gleneagles Hospitals,g. narotham reddy,Senior Vice President of Materials,
115,Bombay Hospital & Medical Research Centre,deepak parekh,Trustee,
115,Apollo Gleneagles Hospitals,p. b. ramamoorthy,Chief Operating Officer of Pharmacy,
115,Apollo Gleneagles Hospitals,k. prabhakar,Chief Learning Officer,
115,Apollo Gleneagles Hospitals,m. k. mani,Chief of Nephrologist,
115,Apollo Gleneagles Hospitals,s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",
115,Apollo Gleneagles Hospitals,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
115,Apollo Gleneagles Hospitals,k. hariprasad,President of Hospitals Division,
115,Apollo Gleneagles Hospitals,c. sreethar,Chief Executive Officer of Apollo Pharmacy,
115,Apollo Gleneagles Hospitals,v. satyanarayana reddy,Chief Executive Officer of Chennai Division,
115,Apollo Gleneagles Hospitals,rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,
115,Apollo Gleneagles Hospitals,sindoori reddy,Vice President of Operations,
115,Apollo Gleneagles Hospitals,krishnan akhileswaran,Chief Financial Officer,
115,Apollo Gleneagles Hospitals,p. preetha reddy,Executive Vice-Chairperson,
115,Apollo Gleneagles Hospitals,prathap chandra reddy,Founder and Chairman,
115,Apollo Gleneagles Hospitals,sangita reddy,Joint Managing Director and Executive Director,
115,Apollo Gleneagles Hospitals,suneeta reddy,Managing Director and Executive Director,
115,Apollo Gleneagles Hospitals,krishnaswami padmanabhan,Group President,
115,Apollo Gleneagles Hospitals,t. rajgopal,Member of the Board of Directors,
116,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",deepak vaidya,Non Executive Director & Independent Director,
117,"Apollo Hospital, Bannerghatta Road, Bangalore",deepak vaidya,Member of the Board of Directors,71
117,"Apollo Hospitals, Hyderabad",deepak vaidya,Member of the Board of Directors,71
117,"Apollo Hospital, Chennai",deepak vaidya,Member of the Board of Directors,71
118,"Balaji Action Medical Institute, Delhi",deepika singhal,Member,
119,Jivraj Mehta Smarak Health Foundation,devanbhai vipinbhai parikh,,
120,Jivraj Mehta Smarak Health Foundation,dhirajbhai m. mehta,,
121,Tirath Ram Shah Hospital,dhruv m. sawhney,Chairman,
122,"Noble Hospital, Hadapsur, Pune",dileep nagesh mane,Managing Director,
123,"Hindustan Health Point, Kolkata",dilip kumar bhattacharyya,Additional Director,
124,Jivraj Mehta Smarak Health Foundation,dipakbhai g. patel,,
125,"Global Hospital,Chennai",dr k. ravindranath,Founder & Chairman,
126,"Global Hospital,Chennai",dr lim suet wun,Group Chief Operating Officer,
127,Omni Hospitals,dr m. gautham reddy,Director,
128,"Global Hospital,Chennai",dr pruthvinath kancherl,Chairman,
129,Apollo Specilaity Cancer Hospital,g. narotham reddy,Senior Vice President of Materials,
129,Apollo Specilaity Cancer Hospital,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
129,Apollo Specilaity Cancer Hospital,raj menon,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,deepak vaidya,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,p. preetha reddy,Executive Vice-Chairperson,
129,Apollo Specilaity Cancer Hospital,rafeeque ahamed,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,sanjay nayar,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,ganeshan venkatraman,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,p. reddy,Executive Vice-Chairperson,
129,Apollo Specilaity Cancer Hospital,vinayak chatterjee,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,t. rajgopal,Member of the Board of Directors,
129,Omni Hospitals,dr radha krishna,Director,
129,Apollo Specilaity Cancer Hospital,habibullah badsha,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,sangita reddy,Joint Managing Director and Executive Director,
129,Apollo Specilaity Cancer Hospital,narayanan vaghul,Member of the Board of Directors,
129,Apollo Specilaity Cancer Hospital,prathap reddy,Founder and Chairman,
129,Apollo Specilaity Cancer Hospital,k. hariprasad,President of Hospitals Division,
129,Apollo Specilaity Cancer Hospital,shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,
129,Apollo Specilaity Cancer Hospital,s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",
129,Apollo Specilaity Cancer Hospital,suneeta reddy,Managing Director and Executive Director,
129,Apollo Specilaity Cancer Hospital,m. k. mani,Chief of Nephrologist,
129,Apollo Specilaity Cancer Hospital,k. prabhakar,Chief Learning Officer,
129,Apollo Specilaity Cancer Hospital,p. b. ramamoorthy,Chief Operating Officer of Pharmacy,
129,Apollo Specilaity Cancer Hospital,v. satyanarayana reddy,Chief Executive Officer of Chennai Division,
129,Apollo Specilaity Cancer Hospital,c. sreethar,Chief Executive Officer of Apollo Pharmacy,
129,Apollo Specilaity Cancer Hospital,sindoori reddy,Vice President of Operations,
129,Apollo Specilaity Cancer Hospital,krishnan akhileswaran,Chief Financial Officer,
129,Apollo Specilaity Cancer Hospital,prathap chandra reddy,Founder and Chairman,
129,Apollo Specilaity Cancer Hospital,krishnaswami padmanabhan,Group President,
129,Apollo Specilaity Cancer Hospital,sangita reddy,Joint Managing Director and Executive Director,
129,Apollo Specilaity Cancer Hospital,suneeta reddy,Managing Director and Executive Director,
129,Apollo Specilaity Cancer Hospital,s. k. venkataraman,Chief Strategy Officer,
129,Apollo Specilaity Cancer Hospital,rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,
130,"Global Hospital,Chennai",dr tan see leng,"Managing Director, Chief Executive Officer",
131,Omni Hospitals,dr ved prakash,Director,
132,Omni Hospitals,dr y. sandeep reddy,Director,
133,Fortis Hospital,harpal singh,Chairman,
133,Fortis Hospital,p. s. joshi,,
133,Fortis Hospital,brian w tempest,,
133,Fortis Hospital,sunil godhwani,Director,
133,Fortis Hospital,shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
133,Fortis Hospital,malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
133,Fortis Hospital,joji sekhon gill,,
133,Fortis Hospital,pradeep ratilal raniga,,
133,Fortis Hospital,shradha suri marwah,,
133,Madras Medical Mission Hospital,e. john thomas,,
134,Omni Hospitals,e. venkat ramana reddy,Director,
135,Kailash Hospital,e.o. mariamma,Group Nursing Supreintendent,
135,Kailash Deepak Memorial Hospital,e.o. mariamma,Group Nursing Supreintendent,
136,Sir Ganga Ram Hospital,ekta gupta,Senior Finance Executive,
137,Omega Hospital,errol rohan pinto,Director,
138,Masina Hospital,f. p. sarkari,Trustee,
139,"Holy Spirit Hospital, Andheri East, Mumbai",felcy,Nursing Director,
140,Jivraj Mehta Smarak Health Foundation,firdoshbai cambatta,,
141,"Max Super Speciality Hospital, Saket, Delhi",francois theron,Member of the Board of Directors,
141,"Max Hospital, pitampura, Delhi",francois theron,Member of the Board of Directors,
141,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",francois theron,Member of the Board of Directors,
142,"Hindu Mission Hospital, Chennai",g padmanabhan,Member,
143,MyCure Hospital - Jagdamba Junction,g. anil krishna,,
144,"Yashoda Hospital, Hyderabad",g. devender rao,Director,
145,Prashanth Superspeciality Hospital,g. gopalaswamy,Managing Director,
146,"Apollo Hospital, Bannerghatta Road, Bangalore",g. narotham reddy,Senior Vice President of Materials,56
146,"Apollo Hospitals, Hyderabad",g. narotham reddy,Senior Vice President of Materials,56
146,"Apollo Hospital, Chennai",g. narotham reddy,Senior Vice President of Materials,56
147,Bombay Hospital & Medical Research Centre,"g. p. sharma,",Manager,
148,"Yashoda Hospital, Hyderabad",g. ravender rao,Chairman,
149,Aster Prime Hospitals,g. satish reddy,Managing Director,
150,"Yashoda Hospital, Hyderabad",g. surender rao,Managing Director,
151,Kauvery Hospitals,ganapathy achappa machangada,Managing Director,
152,"Apollo Hospitals, Hyderabad",ganeshan venkatraman,Member of the Board of Directors,72
152,"Apollo Hospital, Bannerghatta Road, Bangalore",ganeshan venkatraman,Member of the Board of Directors,72
152,"Apollo Hospital, Chennai",ganeshan venkatraman,Member of the Board of Directors,72
153,"Jaipur Golden Hospital, Delhi",gautam bahri,Trustee,
154,Metro Multispeciality Hospital,geddam nirmala,Director,
154,RLKC Hospital & Metro Heart Institute,geddam nirmala,Director,
155,Tirath Ram Shah Hospital,geeta rajpal,Trustee,
156,Prashanth Superspeciality Hospital,geetha haripriya,Chairperson,
157,"Billroth Hospitals, Chennai",govindaraj ramakrishnan,Director,
158,Pristine Hospital,guhanandhan laxminarayan,Director,
159,"Jaipur Golden Hospital, Delhi",gurpreet malik,Trustee,
160,"KIMS Hospital, Hyderabad",gurram lokamanya paniraj,Director,
161,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",gustad daver,Medical Director and HOD Surgery,
162,Masina Hospital,h. a. katgara,Managing Trustee,
163,"Mata Chanan Devi Hospital, Janaki Pura, Delhi","h. l. kumar, advocate",Member,
164,"Jaipur Golden Hospital, Delhi",h. s. rahi,Trustee,
165,Madras Medical Mission Hospital,h.g. yuhanon mar diascoros,President,
166,"Balaji Action Medical Institute, Delhi",h.k. agarwal,Member,
167,"Apollo Hospital, Chennai",habibullah badsha,Member of the Board of Directors,83
167,"Apollo Hospitals, Hyderabad",habibullah badsha,Member of the Board of Directors,83
167,"Apollo Hospital, Bannerghatta Road, Bangalore",habibullah badsha,Member of the Board of Directors,83
168,"Venkateshwar Hospital, Dwarka Delhi",hafiz ali ullatt,Managing Director,
169,Pristine Hospital,halgere mallikarjuna prasanna,Director,
170,"Noble Hospital, Hadapsur, Pune",hanamant kashinath sale,Director,
171,"Fortis Escorts, Okhla, Delhi",harpal singh,Chairman,
171,"Fortis Malar Hospital, Adyar, Chennai",harpal singh,Chairman,
171,"Fortis Hospital, Shalimar Bagh, Delhi",harpal singh,Chairman,
171,"Fortis Hospital, Mulund West, Mumbai",harpal singh,Chairman,
171,"S L Raheja Fortis Hospital, Mumbai",harpal singh,Chairman,
171,"Fortis Hospital, Vasant Kunj, Delhi",harpal singh,Chairman,
172,Bombay Hospital & Medical Research Centre,harsh v lodha,Trustee,
173,Sir Ganga Ram Hospital,harsha jauhari,Member,
174,K M Speciality & Pediatric Care,harshali amar patil,Director,
175,"Manipal Hospital, Bangalore",hebri sudarshan ballal,Director,
175,"Manipal Hospital, Vidyanagar, Jaipur",hebri sudarshan ballal,Director,
176,Sir Ganga Ram Hospital,hema siddartha chand,Honorary Treasurer,
177,"Jaipur Golden Hospital, Delhi",inder lal bahri,Trustee,
178,"Jaipur Golden Hospital, Delhi",inderjeet chawla,Trustee,
179,Sir Ganga Ram Hospital,indrani ganguli,Member,
180,Kailash Hospital,indu bansal,Clinical Coordination,
180,Kailash Deepak Memorial Hospital,indu bansal,Clinical Coordination,
181,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",j phoolchand jain,President,
182,"Jaipur Golden Hospital, Delhi",j. l. khanna,Director,
183,Maharaja Agrasen Hospital,j.d. gupta,Secretary (Trust),
184,Sir Ganga Ram Hospital,j.p.s. sawhney,Member,
185,Madras Medical Mission Hospital,jacob kurien,,
186,Columbia Asia Hospital,jagannath mudumbi selvanarayan,Casual Vacancy Director,
186,"Columbia Asia Hospital, Whitefield, Bangalore",jagannath mudumbi selvanarayan,Casual Vacancy Director,
186,Columbia Asia Hospitals,jagannath mudumbi selvanarayan,Casual Vacancy Director,
187,Jivraj Mehta Smarak Health Foundation,jagatbhai viplavbhai patel,,
188,Aakash Health Care,jagdish chand chaudhry,Director,
189,Jaslok Hospital,jagdish chanrai,Trustee,
190,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",jaideep gupta,Managing Director,
191,Pristine Hospital,jaiyamahadevprasad manjunath,Director,
192,Vikram Hospital,javali sudhir pai,Executive Director & CEO,
193,Omega Hospital,jayakrishnan aylliath gosalkkal,Director,
