,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
21,Dr. Samhita Panda,22.0,MBBS MD - General Medicine Diploma in Sleep Medicine ,Somnologist(SleepSpecialist),Sir Ganga Ram Hospital
22,Dr. Neeraj Jain,16.0,DNB - Rheumatology MBBS ,Rheumatologist,Sir Ganga Ram Hospital
23,Dr. Vipin Kumar Tyagi,12.0,MBBS DNB MS - Urology ,Urologist,Sir Ganga Ram Hospital
24,Dr. J M Wadhawan,17.0,MBBS MD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
25,Dr. Savitar Malhotra,11.0,MBBS MD - Anaesthesiology ,Anesthesiologist,Sir Ganga Ram Hospital
26,Dr. Anita Mahajan,33.0,MBBS MD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
27,Dr. Rajesh Goyal,13.0,MBBS MD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
28,Dr. Mahindra Singh Baansal,31.0,MBBS Diploma in Anesthesiology ,Anesthesiologist,Sir Ganga Ram Hospital
29,Dr. Rajiv Mehta,13.0,MBBS MD - Psychiatry ,"Psychiatrist,AddictionPsychiatrist,GeriatricPsychiatrist",Sir Ganga Ram Hospital
30,Dr. Arti Anand,18.0,M.Phil - Psychology PhD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
31,Dr. Manish Kohli,12.0,MBBS Diploma in Anesthesiology ,Anesthesiologist,Sir Ganga Ram Hospital
32,Dr. Naresh Bansal,14.0,MBBS DNB - Gastroenterology MD - General Medicine ,Gastroenterologist,Sir Ganga Ram Hospital
33,Dr. Indrani Ganguli,36.0,MBBS FIMSA FICMCH ,Gynecologist/Obstetrician,Sir Ganga Ram Hospital
34,Dr. V. Kumar,35.0,MBBS MD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
35,Dr. Suresh Gupta,62.0,MBBS MS - General Surgery ,GeneralSurgeon,Sir Ganga Ram Hospital
36,Dr. Anubhav Gupta,9.0,MBBS MS - General Surgery MCh - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
37,Dr. S.S. Saha,38.0,MS - General Surgery MBBS MCh - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
38,Dr. Harbansh Lal,34.0,MBBS MS - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
39,Dr. Shashi Nath Jha,31.0,MBBS MD - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
40,Dr. Amit Khosla,30.0,MBBS DNB - Ophthalmology MD - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
41,Dr. Neeraj Manchanda,19.0,MBBS ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
42,Dr. Shaloo Kumra Bageja,21.0,MBBS DNB - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
43,Dr. Ashima Abbott Chandra,30.0,MBBS DNB - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
44,Dr. Bindu Dewan,22.0,MBBS MD - Dermatology ,Dermatologist,Sir Ganga Ram Hospital
45,Dr. R.S. Misra,53.0,MBBS Diploma in Dermatology ,"Dermatologist,Dermatosurgeon",Sir Ganga Ram Hospital
46,Dr. Ajay Swaroop,39.0,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
47,Dr. Asish Kumar Lahiri,54.0,MBBS MS - Otorhinolaryngology ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
48,Dr. Alok Agarwal,28.0,MBBS MS - ENT ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
49,Dr. Shalabh Sharma,26.0,MBBS MS - Otorhinolaryngology DNB - Otorhinolaryngology FRCS - Otolaryngology ,"ENT/Otorhinolaryngologist,Otologist/Neurotologist,PediatricOtorhinolaryngologist",Sir Ganga Ram Hospital
50,Dr. Nitin Aggarwal,27.0,MBBS DNB - Otorhinolaryngology ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
51,Dr. Satinder Singh,18.0,MBBS Diploma in Otorhinolaryngology (DLO) DNB ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
52,Dr. Shweta Gogia,14.0,DNB - ENT MBBS ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
53,Dr. K.D. Gupta,57.0,MBBS FRCS - Otolaryngology ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
54,Dr. Vrinder Kumar Nijhawan,42.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
55,Dr. V.B. Bhasin,35.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
56,Dr. P.K. Khanna,63.0,MBBS MD - Cardiology DM - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
57,Dr. Rajat Mohan,33.0,MBBS MD - Cardiology DM - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
58,Dr. Rajiv Passey,29.0,MBBS DNB DM - Cardiology Fellow of Indian College of Physician (FICP) MNAMS - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
59,Dr. Bhola Shanker Vivek,23.0,MBBS MS - General Surgery DM - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
60,Dr. H.L. Kher,63.0,MBBS MD - Nuclear Medicine ,NuclearMedicinePhysician,Sir Ganga Ram Hospital
61,Dr. Rohit Batra,13.0,"MBBS MD - Dermatology , Venereology & Leprosy Diploma in Dermatology & Venerology ","Dermatologist,Trichologist,Dermatosurgeon",Sir Ganga Ram Hospital
62,Dr. Bheem Singh Nanda,35.0,MBBS MS - General Surgery MCh - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
63,Dr. Ajay Yadav,13.0,Fellowship in Vascular & Endovascular Surgery MBBS MS - General Surgery MRCS (UK) ,GeneralSurgeon,Sir Ganga Ram Hospital
64,Dr. Bela S Jain,32.0,BDS MDS ,DentalSurgeon,Sir Ganga Ram Hospital
65,Dr. Mukund Khetan,25.0,MBBS MS - General Surgery ,"LaparoscopicSurgeon,BariatricSurgeon",Sir Ganga Ram Hospital
66,Dr. Pardeep Bageja,16.0,DNB - Orthopedics/Orthopedic Surgery MBBS ,"Orthopedist,SpineSurgeon,JointReplacementSurgeon",Sir Ganga Ram Hospital
67,Dr. Ashish Kumar,13.0,MBBS MD - Medicine DM - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
68,Dr. Rishi Parashar,19.0,MBBS MD - Dermatology ,"Dermatologist,AestheticDermatologist,PediatricDermatologist",Sir Ganga Ram Hospital
69,Dr. Anil Arora,29.0,MD - Medicine DM - Gastroenterology MBBS DNB - Internal Medicine ,Gastroenterologist,Sir Ganga Ram Hospital
70,Dr. Brajesh Nandan,10.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
71,Dr. Dhruv Agarwal,10.0,MBBS DNB (Cardiology) ,Cardiologist,Sir Ganga Ram Hospital
72,Dr. Ajit K. Sinha,25.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Neurosurgeon,Sir Ganga Ram Hospital
73,Dr. Samir K Kalra,9.0,MBBS MS - General Surgery DNB - Neurosurgery MCh - Neuro Surgery ,Neurosurgeon,Sir Ganga Ram Hospital
74,Dr. Ashis Acharya,17.0,MS - Orthopaedics MBBS ,Orthopedist,Sir Ganga Ram Hospital
75,Dr. Sumit Goyal,14.0,MBBS DNB - Neurosurgery ,Neurosurgeon,Sir Ganga Ram Hospital
76,Dr. Anshul Gupta,17.0,MBBS DNB - Neurology ,Neurologist,Sir Ganga Ram Hospital
77,Dr. Dhirendra Kumar Dhiraj,12.0,DNB - Orthopedics/Orthopedic Surgery MBBS ,Orthopedist,Sir Ganga Ram Hospital
78,Dr. Srikrishna Das,14.0,MBBS MS - General Surgery ,GeneralSurgeon,Sir Ganga Ram Hospital
79,Dr. Vinod K. Malik,36.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
80,Dr. Pramoj Jindal,9.0,MBBS DNB - General Surgery MNAMS (Membership of the National Academy) ,GeneralSurgeon,Sir Ganga Ram Hospital
81,Dr. Ashish Dey,16.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
82,Dr. Vijay Arora,48.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
83,Dr. C S Ramachandran,41.0,MBBS MS - General Surgery ,GeneralSurgeon,Sir Ganga Ram Hospital
84,Dr. Ratindra Nath Sarangi,45.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
85,Dr. B.B. Agarwal,33.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
86,Dr. Nitin Gupta,16.0,MBBS DM - Clinical Haematology ,Hematologist,Sir Ganga Ram Hospital
87,Dr. Manish Dhawan,20.0,MBBS DNB - Orthopedics/Orthopedic Surgery ,Orthopedist,Sir Ganga Ram Hospital
88,Dr. Anurag Pandey,14.0,MCh - Plastic Surgery MBBS MS - General Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
89,Dr. Swaroop Singh Gambhir,20.0,MBBS MS - General Surgery DNB - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
90,Dr. Lalit Choudhary,21.0,MBBS MS - General Surgery MCh - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
91,Dr. Anant Tiwari,25.0,MS - Orthopaedics MBBS ,JointReplacementSurgeon,Sir Ganga Ram Hospital
92,Dr. Vivek Kumar,12.0,MBBS MS - General Surgery DNB - Plastic Surgery ,PlasticSurgeon,Sir Ganga Ram Hospital
93,Dr. Mahesh Mangal,38.0,MBBS MS - General Surgery MCh - Plastic Surgery ,"PlasticSurgeon,GeneralSurgeon",Sir Ganga Ram Hospital
94,Dr. Deepinder Chaudhary,20.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
95,Dr. O N Nagi,49.0,MS - Orthopaedics MBBS ,JointReplacementSurgeon,Sir Ganga Ram Hospital
96,Dr. Anupama Sethi,29.0,BDS MDS ,DentalSurgeon,Sir Ganga Ram Hospital
97,Dr. Anup Razdan,13.0,BDS MDS - Orthodontics & Dentofacial Orthopaedics ,"Dentist,Orthodontist,Implantologist",Sir Ganga Ram Hospital
98,Deepak Agrawal,18.0,BDS FICD MDS ,"Dentist,DentalSurgeon",Sir Ganga Ram Hospital
99,Dr. Vikas Sethi,15.0,MDS BDS ,DentalSurgeon,Sir Ganga Ram Hospital
100,Dr. Vasundhara Oberoi,17.0,MBBS MS - General Surgery MCh - Plastic Surgery ,"GeneralSurgeon,PlasticSurgeon",Sir Ganga Ram Hospital
101,Dr. C S Aggarwal,39.0,MBBS DNB - Neurology ,Neurologist,Sir Ganga Ram Hospital
102,Dr. Ish Anand,32.0,MBBS MD - Internal Medicine DM - Neurology Diploma in Tuberculosis and Chest Diseases (DTCD) ,Neurologist,Sir Ganga Ram Hospital
103,Dr. M. Gourie Devi,41.0,MBBS MD - General Medicine DM - Neurology ,Neurologist,Sir Ganga Ram Hospital
104,Dr. Anuradha Batra,27.0,MBBS DNB - Neurology ,Neurologist,Sir Ganga Ram Hospital
105,Dr. Rajeev Ranjan,17.0,MBBS DNB - Neurology ,Neurologist,Sir Ganga Ram Hospital
106,Dr. Sunil Datta,23.0,BDS MDS - Prosthodontist And Crown Bridge ,"Dentist,Implantologist,Prosthodontist",Sir Ganga Ram Hospital
107,Dr. Anshu Rohatgi,29.0,MBBS MD - Medicine DNB - General Medicine DM - Neurology ,"Neurologist,InternalMedicine",Sir Ganga Ram Hospital
108,Dr. Arun P Setia,36.0,BDS FICD FDSRCPS - Fellowship in Dental Surgery ,Dentist,Sir Ganga Ram Hospital
109,Dr. Ashwin Dewan,17.0,BDS MDS - Prosthodontist And Crown Bridge ,"Dentist,DentalSurgeon,Prosthodontist",Sir Ganga Ram Hospital
110,Dr. Sandeep Chopra,16.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Neurosurgeon,Sir Ganga Ram Hospital
111,Dr. Tarun Mittal,15.0,MBBS MS - General Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
112,Dr. Sunil Jain,39.0,MBBS MD - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
113,Dr. Ambuj Garg,19.0,MBBS DNB - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
114,Dr. Pooja Khosla,21.0,MD - Medicine MBBS ,"GeneralPhysician,InternalMedicine",Sir Ganga Ram Hospital
115,Dr. P K Aggarwal,35.0,MBBS MD - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
116,Dr. Ved Prakash,57.0,MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
117,Dr. Atul Kakar,27.0,MBBS DNB - General Medicine  FRCP MNAMS - General Surgery Post Graduate Certificate In  Hiv And Std Manegement Fellowship in Rheumatology Fellow Indian Academy Of  Clinical Medicine Advance Course In  Osteoporosis EULAR certificate for Rheumatic Diseases  ,"GeneralPhysician,InternalMedicine,Rheumatologist",Sir Ganga Ram Hospital
118,Dr. Atul Gogia,19.0,MBBS DNB - Internal Medicine ,InternalMedicine,Sir Ganga Ram Hospital
119,Dr. Prem Sagar Gupta,63.0,MBBS MD - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
120,Dr. V P Sachar,58.0,MRCPS MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
121,Dr. Kunal Chawla,14.0,MBBS MD - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
122,Dr. S P Byotra,46.0,MD - General Medicine MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
123,Dr. Prahlad Kumar Sethi,35.0,MBBS MD - Internal Medicine ,Neurosurgeon,Sir Ganga Ram Hospital
124,Ms. Asha Aggrawal,22.0,BSc - Speech & Hearing ,"Audiologist,SpeechTherapist",Sir Ganga Ram Hospital
125,Dr. Manish Chugh,15.0,MBBS MD - Radio Diagnosis/Radiology ,"InterventionalRadiologist,Radiologist",Sir Ganga Ram Hospital
126,Dr. Praveen Kumar,13.0,MBBS DNB - Paediatrics ,Pediatrician,Sir Ganga Ram Hospital
127,Dr. Kanav Anand,13.0,MBBS MD - Pediatrics Fellowship in Pedatric Nephrology ,Pediatrician,Sir Ganga Ram Hospital
128,Dr. CK Bhalla,63.0,MBBS Diplomate in Paediatrics from American Board ,Pediatrician,Sir Ganga Ram Hospital
129,Dr. Imran Noorani,13.0,MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
130,Dr. Virender Kumar Khanna,17.0,MD - Pediatrics MBBS ,Pediatrician,Sir Ganga Ram Hospital
131,Dr. P.K. Pruthi,40.0,DCH MBBS ,Pediatrician,Sir Ganga Ram Hospital
132,Dr. Latika Bhalla,25.0,MBBS DNB - Paediatrics ,Pediatrician,Sir Ganga Ram Hospital
133,Dr. Neeraj Gupta,13.0,MBBS DCH ,Pediatrician,Sir Ganga Ram Hospital
134,Dr. Praveen Suman Mehta,20.0,MBBS MD - Pediatrics ,Pediatrician,Sir Ganga Ram Hospital
135,Dr. Anil Sachdeva,37.0,DCH MBBS DM - Pediatrics Cardiology ,Pediatrician,Sir Ganga Ram Hospital
136,Dr. Ushasht Dhir,15.0,MBBS MS - General Surgery DNB ,GeneralSurgeon,Sir Ganga Ram Hospital
137,Dr. Shyam Aggarwal,35.0,MBBS DM - Oncology MD - Medicine ,"GeneralPhysician,MedicalOncologist",Sir Ganga Ram Hospital
138,Dr. Surender Kumar,45.0,MBBS DM - Endocrinology MD - General Medicine ,"Endocrinologist,Diabetologist",Sir Ganga Ram Hospital
139,Dr. Col. Sudhir Tripathi,38.0,MBBS DM - Endocrinology MD - General Medicine ,"Endocrinologist,Diabetologist",Sir Ganga Ram Hospital
140,Dr. Rajeev Kulshreshtha,46.0,MS - General Surgery MCh - Paediatric Surgery MBBS ,PediatricSurgeon,Sir Ganga Ram Hospital
141,Dr. Satish Aggarwal,33.0,MBBS MS - General Surgery MCh - Paediatric Surgery ,"PediatricSurgeon,GeneralSurgeon",Sir Ganga Ram Hospital
142,Dr. I C Verma,51.0,MBBS ,Geneticist,Sir Ganga Ram Hospital
143,Dr. Ratna Puri,31.0,MBBS MD - Pediatrics DM - Medical Genetics ,Geneticist,Sir Ganga Ram Hospital
144,Dr. Sunita Bijarnia,25.0,MBBS DNB - Medical Genetics ,Geneticist,Sir Ganga Ram Hospital
145,Dr. Manish Malik,17.0,DNB - Nephrology MD - Nephrology MBBS ,Nephrologist/RenalSpecialist,Sir Ganga Ram Hospital
146,Dr. Anurag Gupta,18.0,MBBS DM - Nephrology ,Nephrologist/RenalSpecialist,Sir Ganga Ram Hospital
147,Dr. Vinant Bhargava,15.0,MBBS DNB - General Medicine DNB - Nephrology ,"Nephrologist/RenalSpecialist,GeneralPhysician",Sir Ganga Ram Hospital
148,Dr. D S Rana,43.0,MBBS MD - Medicine MNAMS - Nephrology ,"GeneralPhysician,Nephrologist/RenalSpecialist",Sir Ganga Ram Hospital
149,Dr. Alpana Prasad,28.0,MBBS MS - General Surgery MCh - Paediatric Surgery ,"PediatricSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
150,Dr. Ashwani Gupta,35.0,MBBS DM - Nephrology ,Nephrologist/RenalSpecialist,Sir Ganga Ram Hospital
151,Dr. Lt. General Ved Chaturvedi,40.0,MD - Rheumatology MBBS DM - Rheumatology ,Rheumatologist,Sir Ganga Ram Hospital
152,Dr. Ikeda Lal,7.0,MBBS MS - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
153,Dr. J K Nath,39.0,Diploma in Radiation Medicine MBBS ,NuclearMedicinePhysician,Sir Ganga Ram Hospital
154,Dr. Tinku Bali Razdan,14.0,MBBS MS - Ophthalmology FRCS - General Surgery Fellowship in Vitreoretinal Surgery ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
155,Dr. Debasis Dutta,34.0,MBBS MD - Obstetrics & Gynaecology ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
156,Dr. Punita Bhardwaj,27.0,MBBS DGO DNB - Obstetrics & Gynecology Fellowship in Minimal Access Surgery ,Gynecologist,Sir Ganga Ram Hospital
157,Dr. Suviraj John,24.0,MBBS MS - General Surgery DNB ,BariatricSurgeon,Sir Ganga Ram Hospital
158,Dr. Parveen Bhatia,33.0,MBBS MS - General Surgery ,"LaparoscopicSurgeon,BariatricSurgeon",Sir Ganga Ram Hospital
159,Dr. Sudhir Kalhan,31.0,MBBS MS - General Surgery ,"BariatricSurgeon,LaparoscopicSurgeon",Sir Ganga Ram Hospital
160,Dr. S C Malik,11.0,MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
161,Dr. Vivek Bindal,11.0,MBBS DNB MS - General Surgery FNB MRCS (UK) Fellow of American College of Surgeons(FACS) ,"BariatricSurgeon,LaparoscopicSurgeon,GeneralSurgeon",Sir Ganga Ram Hospital
162,Dr. Sajeela Maini,16.0,PhD - Health Psychology ,HealthPsychologist,Sir Ganga Ram Hospital
163,Dr. Subhash Chandra Bharija,46.0,MBBS MD - Dermatology ,Dermatologist,Sir Ganga Ram Hospital
164,Dr. Vikas Singla,12.0,MBBS DM - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
165,Dr. Munish K. Sachdeva,20.0,MBBS MD - Internal Medicine DNB - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
166,Dr. Geeta Mediratta,30.0,MBBS MD - Obstetrics & Gynaecology ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
167,Dr. Kanika Jain,25.0,DNB MBBS MS - Obstetrics & Gynaecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
168,Dr. Mandhir Kumar,38.0,DM - Gastroenterology MBBS ,Gastroenterologist,Sir Ganga Ram Hospital
169,Dr. Mridul Aggarwal,10.0,FNB - Pediatric Cardiology MBBS MD - Pediatrics ,PediatricCardiologist,Sir Ganga Ram Hospital
170,Dr. Neeraj Aggarwal,16.0,DM - Pediatrics Cardiology MBBS ,PediatricCardiologist,Sir Ganga Ram Hospital
171,Dr. Raja Joshi,24.0,MCh - Paediatric Surgery MBBS MS - General Surgery ,GeneralSurgeon,Sir Ganga Ram Hospital
172,Dr. Mrinal Pahwa,13.0,MBBS DNB - Urology/Genito - Urinary Surgery MS - General Surgery ,Urologist,Sir Ganga Ram Hospital
173,Dr. Amrendra Kumar Pathak,14.0,MBBS MS - General Surgery Diploma in Medical Radioligy & Electrology MCh - Urology ,Urologist,Sir Ganga Ram Hospital
174,Dr. Ajay Bhutani,25.0,MBBS MS - General Surgery MCh - Neuro Surgery ,"Neurosurgeon,Neurologist",Sir Ganga Ram Hospital
175,Dr. Promila Chadha,58.0,MBBS MD - Obstetrics & Gynaecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
176,Dr. Harsha Khullar,28.0,MBBS MD - Obstetrics & Gynaecology ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
177,Dr. Mala Srivastava,31.0,MBBS DNB - Obstetrics & Gynecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
178,Dr. Ruma Satwik,17.0,MBBS MS - MS.Medicine DNB - Obstetrics & Gynecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
179,Dr. Chandra Mansukhani,27.0,MBBS MS - Obstetrics & Gynaecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
180,Dr. Shweta Mittal,18.0,MBBS MD - Obstetrics & Gynaecology ,Gynecologist,Sir Ganga Ram Hospital
181,Dr. B G Kotwani,62.0,Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London) MBBS DGO ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
182,Dr. R S Chahal,32.0,MBBS DNB - Orthopedics/Orthopedic Surgery ,"SpineAndPainSpecialist,GeneralPhysician",Sir Ganga Ram Hospital
183,Dr. Abha Majumdar,41.0,MBBS MS - Obstetrics & Gynaecology ,Gynecologist,Sir Ganga Ram Hospital
184,Dr. Anup Thakur,12.0,MBBS MD - Pediatrics DNB - Paediatrics ,Pediatrician,Sir Ganga Ram Hospital
185,Dr. Manoj Modi,19.0,MD - Pediatrics MBBS ,Pediatrician,Sir Ganga Ram Hospital
186,Dr. Arun Soni,27.0,MBBS DNB - Paediatrics ,Pediatrician,Sir Ganga Ram Hospital
187,Dr. Ila Sharma,12.0,DNB - Obstetrics & Gynecology MBBS ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
188,Dr. Neelam Kler,15.0,MBBS MD - Pediatrics ,Pediatrician,Sir Ganga Ram Hospital
189,Dr. M Kochhar,62.0,DGO MBBS ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
190,Dr. Satish Saluja,36.0,DNB MBBS MD - Pediatrics ,Pediatrician,Sir Ganga Ram Hospital
191,Dr. Pankaj Garg,26.0,MBBS DNB - Paediatrics MD - Pediatrics ,Pediatrician,Sir Ganga Ram Hospital
192,Dr. Satish Kumar,29.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
193,Dr. Arup Basu,39.0,MD - Pulmonary Medicine MBBS DM - Medical Genetics ,Pulmonologist,Sir Ganga Ram Hospital
194,Dr. Amit Dhamija,17.0,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine MBBS ,Pulmonologist,Sir Ganga Ram Hospital
195,Dr. Rajat Chopra,20.0,MBBS Diploma in Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
196,Dr. S P Mandal,51.0,MBBS MS - Orthopaedics M.Ch - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
197,Dr. Ujjwal Parikh,17.0,MBBS MD - Pulmonary Medicine ,Pulmonologist,Sir Ganga Ram Hospital
198,Dr. Bobby Bhalotra,22.0,MBBS MD - Pulmonary Medicine ,Pulmonologist,Sir Ganga Ram Hospital
199,Dr. Rashmi Sama,15.0,DM - Pulmonary Medicine MBBS DM - Critical Care Medicine ,Pulmonologist,Sir Ganga Ram Hospital
200,Dr. Abhinav Guliani,5.0,MBBS DNB - Respiratory Diseases ,Pulmonologist,Sir Ganga Ram Hospital
201,Dr. Roma Kumar (PhD),30.0,BA - Psychology MA - Psychology PhD - Psychology ,Psychologist,Sir Ganga Ram Hospital
202,Dr. Rajneesh Jain,31.0,MBBS MD - Medicine DM - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
