DOC_ID,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
135,Dr. Abdul Rashid Ahangar,23.0,MBBS DNB - General Surgery Fellowship in Minimal Access Surgery ,Nephrologist/RenalSpecialist,Fortis Hospital
136,Dr. Abha Garg,23.0,"MBBS MD - Dermatology , Venereology & Leprosy ","Gynecologist,Obstetrician",Blk Super Speciality Hospital
137,Dr. Abha Majumdar,41.0,MBBS MS - Obstetrics & Gynaecology ,Gynecologist,Sir Ganga Ram Hospital
138,Dr. Abha Sood,5.0,MBBS MS - Orthopaedics Fellowship in Joint Replacement Fellowship in Joint Replacement Fellowship in Joint Replacement Fellowship in Joint Replacement ,"Gynecologist,InfertilitySpecialist",Jaipur Golden Hospital
139,Dr. Abhay Deshpande,,MBBS MS - Obstetrics & Gynaecology ,Ear-Nose-Throat(ENT)Specialist,Guru Nanak Hospital
140,Dr. Abhay Gundgurthi,,MBBS ,Endocrinologist,Sagar Hospital
141,Dr. Abhay Huprkar,30.0,MBBS MD - Psychiatry ,Nephrologist,Ruby Hall Clinic
142,Dr. Abhay Kulkarni,,BDS MDS - Prosthodontics ,Orthopedist,Sahyadri Hospitals
142,Dr. Abhay Kulkarni,14.0,MBBS MD - Internal Medicine DM - Cardiology ,Orthopedist,Ruby Hall Clinic
143,Dr. Abhay Kumar,34.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery FRCS - General Surgery ,CardiacSurgeon,Max Super Speciality Hospital
144,Dr. Abhay Sadre,22.0,M.Phil - Clinical Psychology Masters in Clinical Psychology ,Nephrologist/RenalSpecialist,Ruby Hall Clinic
145,Dr. Abhey Kumar,17.0,MBBS MD - Pediatrics ,CardiacSurgeon,Max Super Speciality Hospital
146,Dr. Abhijeet L. Wahegaonkar,,MBBS MS - General Surgery MCh - Neuro Surgery ,Orthopedist,Sancheti Hospital
147,Dr. Abhijeet Palshikar,,,Cardiologist,Sahyadri Speciality Hospital
147,Dr. Abhijeet Palshikar,,MCh - Neuro Surgery MBBS ,Cardiologist,Sahyadri Hospitals
148,Dr. Abhijit A Patil,,MBBS MS - General Surgery FRCS - General Surgery ,"Orthopedist,JointReplacementSurgeon",Inamdar Multispeciality Hospital
149,Dr. Abhijit Agashe,,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) FRCS - General Surgery ,"Orthopedist,JointReplacementSurgeon",Inamdar Multispeciality Hospital
150,Dr. Abhijit Ashok Jadhav,16.0,MBBS DCH DNB - Paediatrics ,Diabetologist,Godrej Memorial Hospital
151,Dr. Abhijit Dey,21.0,DGO DNB ,Orthopedist,Max Super Speciality Hospital
152,Dr. Abhijit Garbe,,,GeneralSurgeon,Sanjeevan Hospital
153,Dr. Abhijit Jadhav,15.0,MBBS MS - General Surgery ,Diabetologist,Godrej Memorial Hospital
154,Dr. Abhijit Kale,27.0,MD - Radiotherapy MBBS ,Orthopedist,S L Raheja Fortis Hospital
155,Dr. Abhijit Lodha,20.0,MBBS DM - Endocrinology Fellowship in Bariatric Medicine ,GeneralPhysician,Ruby Hall Clinic
156,Dr. Abhijit Lonari,,MBBS MCh - Paediatric Surgery MRCS (UK) ,"JointReplacementSurgeon,Orthopedist",Aditya Birla Memorial Hospital
157,Dr. Abhijit Oka,17.0,MBBS MS - General Surgery MCh - Urology ,"Gynecologist,InfertilitySpecialist,Obstetrician",Deenanath Mangeshkar Hospital
158,Dr. Abhijit Ranaware,7.0,"MBBS MD - Medicine DM - Endocrinology DNB - Endocrinology, Diabetes, Metabolism MRCP (UK) Fellow of American College of Endocrinology(FACE) ",Orthopedist,Noble Hospital
159,Dr. Abhijit S. Karve,,MBBS DPM (Psychiatry) MD - Psychiatry ,,Sancheti Hospital
160,Dr. Abhijit S.Nair,15.0,MBBS MS - Orthopaedics FIPP FIMSA ,,Care Hospitals
161,Dr. Abhijit Sarkar,,,Pediatrician,Amri Hospitals
162,Dr. Abhijit Vilas Kulkarni,8.0,MBBS MD - Obstetrics & Gynaecology ,Cardiologist,Apollo Hospital
163,Dr. Abhilash Bhaskaran,20.0,BAMS MD - Ayurveda Diploma in Acupuncture ,"Cosmetic/AestheticDentist,Dentist,OralAndMaxilloFacialSurgeon",Global Hospital
164,Dr. Abhilasha Singh,12.0,MBBS MS - Obstetrics & Gynaecology ,"Pediatrician,PaediatricIntensivist",Continental Hospitals
165,Dr. Abhimanyu Sengupta,,,Pediatrician,Surya Mother & Child Super Speciality Hospital
166,Dr. Abhinand Potturi,14.0,MBBS MS - General Surgery ,"OralAndMaxilloFacialSurgeon,Dentist",Continental Hospitals
167,Dr. Abhinav Choudhary,7.0,MBBS ,SurgicalOncologist,Fortis Hospital
168,Dr. Abhinav Guliani,5.0,MBBS DNB - Respiratory Diseases ,Pulmonologist,Sir Ganga Ram Hospital
169,Dr. Abhinav Gupta,18.0,DNB - Neurosurgery Fellowship in Spinal Nuerosurgery Fellowship in Interventional Neurosurgery (FINR) MBBS ,"SpineSurgeon,Neurosurgeon",Sir Ganga Ram Hospital
170,Dr. Abhisekh Mohanty,23.0,MBBS MS - ENT DNB - ENT ,Cardiologist,Continental Hospitals
171,Dr. Abhishek,,,"PediatricSurgeon,GeneralSurgeon",Metro Multispeciality Hospital
172,Dr. Abhishek Kaushik,18.0,MBBS MCh - Paediatric Surgery ,Orthopedist,St Stephens Hospital
173,Dr. Abhishek Kulkarni,35.0,MBBS MD - General Medicine ,Pediatrician,S L Raheja Fortis Hospital
173,Dr. Abhishek Kulkarni,17.0,MBBS MD - General Medicine DM - Rheumatology ,Pediatrician,Fortis Hospital
174,Dr. Abhishek Saha,,,"Orthopedist,JointReplacementSurgeon",Amri Hospitals
175,Dr. Abhishek Sharma,,DNB - Paediatrics DCH MBBS ,"Otologist/Neurotologist,ENT/Otorhinolaryngologist",Manipal Hospital
176,Dr. Abhyankar Nitin,24.0,MBBS MRCOG ,Pulmonologist,Deenanath Mangeshkar Hospital
177,Dr. Abi .C,,"MBBS MD - Dermatology , Venereology & Leprosy ","Obstetrician,Gynecologist",Billroth Hospitals
178,Dr. Abijith Palsikar,,DNB ,Cardiologist,Sahyadri Hospitals
179,Dr. Abraham Kurien,,MBBS MD - General Medicine DNB - General Medicine MRCP (UK)  FRCP Diploma in Tropical Medicine Health ,Urologist,Madras Medical Mission Hospital
180,Dr. Abraham Oomman,,,Cardiologist,Apollo Hospital - Tondiarpet
180,Dr. Abraham Oomman,14.0,MBBS DNB - Obstetrics & Gynecology MRCOG MD - Obstetrics & Gynaecology Fellowship in Reproductive Medicine & ART ,Cardiologist,Apollo Hospital
181,Dr. Achuth M Baliga,12.0,MBBS MD - General Medicine ,Dentist,Manipal Hospital
182,Dr. Adarsh Hegde,,,PediatricSurgeon,Surya Mother & Child Super Speciality Hospital
183,Dr. Adarsh Koppula,24.0,MBBS ,CardiacSurgeon,Max Super Speciality Hospital
184,Dr. Adarsh Tarwar,3.0,MS - Orthopaedics MBBS Fellow in Spine Surgery ,Ear-Nose-Throat(ENT)Specialist,Sanjeevan Hospital
185,Dr. Adarsh W. Barwad,17.0,MBBS MD - General Medicine DM - Neurology ,Pathologist,Continental Hospitals
186,Dr. Adil,,,Urologist,Alpha Hospital
187,Dr. Adil Pasha,,MBBS MD - Pulmonary Medicine MD - Tuberculosis & Respiratory Diseases/Medicine ,Pediatrician,Bhagwan Mahaveer Jain Hospital - Vasanthnagar
188,Dr. Adil Sadiq,,MBBS DM - Cardiology MD - General Medicine ,"CardiothoracicandVascularSurgeon,CardiacSurgeon,Thoracic(Chest)Surgeon",Sakra World Hospital
189,Dr. Adinarayana Makam,20.0,MBBS ,"Gynecologist,Obstetrician",People Tree Hospitals
190,Dr. Aditi Bhatt,,,SurgicalOncologist,Fortis Hospital
191,Dr. Aditi Chandan Sinha,32.0,MBBS MS - General Surgery ,ENT/Otorhinolaryngologist,Masina Hospital 
192,Dr. Aditi Malpani,,MBBS DDV ,GeneralPhysician,Sancheti Hospital
193,Dr. Aditi Singhi,35.0,MBBS DNB ,"Gynecologist,Obstetrician",Godrej Memorial Hospital
194,Dr. Adittya Kumar Sharma,25.0,MBBS MD - Internal Medicine DM - Cardiology ,"Urologist,Andrologist",Max Super Speciality Hospital
195,Dr. Aditya Kumar Gupta,18.0,MBBS DNB - Paediatrics ,Neurologist,St Stephens Hospital
196,Dr. Aditya Pradhan,12.0,MBBS MD - Pediatrics DM - Pediatric Neurology ,Urologist,Blk Super Speciality Hospital
197,Dr. Aditya S. Bhabhe,,,Nephrologist/RenalSpecialist,Medipoint Hospital
198,Dr. Aditya Sharma,,,Orthopedist,Primus Super Speciality Hospital
199,Dr. Adnan Aziz,,MBBS DCH DNB ,GeneralPhysician,Star Hospitals
200,Dr. Adosh Lall,,MBBS MS - Orthopaedics Diploma in Orthopaedics FCPS - Mid. & Gynae Fellowship in Joint Replacement M.Ch - Orthopaedics ,"DentalSurgeon,Periodontist,Implantologist",Indraprastha Apollo Hospitals
201,Dr. Adwaita A Gore,,,"MedicalOncologist,HematologicOncologist",Prince Ali Khan Hospital
202,Dr. Aedula Srisaila Datta,16.0,MBBS MS - General Surgery ,Rheumatologist,KIMS - Krishna Institute of Medical Sciences
203,Dr. Aftab Matheen,,MBBS MD - Internal Medicine ,"Dermatologist,Immunodermatologist",Billroth Hospitals
