,ID,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
127,127,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",28,30
128,128,Kailash Hospital,"Sector 27, Noida",27,325
129,129,Sumitra Hospital,"Sector 35, Noida",27,50
130,130,Ovum Woman & Child Speciality Hospital,"Banaswadi, Bangalore",27,28
131,131,Jaslok Hospital,"Peddar Road, Mumbai",27,364
132,132,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27,100
133,133,Sama Hospital,"August Kranti Marg, Delhi",27,31
134,134,Challa Hospitals,"Ameerpet, Hyderabad",27,100
135,135,BGS Global Hospital,"Kengeri, Bangalore",27,100
136,136,Jayashree Nursing Home,"Kumara Park West, Bangalore",26,25
137,137,Shobha Hospital,"BTM Layout, Bangalore",26,2
138,138,Shashwat Hospital,"Aundh, Pune",26,60
139,139,Fortis C-DOC Hospital,"Nehru Place, Delhi",26,25
140,140,Nano Hospitals,"Hulimavu, Bangalore",26,30
141,141,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26,175
142,142,Mantra Kerali Ayurvedic Hospital,"Saroor Nagar, Hyderabad",26,5
143,143,Brookefield Hospital,"Kundalahalli, Bangalore",25,100
144,144,Global Hospital,"Lakdikapul, Hyderabad",25,100
145,145,Omega Hospital,"Banjara Hills, Hyderabad",25,150
146,146,Sai Sneh Hospital & Diagnostic Center Pvt. Ltd,"Satara Road, Pune",25,31
147,147,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25,155
148,148,Shifaa Hospital,"Vasanthnagar, Bangalore",25,200
149,149,Metro Multispeciality Hospital,"Sector 11, Noida",25,207
150,150,Vignesh Nursing Home,"Kukatpally, Hyderabad",25,30
151,151,Punarjyoti Eye Hospital,"Wilson Garden, Bangalore",25,20
152,152,Medipoint Hospital,"Aundh, Pune",25,102
153,153,NRR Hospitals,"Jalahalli, Bangalore",25,20
154,154,Karuna Hospital,"Borivali West, Mumbai",25,50
155,155,Veena Nursing Home,"Rohini, Delhi",25,6
156,156,Adiva Hospital,"Green Park, Delhi",25,15
157,157,Kauvery Hospitals,"Mylapore, Chennai",24,100
158,158,Sunshine Hospital,"Secunderabad, Hyderabad",24,450
159,159,Vision Eye Hospital,"Rohini, Delhi",24,2
160,160,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24,60
161,161,Omni Hospitals,"Kothapet, Hyderabad",23,250
162,162,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23,100
163,163,Eshwar Hospital,"Mahalakshmi Layout, Bangalore",23,11
164,164,Murugan Hospitals,"Kilpauk, Chennai",23,50
165,165,Sanjeevan Hospital,"Karve Nagar, Pune",23,105
166,166,Hande Hospital,"Shenoy Nagar, Chennai",23,20
167,167,MITR Hospitals,"Sector 35, Noida",23,100
168,168,KHM Hospital,"Anna Nagar, Chennai",23,50
169,169,Cloudnine Hospital,"Whitefield, Bangalore",22,13
170,170,Felix Hospital,"Sector 137, Noida",22,150
171,171,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",22,150
172,172,Niron Hospital,"Santacruz East, Mumbai",22,50
173,173,Bangalore Hospital ,"Jayanagar, Bangalore",22,55
174,174,Seven Eleven Hospital,"Mira Road, Mumbai",22,150
175,175,Mata Roop Rani Maggo Hospital,"Uttam Nagar, Delhi",22,40
176,176,HCG - Health Care Global,"Sampangiramnagar, Bangalore",22,5
177,177,Navachetana Hospital,"Yelahanka, Bangalore",22,30
178,178,Lake View Hospital,"HSR Layout, Bangalore",21,20
179,179,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21,250
180,180,Pristine Hospital,"West Of Chord Road, Bangalore",21,100
181,181,Family Hospital,"Mathikere - BEL, Bangalore",21,20
182,182,Suraksha Children Hospital,"Tarnaka, Hyderabad",21,50
183,183,Excel Care Hospital,"Banashankari 2nd Stage, Bangalore",21,44
184,184,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21,25
185,185,Sujay Hospital,"Vileparle West, Mumbai",21,50
186,186,Alpha Hospital,"Charminar, Hyderabad",21,120
187,187,Landmark Hospitals,"Nizampet, Hyderabad",21,100
188,188,Ashwini Accident Hospital,"Mahim, Mumbai",21,10
189,189,Amri Hospitals,"Salt Lake, Kolkata",21,210
190,190,Sankara Eye Hospital,"Kundalahalli, Bangalore",20,25
191,191,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",20,40
192,192,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",20,40
193,193,Cloudnine Hospital,"Shivaji Nagar, Pune",20,18
194,194,Sankhya Hospitals,"Kukatpally, Hyderabad",20,50
195,195,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",20,100
196,196,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",20,75
197,197,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20,90
198,198,Vikram Hospital,"Millers Road, Bangalore",19,225
199,199,Sree Maruthi Nursing Home,"West Marredpally, Hyderabad",19,50
200,200,Dhanwantari Hospital,"Nigdi, Pune",19,30
201,201,Axis Multispecialty Hospital,"Andheri West, Mumbai",19,20
202,202,Basant Sahney Hospital,"West Marredpally, Hyderabad",19,60
203,203,Divya Prastha Hospital,"Palam Colony, Delhi",19,55
204,204,Malik Radix Health Care,"Nirman Vihar, Delhi",19,50
205,205,Thatha Hospital,"Kapra, Hyderabad",19,100
206,206,Apollo Spectra,"Koramangala 4 Block, Bangalore",19,8
207,207,Aastha Health Care,"Mulund West, Mumbai",19,50
208,208,Masrani Hospital For Women,"Andheri, Mumbai",19,15
209,209,Kedarnath General Hospital,"Vishrantwadi, Pune",19,24
210,210,Gambhir Hospital,"Rajouri Garden, Delhi",19,20
211,211,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18,76
212,212,Bgs Global Hospitals,"Kengeri, Bangalore",18,10
213,213,Mai Mangeshkar Hospital,"Warje, Pune",18,50
214,214,Umarji Hospital,"Shukrawar Peth, Pune",18,8
215,215,Columbia Asia Hospital,"Whitefield, Bangalore",18,150
216,216,Columbia Asia Hospital,"Kharadi, Pune",18,50
217,217,MyCure Hospital - Zila Parishad Junction,"Maharani Peta, Visakhapatnam",18,56
218,218,Bansal Hospital,"New Friends Colony, Delhi",18,15
219,219,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18,38
220,220,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18,100
221,221,Irene Hospital,"Kalkaji, Delhi",18,55
222,222,Poornima Hospital,"RT Nagar, Bangalore",18,30
223,223,Platinum Hospital,"Mulund East, Mumbai",17,100
224,224,Dr Tambe's Children Hospital,"Vikhroli East, Mumbai",17,9
225,225,Krishna Hospital,"Kothrud, Pune",17,40
226,226,Apollo Medical Center,"Karapakkam, Chennai",17,100
227,227,Venkataeswara Hospitals,"Nandanam, Chennai",17,130
228,228,AyurVAID Hospitals (Ayurveda),"Ramamurthy Nagar, Bangalore",17,15
229,229,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",17,120
230,230,Sona Hospital And Medical Centre,"Santacruz East, Mumbai",17,15
231,231,Sai Hospital-Thane,"Mulund, Mumbai",17,25
232,232,Shreenagar Nursing Home,"Srinagar, Bangalore",17,30
233,233,Pace Hospitals,"Begumpet, Hyderabad",17,100
234,234,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17,100
235,235,Birthright By Rainbow,"Hyder Nagar, Hyderabad",17,80
236,236,Bhartiya Arogya Nidhi Hospital,"Juhu, Mumbai",17,5
237,237,B M Hospitals,"Nanganallur, Chennai",17,70
238,238,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16,100
239,239,ANN Hospital,"Valasaravakkam, Chennai",16,50
240,240,Pace Hospital,"Hitech City, Hyderabad",16,100
241,241,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16,102
242,242,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",16,75
243,243,Himagiri Hospitals,"Gachibowli, Hyderabad",16,50
244,244,Vighnharta Sai Hospital,"Bhosari, Pune",16,10
245,245,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16,150
246,246,Inamdar Hospital,"NIBM, Pune",16,15
247,247,Columbia Asia Hospitals,"Salt Lake, Kolkata",16,100
248,248,Sidvin Hospital ,"Rajajinagar, Bangalore",16,50
249,249,Shalom Medicare Pvt Ltd,"Bhayandar East, Mumbai",16,25
250,250,Kangaroo Care Women & Children Hospital,"Vijayanagar, Bangalore",16,40
251,251,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16,110
252,252,Sagar Chandramma Hospitals,"VV Puram, Bangalore",16,50
253,253,Swapna Hospital,"Dilsukhnagar, Hyderabad",15,59
254,254,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15,100
255,255,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15,350
256,256,Sumana Hospital,"Kukatpally, Hyderabad",15,50
257,257,AMRI Hospital,"Dhakuria, Kolkata",15,1000
258,258,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",15,25
259,259,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15,100
260,260,NU Hospitals,"Rajajinagar, Bangalore",15,100
261,261,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15,100
262,262,Charnock Hospital,"Teghoria, Kolkata",15,5
263,263,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",15,50
264,264,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15,100
265,265,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15,30
266,266,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15,360
267,267,GIA Hospital,"Vijayanagar, Bangalore",15,25
268,268,Vasavi Hospital,"Lakdikapul, Hyderabad",14,150
269,269,Mamta Nursing Home,"Wilson Garden, Bangalore",14,15
270,270,Mahaveer Hospital,"Masab Tank, Hyderabad",14,200
271,271,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",14,30
272,272,Shruti Hospital,"Old City, Hyderabad",14,10
273,273,Dr. Mohan's Diabetes Specialities Centre,"Domalguda, Hyderabad",14,8
274,274,Bhandari Hospital,"Gopalpura, Jaipur",14,100
275,275,Rajan Eye Care Hospital Pvt Ltd,"T Nagar, Chennai",14,30
276,276,Supurva Hospitals,"Kanakpura Road, Bangalore",14,85
277,277,Apollo Hospital,"Hyderguda, Hyderabad",14,200
278,278,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",14,5
279,279,RUBY Hospital,"Kasba, Kolkata",14,100
280,280,The Childrens Hospital Mumbai,"Malad West, Mumbai",14,12
281,281,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14,50
282,282,Fortis Aashlok Hospital,"Safdarjung Enclave, Delhi",14,30
283,283,Sai Jyoti Eye and Dental Hospital,"Ulsoor, Bangalore",14,10
284,284,Mangal Murti Hospital,"Borivali West, Mumbai",14,30
285,285,Sukhmani Hospital,"Safdarjung Enclave, Delhi",14,30
286,286,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",14,56
287,287,VS Hospitals - Advanced Cancer Care,"Chetpet, Chennai",14,50
288,288,Healing Touch Hospital,"Mehdipatnam, Hyderabad",14,5
289,289,Apollo Spectra Hospitals,"C Scheme, Jaipur",13,40
290,290,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",13,102
291,291,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13,150
292,292,Muni Maya Ram Jain Hospital,"Pitampura, Delhi",13,50
293,293,Jeevika Hospital,"Marathahalli, Bangalore",13,80
294,294,Lifeline Rigid Hospitals,"Kilpauk, Chennai",13,45
295,295,Sri Sai Kamala Hospital,"Dilsukhnagar, Hyderabad",13,50
296,296,Unicare Hospital,"Chakan, Pune",13,75
297,297,Ponmalligai Hospital,"Adambakkam, Chennai",13,50
298,298,Ranka Multispeciality Hospital,"Swargate, Pune",13,101
299,299,RG Stone Urology & Laparoscopy Hospital,"Pitampura, Delhi",13,6
300,300,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13,100
301,301,Vijay Marie Hospital,"Khairatabad, Hyderabad",13,200
302,302,Apollo Hospital - Sowcarpet,"Sowcarpet, Chennai",13,22
303,303,Dhanashree Hospital,"Chinchwad, Pune",13,50
304,304,Max Vision Eye Hospital,"Kukatpally, Hyderabad",13,10
305,305,Swastik Medical Center,"Anand Vihar, Delhi",13,13
306,306,Ashwin Medical Foundation's Moraya Multispeciality Hospital,"Chinchwad, Pune",13,50
307,307,BSA Nursing Home,"Bannerghatta Road, Bangalore",13,3
308,308,Lotus Hospital,"Rajarhat, Kolkata",13,25
309,309,Aashna Nursing Home,"Andheri, Mumbai",13,10
310,310,Asha Hospital,"Banjara Hills, Hyderabad",12,200
311,311,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",12,60
312,312,The Birthplace Hospital,"Banjara Hills, Hyderabad",12,25
313,313,Apex Hospital,"Naraina Vihar, Delhi",12,25
314,314,Vanaja Hospital,"AS Rao Nagar, Hyderabad",12,25
315,315,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",12,100
316,316,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",12,100
317,317,Surana Hospital,"Bhayandar, Mumbai",12,15
318,318,Sri Krishna Hospital,"Bannerghatta Road, Bangalore",12,20
319,319,Gajanan Hospitals,"Tambaram, Chennai",12,75
320,320,Sparsh Hospital,"Delhi, Delhi",12,2
321,321,Shekhar Hospital,"Jayanagar, Bangalore",12,24
322,322,Sooriya Hospital,"Saligramam, Chennai",12,200
323,323,Manipal Ankur,"JP Nagar 1 Phase, Bangalore",12,11
324,324,Anupama Hospital,"KPHB, Hyderabad",12,10
325,325,St. Theresa Hospital,"Erragadda, Hyderabad",12,150
326,326,Jaypee Hospital,"Sector 128, Noida",12,1200
327,327,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12,60
328,328,Satyanand Hospital - Kondhwa,"Kondhwa, Pune",12,36
329,329,Bhagyalatha Hospital - Eye Unit,"Vanasthalipuram, Hyderabad",12,15
330,330,K K HOSPITAL,"Peeragarhi, Delhi",11,10
331,331,Ovum Fertility & Women's Health Center,"Kalyan Nagar, Bangalore",11,6
332,332,Bloom Fertility & Healthcare,"Velachery, Chennai",11,50
333,333,Krishna Hospital,"Pitampura, Delhi",11,20
334,334,Srikara Hospitals,"Secunderabad, Hyderabad",11,100
335,335,Lifewave Hospital,"Malad East, Mumbai",11,15
336,336,S K Hospital,"Nagarbhavi, Bangalore",11,20
337,337,Xenia Hospital,"Ecil, Hyderabad",11,100
338,338,Nice Hospital,"Masab Tank, Hyderabad",11,120
339,339,Be Well Hospital,"T Nagar, Chennai",11,15
340,340,MaxCure Suyosha Woman & Child Hospital,"Hitech City, Hyderabad",11,100
341,341,Mangal Anand Hospital,"Chembur, Mumbai",11,38
342,342,Central Hospital,"Sakinaka, Mumbai",11,20
343,343, Prakash Hospital,"Sector 33, Noida",11,120
344,344,Mathru Nursing Home,"Hulimavu, Bangalore",11,15
345,345,Shalyak Hospital,"Jogeshwari East, Mumbai",11,28
346,346,Sunder Lal Jain Hospital,"Ashok Vihar, Delhi",11,10
347,347,Sankhwar Hospital,"Kondli, Delhi",11,100
348,348,Pancholi Hospital,"Ghatkopar East, Mumbai",11,20
349,349,Sant Parmanand Hospital,"Civil Lines, Delhi",11,153
350,350,Lotus Multispeciality Hospital,"Pimple Saudagar, Pune",11,40
351,351,Sangita Maternity Surgical & Diagnostic Centre,"Andheri West, Mumbai",11,15
352,352,Bharathi Nursing Home,"Basavanagudi, Bangalore",11,30
353,353,Axon Speciality Hospital,"Indiranagar, Bangalore",11,50
354,354,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11,250
355,355,Modi Hospital ,"Mulund, Mumbai",11,25
356,356,Aasha  Fertility Centre,"Borivali West, Mumbai",11,12
357,357,Venus Hospital,"Malakpet, Hyderabad",11,100
358,358,Yashoda Hospital,"Malakpet, Hyderabad",11,500
359,359,Mythri Hospital,"Chanda Nagar, Hyderabad",11,150
360,360,SJM Super Speciality Hospital,"Sector 63, Noida",11,125
361,361,Life Care Hospital,"Sector 61, Noida",11,50
362,362,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11,120
363,363,Avis Hospitals,"Jubilee Hills, Hyderabad",11,20
364,364,ICare Eye Hospital,"Sector 26, Noida",11,10
365,365,Amrapali Hospital,"Greater Noida, Noida",10,100
366,366,N D R Hospital,"Yelahanka, Bangalore",10,15
367,367,Swapna Health Care,"Begumpet, Hyderabad",10,50
368,368,Metro Hospitals & Heart Institute,"Lajpat Nagar, Delhi",10,50
369,369,Helios Hospitals,"Velachery, Chennai",10,25
370,370,Panchsheel Hospital,"Yamuna Vihar, Delhi",10,50
371,371,NH Malla Reddy Narayan Multispeciality Hospital,"Jeedimetla, Hyderabad",10,250
372,372,Apollo Hospitals,"Sector 26, Noida",10,700
373,373,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10,100
374,374,Life Care Hospital,"BTM Layout, Bangalore",10,30
375,375,Zion Hospital,"Kammana Halli, Bangalore",10,55
376,376,Psycare,"Jasola, Delhi",10,30
377,377,New Noor Hospital,"Kurla West, Mumbai",10,5
378,378,Haritha Hospitals,"Kothaguda, Hyderabad",10,30
379,379,Sri Venkateshwara Nethralaya,"Rajarajeshwarinagar, Bangalore",10,10
380,380,Vitalife Clinic,"Whitefield, Bangalore",10,30
381,381,Anjakha Multispeciality Hospital,"Madipakkam, Chennai",10,30
382,382,Powai Polyclinic & Hospital,"Powai, Mumbai",10,30
383,383,Shepherd Nursing Home,"Perambur, Chennai",10,20
384,384,Shri Ram Singh Hospital & Heart Institute,"Krishna Nagar, Delhi",10,104
385,385,Gouri Hospital,"Kamla Nagar, Delhi",10,25
386,386,Xcellent Care Hospital,"Velachery, Chennai",10,50
387,387,Swastik Nursing Home,"Ghatkopar West, Mumbai",10,10
388,388,Eden Hospital,"Industrial Area Phase I, Chandigarh",10,100
389,389,Blossom Multispecialty Hospital,"Electronics City, Bangalore",10,40
390,390,Uma Multispeciality Hospital,"Naroda, Ahmedabad",10,18
391,391,Ramya Nursing Home,"Old Bowenpally, Hyderabad",10,15
392,392,Legend Hospital,"Hayathnagar, Hyderabad",10,20
393,393,Srushti Fertility Hospital & Womens Clinic,"Kotturpuram, Chennai",10,5
394,394,Jaypee Hospital,"Greater Noida West, Noida",10,50
395,395,Binayak Multispeciality Hospital,"Dumdum, Kolkata",10,100
396,396,Polaris Healthcare,"Wakad, Pune",10,15
397,397,ILS Hospitals,"Dumdum Road, Kolkata",10,130
398,398,Parvathi Hospital,"Secunderabad, Hyderabad",10,50
399,399,Chellaram Diabetes Hospital,"Bavdhan, Pune",10,60
400,400,Surbhi Hospital,"Sector 35, Noida",9,200
