,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
63,Fortis La Femme,"Greater Kailash Part 2, Delhi",45,38
64,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500
65,Fortis Hospital,"Sector 62, Noida",44,75
66,Max Super Speciality Hospital,"Patparganj, Delhi",44,50
67,Retreat Hospital,"Malakpet, Hyderabad",43,20
68,Birthright By Rainbow,"Kondapur, Hyderabad",43,40
69,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43,100
70,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",42,30
71,ACE Hospital,"Erandwane, Pune",42,40
72,IndoGulf Hospital & Diagnostics,"Sector 19, Noida",42,50
73,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600
74,Padmini Nursing Home,"Chetpet, Chennai",40,15
75,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39,100
76,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39,20
77,Cloudnine Kids,"Jayanagar, Bangalore",38,32
78,Guru Nanak Hospital,"Bandra East, Mumbai",37,120
79,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37,110
80,Venus Mother & Child Hospital,"Lal Bazaar, Hyderabad",37,15
81,Endoscopy Asia,"Sion West, Mumbai",37,80
82,Venkateshwar Hospital,"Dwarka, Delhi",36,325
83,Fortis Hospital,"Nagarbhavi, Bangalore",36,75
84,Sancheti Hospital,"Shivaji Nagar, Pune",35,200
85,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35,70
86,Birthright By Rainbow,"Bannerghatta Road, Bangalore",34,20
87,Aakash Hospital,"Malviya Nagar, Delhi",34,50
88,Medwin Hospitals,"Nampally, Hyderabad",34,200
89,Shree Jeewan Hospital,"Karol Bagh, Delhi",33,52
90,Sahyadri Hospital,"Bibvewadi, Pune",33,31
91,Apoorva Hospital,"Mehdipatnam, Hyderabad",33,20
92,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33,100
93,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33,100
94,Cloudnine Hospital,"T Nagar, Chennai",33,150
95,Maru Hospital,"Parel, Mumbai",33,20
96,Rockland Hospital,"Dwarka, Delhi",33,100
97,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200
98,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32,100
99,KIMS Hospital,"Kondapur, Hyderabad",32,150
100,Holy Spirit Hospital,"Andheri East, Mumbai",32,300
101,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32,500
102,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32,40
103,Sahyadri Hospital,"Kothrud, Pune",32,30
104,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",32,90
105,Zoi Hospitals,"Somajiguda, Hyderabad",31,104
106,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31,251
107,Madras Medical Mission Hospital,"Mogappair, Chennai",31,100
108,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31,220
109,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",31,50
110,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",30,10
111,Sri Balaji Hospital,"Guindy, Chennai",30,55
112,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30,80
113,MaxCure Hospitals,"Madhapur, Hyderabad",30,220
114,Sagar Hospital,"Jayanagar, Bangalore",30,200
115,Cloudnine Hospital,"Malleswaram, Bangalore",29,47
116,Bhagat Hospital,"Janak Puri, Delhi",29,35
117,An - Noor Eye Hospital,"Periyamet, Chennai",29,5
118,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348
